month,unit_index,unit_id,expert_index,expert_name,leverage,trade_after_day,params_json
2024-01,803,expert_0200_ret_momentum_lev8,200,ret_momentum,8.0,14,"{""family"": ""ret_momentum"", ""hold_bars"": 32, ""threshold_bps"": 100.0, ""window"": 2}"
2024-02,3,expert_0000_always_long_lev8,0,always_long,8.0,14,"{""family"": ""always_long""}"
2024-03,3,expert_0000_always_long_lev8,0,always_long,8.0,14,"{""family"": ""always_long""}"
2024-04,375,expert_0093_gap_adx_state_flip_lev8,93,gap_adx_state_flip,8.0,14,"{""adx_min"": 18.0, ""family"": ""gap_adx_state_flip"", ""gap_min"": 25.0}"
2024-05,127,expert_0031_ret_state_flip_lev8,31,ret_state_flip,8.0,14,"{""family"": ""ret_state_flip"", ""threshold_bps"": 350.0, ""window"": 16}"
2024-06,27,expert_0006_ret_state_lev8,6,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 100.0, ""window"": 4}"
2024-07,67,expert_0016_ret_state_lev8,16,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 100.0, ""window"": 8}"
2024-08,43,expert_0010_ret_state_lev8,10,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 350.0, ""window"": 4}"
2024-09,267,expert_0066_ret_state_lev8,66,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 100.0, ""window"": 192}"
2024-10,155,expert_0038_ret_state_lev8,38,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 200.0, ""window"": 32}"
2024-11,267,expert_0066_ret_state_lev8,66,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 100.0, ""window"": 192}"
2024-12,87,expert_0021_ret_state_flip_lev8,21,ret_state_flip,8.0,14,"{""family"": ""ret_state_flip"", ""threshold_bps"": 350.0, ""window"": 8}"
2025-01,455,expert_0113_gap_adx_state_flip_lev8,113,gap_adx_state_flip,8.0,14,"{""adx_min"": 18.0, ""family"": ""gap_adx_state_flip"", ""gap_min"": 200.0}"
2025-02,263,expert_0065_ret_state_flip_lev8,65,ret_state_flip,8.0,14,"{""family"": ""ret_state_flip"", ""threshold_bps"": 50.0, ""window"": 192}"
2025-03,271,expert_0067_ret_state_flip_lev8,67,ret_state_flip,8.0,14,"{""family"": ""ret_state_flip"", ""threshold_bps"": 100.0, ""window"": 192}"
2025-04,167,expert_0041_ret_state_flip_lev8,41,ret_state_flip,8.0,14,"{""family"": ""ret_state_flip"", ""threshold_bps"": 350.0, ""window"": 32}"
2025-05,219,expert_0054_ret_state_lev8,54,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 50.0, ""window"": 96}"
2025-06,319,expert_0079_ret_state_flip_lev8,79,ret_state_flip,8.0,14,"{""family"": ""ret_state_flip"", ""threshold_bps"": 200.0, ""window"": 384}"
2025-07,155,expert_0038_ret_state_lev8,38,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 200.0, ""window"": 32}"
2025-08,375,expert_0093_gap_adx_state_flip_lev8,93,gap_adx_state_flip,8.0,14,"{""adx_min"": 18.0, ""family"": ""gap_adx_state_flip"", ""gap_min"": 25.0}"
2025-09,431,expert_0107_gap_adx_state_flip_lev8,107,gap_adx_state_flip,8.0,14,"{""adx_min"": 18.0, ""family"": ""gap_adx_state_flip"", ""gap_min"": 100.0}"
2025-10,2823,expert_0705_don_pullback_flip_lev8,705,don_pullback_flip,8.0,14,"{""family"": ""don_pullback"", ""flipped"": true, ""high"": 0.8, ""hold_bars"": 32, ""low"": 0.2}"
2025-11,35,expert_0008_ret_state_lev8,8,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 200.0, ""window"": 4}"
2025-12,2915,expert_0728_don_pullback_lev8,728,don_pullback,8.0,14,"{""family"": ""don_pullback"", ""high"": 0.55, ""hold_bars"": 32, ""low"": 0.45}"
2026-01,119,expert_0029_ret_state_flip_lev8,29,ret_state_flip,8.0,14,"{""family"": ""ret_state_flip"", ""threshold_bps"": 200.0, ""window"": 16}"
2026-02,43,expert_0010_ret_state_lev8,10,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 350.0, ""window"": 4}"
2026-03,2915,expert_0728_don_pullback_lev8,728,don_pullback,8.0,14,"{""family"": ""don_pullback"", ""high"": 0.55, ""hold_bars"": 32, ""low"": 0.45}"
2026-04,339,expert_0084_ret_state_lev8,84,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 50.0, ""window"": 672}"
2026-05,311,expert_0077_ret_state_flip_lev8,77,ret_state_flip,8.0,14,"{""family"": ""ret_state_flip"", ""threshold_bps"": 100.0, ""window"": 384}"
2026-06,235,expert_0058_ret_state_lev8,58,ret_state,8.0,14,"{""family"": ""ret_state"", ""threshold_bps"": 200.0, ""window"": 96}"
