month,unit_index,unit_id,expert_index,expert_name,leverage,trade_after_day,params_json
2024-01,803,expert_0200_ret_momentum_lev8,200,ret_momentum,8.0,,"{""family"": ""ret_momentum"", ""hold_bars"": 32, ""threshold_bps"": 100.0, ""window"": 2}"
2024-02,267,expert_0066_ret_state_lev8,66,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 100.0, ""window"": 192}"
2024-03,167,expert_0041_ret_state_flip_lev8,41,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 350.0, ""window"": 32}"
2024-04,239,expert_0059_ret_state_flip_lev8,59,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 200.0, ""window"": 96}"
2024-05,2907,expert_0726_don_pullback_lev8,726,don_pullback,8.0,,"{""family"": ""don_pullback"", ""high"": 0.55, ""hold_bars"": 16, ""low"": 0.45}"
2024-06,27,expert_0006_ret_state_lev8,6,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 100.0, ""window"": 4}"
2024-07,107,expert_0026_ret_state_lev8,26,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 100.0, ""window"": 16}"
2024-08,351,expert_0087_ret_state_flip_lev8,87,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 100.0, ""window"": 672}"
2024-09,155,expert_0038_ret_state_lev8,38,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 200.0, ""window"": 32}"
2024-10,155,expert_0038_ret_state_lev8,38,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 200.0, ""window"": 32}"
2024-11,2919,expert_0729_don_pullback_flip_lev8,729,don_pullback_flip,8.0,,"{""family"": ""don_pullback"", ""flipped"": true, ""high"": 0.55, ""hold_bars"": 32, ""low"": 0.45}"
2024-12,319,expert_0079_ret_state_flip_lev8,79,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 200.0, ""window"": 384}"
2025-01,107,expert_0026_ret_state_lev8,26,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 100.0, ""window"": 16}"
2025-02,115,expert_0028_ret_state_lev8,28,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 200.0, ""window"": 16}"
2025-03,271,expert_0067_ret_state_flip_lev8,67,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 100.0, ""window"": 192}"
2025-04,167,expert_0041_ret_state_flip_lev8,41,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 350.0, ""window"": 32}"
2025-05,119,expert_0029_ret_state_flip_lev8,29,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 200.0, ""window"": 16}"
2025-06,319,expert_0079_ret_state_flip_lev8,79,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 200.0, ""window"": 384}"
2025-07,279,expert_0069_ret_state_flip_lev8,69,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 200.0, ""window"": 192}"
2025-08,407,expert_0101_gap_adx_state_flip_lev8,101,gap_adx_state_flip,8.0,,"{""adx_min"": 18.0, ""family"": ""gap_adx_state_flip"", ""gap_min"": 50.0}"
2025-09,431,expert_0107_gap_adx_state_flip_lev8,107,gap_adx_state_flip,8.0,,"{""adx_min"": 18.0, ""family"": ""gap_adx_state_flip"", ""gap_min"": 100.0}"
2025-10,79,expert_0019_ret_state_flip_lev8,19,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 200.0, ""window"": 8}"
2025-11,35,expert_0008_ret_state_lev8,8,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 200.0, ""window"": 4}"
2025-12,167,expert_0041_ret_state_flip_lev8,41,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 350.0, ""window"": 32}"
2026-01,119,expert_0029_ret_state_flip_lev8,29,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 200.0, ""window"": 16}"
2026-02,2915,expert_0728_don_pullback_lev8,728,don_pullback,8.0,,"{""family"": ""don_pullback"", ""high"": 0.55, ""hold_bars"": 32, ""low"": 0.45}"
2026-03,327,expert_0081_ret_state_flip_lev8,81,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 350.0, ""window"": 384}"
2026-04,339,expert_0084_ret_state_lev8,84,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 50.0, ""window"": 672}"
2026-05,311,expert_0077_ret_state_flip_lev8,77,ret_state_flip,8.0,,"{""family"": ""ret_state_flip"", ""threshold_bps"": 100.0, ""window"": 384}"
2026-06,227,expert_0056_ret_state_lev8,56,ret_state,8.0,,"{""family"": ""ret_state"", ""threshold_bps"": 100.0, ""window"": 96}"
