selected_expert_name,bars,log_return,orders
ret_state_flip,37439,-1.0161135963117518,745
ret_state,22286,-0.7450534318622325,434
gap_adx_state_flip,12398,0.32876894419614133,126
always_long,7195,0.06662509841952219,79
ret_momentum_flip,1472,-0.1768730606713905,164
always_short,1371,0.07027447654375177,22
don_pullback,1301,0.05545668311693444,33
ret_momentum,1205,0.08487260919877984,31
don_pullback_flip,801,0.004770172750200757,6
rsi_pullback,358,-0.07569825927416172,12
bb_pullback,280,-0.031689846990307045,38
gap_adx_state,195,-0.06746669488652102,6
bb_pullback_flip,130,-0.03177614478789269,13
rsi_pullback_flip,65,-0.009801408834594568,4
