month,rows,first_timestamp,last_timestamp
2023-01,2976,2023-01-01T00:00:00+00:00,2023-01-31T23:45:00+00:00
2023-02,2688,2023-02-01T00:00:00+00:00,2023-02-28T23:45:00+00:00
2023-03,2976,2023-03-01T00:00:00+00:00,2023-03-31T23:45:00+00:00
2023-04,2880,2023-04-01T00:00:00+00:00,2023-04-30T23:45:00+00:00
2023-05,2976,2023-05-01T00:00:00+00:00,2023-05-31T23:45:00+00:00
2023-06,2880,2023-06-01T00:00:00+00:00,2023-06-30T23:45:00+00:00
2023-07,2976,2023-07-01T00:00:00+00:00,2023-07-31T23:45:00+00:00
2023-08,2976,2023-08-01T00:00:00+00:00,2023-08-31T23:45:00+00:00
2023-09,2880,2023-09-01T00:00:00+00:00,2023-09-30T23:45:00+00:00
2023-10,2976,2023-10-01T00:00:00+00:00,2023-10-31T23:45:00+00:00
2023-11,2880,2023-11-01T00:00:00+00:00,2023-11-30T23:45:00+00:00
2023-12,2976,2023-12-01T00:00:00+00:00,2023-12-31T23:45:00+00:00
