eval_month,train_start_month,expert_index,window,threshold_bps,train_end_month,candidate_id,leverage,lock_log,quota_arm_log,quota_leverage,train_months,train_return_pct,train_losing_months,train_min_month_return_pct,train_min_orders
2024-01,2023-01,4,64,100.0,2023-12,18,6.0,0.04,0.08,0.25,12,307.1755047365798,0,5.917179004728057,12
2024-02,2023-01,4,64,100.0,2024-01,18,6.0,0.04,0.08,0.25,13,344.5661362042439,0,5.917179004728057,12
2024-03,2023-01,4,64,100.0,2024-02,9,4.0,0.04,0.08,1.0,14,385.63146513505285,0,4.334855025889661,12
2024-04,2023-01,4,64,100.0,2024-03,9,4.0,0.04,0.08,1.0,15,436.60273438212346,0,4.334855025889661,12
2024-05,2023-01,4,64,100.0,2024-04,9,4.0,0.04,0.08,1.0,16,472.07839542582616,0,4.334855025889661,12
2024-06,2023-01,4,64,100.0,2024-05,9,4.0,0.04,0.08,1.0,17,542.4151267561208,0,4.334855025889661,12
2024-07,2023-01,4,64,100.0,2024-06,9,4.0,0.04,0.08,1.0,18,574.7948749045238,0,4.334855025889661,12
2024-08,2023-01,4,64,100.0,2024-07,9,4.0,0.04,0.08,1.0,19,647.9046887955506,0,4.334855025889661,12
2024-09,2023-01,4,64,100.0,2024-08,9,4.0,0.04,0.08,1.0,20,812.9933791752301,0,4.334855025889661,12
2024-10,2023-01,4,64,100.0,2024-09,18,6.0,0.04,0.08,0.25,21,698.5329473105463,0,4.285429590446732,12
2024-11,2023-01,4,64,100.0,2024-10,18,6.0,0.04,0.08,0.25,22,739.4408313353596,0,4.285429590446732,12
2024-12,2023-01,4,64,100.0,2024-11,18,6.0,0.04,0.08,0.25,23,814.4575027735414,0,4.285429590446732,12
