selected_by_walkforward,candidate_id,leverage,lock_log,quota_arm_log,quota_leverage,train_months,train_return_pct,train_losing_months,train_min_month_return_pct,train_min_orders,train_hard_ok,dec_return_pct,dec_orders,dec_turnover
True,18,6.0,0.04,0.08,0.25,23,814.4575027735414,0,4.285429590446732,12,True,-6.449800499963443,18,108.0
False,9,4.0,0.04,0.08,1.0,23,992.9167387624112,0,3.8169136963992933,12,True,-4.347466234140773,18,72.0
False,8,4.0,0.04,0.08,0.25,23,698.0612825735839,0,3.8169136963992933,12,True,-4.347466234140773,18,72.0
False,6,4.0,0.04,0.04,0.25,23,336.0364307204444,0,3.3901340146433867,12,True,-4.347466234140773,18,72.0
False,19,6.0,0.04,0.08,1.0,23,1193.327464408971,0,3.2002219049243497,12,True,-6.449800499963443,18,108.0
False,17,6.0,0.04,0.04,1.0,23,701.3453879636829,0,2.838728704504212,12,True,1.9621640013692376,16,56.0
False,7,4.0,0.04,0.04,1.0,23,616.3551951609279,0,2.6011676741247713,12,True,-4.347466234140773,18,72.0
False,16,6.0,0.04,0.04,0.25,23,420.4115086540521,0,2.337403244296632,12,True,5.73833578404761,16,50.0
False,4,4.0,0.02,0.08,1.0,23,621.7732856162795,1,-5.924603752370783,12,False,-4.347466234140773,18,72.0
False,3,4.0,0.02,0.08,0.25,23,448.33658904856907,1,-5.924603752370783,12,False,-4.347466234140773,18,72.0
False,2,4.0,0.02,0.04,1.0,23,365.43065242816306,1,-5.924603752370783,12,False,-4.347466234140773,18,72.0
False,1,4.0,0.02,0.04,0.25,23,211.23248170585214,2,-5.924603752370783,12,False,-4.347466234140773,18,72.0
False,14,6.0,0.02,0.08,1.0,23,706.2656371199703,1,-8.753947635182346,12,False,-6.449800499963443,18,108.0
False,13,6.0,0.02,0.08,0.25,23,523.7755000591147,1,-8.753947635182346,12,False,-6.449800499963443,18,108.0
False,12,6.0,0.02,0.04,1.0,23,397.03158826322385,1,-8.753947635182346,12,False,1.9621640013692376,16,56.0
False,11,6.0,0.02,0.04,0.25,23,214.1494174466148,1,-8.753947635182346,12,False,1.1387567965672973,12,26.0
False,29,8.0,0.04,0.08,1.0,23,1018.7615593179737,1,-11.49819820851551,12,False,-8.505927841711614,18,144.0
False,24,8.0,0.02,0.08,1.0,23,881.0037665705516,2,-11.49819820851551,12,False,-8.505927841711614,18,144.0
False,28,8.0,0.04,0.08,0.25,23,830.5987476252675,1,-11.49819820851551,12,False,-8.505927841711614,18,144.0
False,23,8.0,0.02,0.08,0.25,23,789.7819628237761,1,-11.49819820851551,12,False,-8.505927841711614,18,144.0
False,27,8.0,0.04,0.04,1.0,23,409.03073543377786,1,-11.49819820851551,12,False,3.34618431871887,12,40.0
False,22,8.0,0.02,0.04,1.0,23,293.2282925973313,2,-11.49819820851551,12,False,1.0746416931324054,12,40.0
False,26,8.0,0.04,0.04,0.25,23,217.4809714072318,1,-11.49819820851551,12,False,3.0086382758728547,12,34.0
False,21,8.0,0.02,0.04,0.25,23,146.27511145913923,2,-11.49819820851551,12,False,3.649383832209785,12,18.5
False,5,4.0,0.04,,,23,1438.6440593427953,2,-54.10264792085926,12,False,-4.347466234140773,18,72.0
False,0,4.0,0.02,,,23,811.7816355009164,6,-54.10264792085926,12,False,-4.347466234140773,18,72.0
False,15,6.0,0.04,,,23,4812.065610559112,2,-68.90565260903094,12,False,-6.449800499963443,18,108.0
False,10,6.0,0.02,,,23,2608.676544675224,4,-68.90565260903094,12,False,-6.449800499963443,18,108.0
False,25,8.0,0.04,,,23,8213.45750836726,6,-78.93433072123395,12,False,-8.505927841711614,18,144.0
False,20,8.0,0.02,,,23,6537.340626528119,7,-78.93433072123395,12,False,-8.505927841711614,18,144.0
