confirm_bars,leverage,lock_log,quota_arm_log,quota_leverage,train_hard_ok,train_return_pct,train_losing_months,train_min_monthly_return_pct,train_min_monthly_orders,train_turnover,eval_return_pct,eval_losing_months,eval_min_monthly_return_pct,eval_min_monthly_orders,eval_turnover,eval_hard_pass
1,4.0,0.02,,,False,176.3925419550729,3,-54.10264792085926,12,1096.0,211.16448067427748,4,-4.347466234140773,12,728.0,False
1,4.0,0.02,0.04,0.25,False,103.12735489686942,2,-5.924603752370783,12,474.0,45.17717581496987,1,-4.347466234140773,12,316.5,False
1,4.0,0.02,0.04,1.0,False,154.57969705965277,1,-5.924603752370783,12,564.0,73.06999793750362,1,-4.347466234140773,12,412.0,False
1,4.0,0.02,0.08,0.25,False,144.52359707640318,1,-5.924603752370783,12,694.5,112.57876165904838,1,-4.347466234140773,12,510.5,False
1,4.0,0.02,0.08,1.0,False,199.60594039089307,1,-5.924603752370783,12,744.0,128.14461429182415,1,-4.347466234140773,12,554.0,False
1,4.0,0.04,,,False,248.44070524700737,2,-54.10264792085926,12,1096.0,316.51896087230665,1,-4.347466234140773,12,768.0,False
1,4.0,0.04,0.04,0.25,True,143.30830764836034,0,3.9890034571522737,12,490.0,69.80390719200314,1,-4.347466234140773,12,346.5,False
1,4.0,0.04,0.04,1.0,True,219.92183870984823,0,3.000057432638159,12,586.0,111.97034162889756,1,-4.347466234140773,12,424.0,False
1,4.0,0.04,0.08,0.25,True,208.26437649929943,0,4.63308087097547,12,694.5,145.41795019588406,1,-4.347466234140773,12,510.5,False
1,4.0,0.04,0.08,1.0,True,292.96171642062563,0,4.63308087097547,12,744.0,163.38841731298058,1,-4.347466234140773,12,554.0,False
1,6.0,0.02,,,False,306.59829214320473,3,-68.90565260903094,12,1596.0,510.280988311524,2,-6.449800499963443,12,1092.0,False
1,6.0,0.02,0.04,0.25,False,83.70592707363065,1,-8.753947635182346,12,642.5,75.79101675400798,0,0.7914917218699857,12,394.0,False
1,6.0,0.02,0.04,1.0,False,161.574266329324,1,-8.753947635182346,12,730.0,95.9677227088863,0,0.3501596757469416,12,538.0,False
1,6.0,0.02,0.08,0.25,False,191.02473713927714,1,-8.753947635182346,12,868.5,105.14847289786306,1,-6.449800499963443,12,453.0,False
1,6.0,0.02,0.08,1.0,False,242.17564987727914,1,-8.753947635182346,12,928.0,124.24178587569124,1,-6.449800499963443,12,560.0,False
1,6.0,0.04,,,False,543.3817719656587,2,-68.90565260903094,12,1644.0,599.4129198159728,1,-6.449800499963443,12,1152.0,False
1,6.0,0.04,0.04,0.25,True,173.64346602793802,0,2.337403244296632,12,725.0,104.3902887881949,0,4.791369199423512,12,429.5,True
1,6.0,0.04,0.04,1.0,True,263.1723449338231,0,2.838728704504212,12,802.0,127.563467423699,0,1.9621640013692376,12,548.0,True
1,6.0,0.04,0.08,0.25,True,307.1755047365798,0,5.917179004728057,12,916.5,114.95708554462092,1,-6.449800499963443,12,464.5,False
1,6.0,0.04,0.08,1.0,True,411.1049875378159,0,5.006800140438172,12,988.0,140.81629741692456,1,-6.449800499963443,12,570.0,False
1,8.0,0.02,,,False,521.4699677743057,4,-78.93433072123395,12,2128.0,850.2217163885556,4,-8.505927841711614,12,1440.0,False
1,8.0,0.02,0.04,0.25,False,40.83709457763174,2,-11.49819820851551,12,756.5,89.94742242616542,0,1.0567119867240349,12,519.5,False
1,8.0,0.02,0.04,1.0,False,126.514012941731,1,-11.49819820851551,12,880.0,82.56160458718614,1,-0.5217026449521267,12,570.0,False
1,8.0,0.02,0.08,0.25,False,276.3293795064992,1,-11.49819820851551,12,850.5,112.32912919612859,1,-8.505927841711614,12,612.5,False
1,8.0,0.02,0.08,1.0,False,320.67181443988187,2,-11.49819820851551,12,920.0,109.23295875483134,1,-8.505927841711614,12,688.0,False
1,8.0,0.04,,,False,663.9283724838673,3,-78.93433072123395,12,2192.0,868.233340332928,4,-8.505927841711614,12,1456.0,False
1,8.0,0.04,0.04,0.25,False,75.8145449574787,1,-11.49819820851551,12,835.5,94.58296278425964,0,1.0567119867240349,12,550.5,False
1,8.0,0.04,0.04,1.0,False,141.6361311094805,1,-11.49819820851551,12,880.0,126.51352014728876,0,1.0567119867240349,12,678.0,True
1,8.0,0.04,0.08,0.25,False,293.5926596577938,1,-11.49819820851551,12,930.0,112.32912919612859,1,-8.505927841711614,12,612.5,False
1,8.0,0.04,0.08,1.0,False,373.3571477335519,1,-11.49819820851551,12,984.0,112.05642352860576,1,-8.505927841711614,12,688.0,False
2,4.0,0.02,,,False,235.53560488727908,2,-48.924718887778425,12,1104.0,263.0050458014187,1,-2.7617164454483034,12,736.0,False
2,4.0,0.02,0.04,0.25,False,88.29540369658197,0,0.7454001825125678,12,586.0,52.69797574763928,1,-2.7617164454483034,12,380.5,False
2,4.0,0.02,0.04,1.0,True,150.22728296550335,0,0.7454001825125678,12,666.0,81.05695254943276,1,-2.7617164454483034,12,492.0,False
2,4.0,0.02,0.08,0.25,True,170.5080370145024,0,0.7454001825125678,12,702.5,130.1694682225142,1,-2.7617164454483034,12,518.5,False
2,4.0,0.02,0.08,1.0,True,242.071782414913,0,0.7454001825125678,12,752.0,151.27986277678303,1,-2.7617164454483034,12,562.0,False
2,4.0,0.04,,,False,356.72725734677044,2,-48.924718887778425,12,1144.0,310.5869665922032,1,-2.7617164454483034,12,736.0,False
2,4.0,0.04,0.04,0.25,True,107.00951373919034,0,3.272353688391938,12,608.5,62.81921326133284,1,-2.7617164454483034,12,426.5,False
2,4.0,0.04,0.04,1.0,True,204.889043296274,0,3.714763605053384,12,672.0,104.41406757064699,1,-2.7617164454483034,12,504.0,False
2,4.0,0.04,0.08,0.25,True,198.3000244145289,0,3.714763605053384,12,742.5,141.66844618766385,1,-2.7617164454483034,12,518.5,False
2,4.0,0.04,0.08,1.0,True,299.9574302098469,0,3.714763605053384,12,798.0,163.83348957824347,1,-2.7617164454483034,12,562.0,False
2,6.0,0.02,,,False,518.8143895719659,2,-63.49804306151277,12,1656.0,549.0724304275935,1,-4.11384009524186,12,1092.0,False
2,6.0,0.02,0.04,0.25,False,88.92579898580976,0,1.120181272845877,12,881.5,73.26915295428498,0,1.4200564736357224,12,312.0,False
2,6.0,0.02,0.04,1.0,False,181.80392152254404,1,-0.3417128373397693,12,976.0,82.4678578551499,0,0.7415046521696667,12,404.0,False
2,6.0,0.02,0.08,0.25,True,170.18619130877673,0,0.408164867837435,12,928.5,109.05399844854658,1,-4.11384009524186,12,584.0,False
2,6.0,0.02,0.08,1.0,True,230.20452041407933,0,0.408164867837435,12,988.0,123.28805004339043,1,-4.11384009524186,12,654.0,False
2,6.0,0.04,,,False,780.5788461623113,2,-63.49804306151277,12,1656.0,659.5912798980165,1,-4.11384009524186,12,1104.0,False
2,6.0,0.04,0.04,0.25,True,104.67908563872928,0,3.2731479321761903,12,928.0,89.51926803497494,0,2.3807489722156516,12,370.5,False
2,6.0,0.04,0.04,1.0,True,203.11490160065085,0,2.8093316513698285,12,976.0,136.76990065989943,0,2.2868813612706207,12,482.0,True
2,6.0,0.04,0.08,0.25,True,281.0310369202635,0,3.796752417845317,12,928.5,119.73484072069115,1,-4.11384009524186,12,607.5,False
2,6.0,0.04,0.08,1.0,True,374.30826668141464,0,2.4748691528514444,12,1000.0,162.3703232424548,1,-4.11384009524186,12,700.0,False
2,8.0,0.02,,,False,1027.1783795217316,2,-73.91315659307543,12,2192.0,1048.972045557139,2,-5.44716211364602,12,1456.0,False
2,8.0,0.02,0.04,0.25,False,92.67154196368435,0,0.8463797949288088,12,725.5,73.3220563177255,0,0.054884762075912974,12,378.5,False
2,8.0,0.02,0.04,1.0,True,219.90826040046824,0,1.3886202829180627,12,880.0,82.58258191860497,1,-0.6006667949877365,12,484.0,False
2,8.0,0.02,0.08,0.25,True,229.32440509860794,0,0.6999443613725953,12,1138.0,121.43046761563805,1,-5.44716211364602,12,709.0,False
2,8.0,0.02,0.08,1.0,True,298.46752061267847,0,0.6999443613725953,12,1192.0,131.27203009396217,1,-5.44716211364602,12,800.0,False
2,8.0,0.04,,,False,1025.8414214707225,2,-73.91315659307543,12,2208.0,1217.7266327729012,1,-5.44716211364602,12,1472.0,False
2,8.0,0.04,0.04,0.25,True,127.58485316222341,0,2.093230154174286,12,788.0,109.25435838820815,1,-0.10334644330237674,12,472.0,False
2,8.0,0.04,0.04,1.0,True,264.17490998185144,0,2.3429274588189664,12,894.0,167.43050275330393,0,1.2739921758545547,12,588.0,True
2,8.0,0.04,0.08,0.25,True,232.72832020946663,0,1.4963565793460365,12,1154.0,131.65188650824467,1,-5.44716211364602,12,740.5,False
2,8.0,0.04,0.08,1.0,True,306.08422739145124,0,1.4963565793460365,12,1236.0,143.0627220992034,1,-5.44716211364602,12,816.0,False
4,4.0,0.02,,,False,948.5394967279568,1,-23.15573189005863,12,992.0,75.01055822299283,1,-49.3137776144408,12,924.0,False
4,4.0,0.02,0.04,0.25,True,141.29125608292904,0,1.824151080479286,12,498.5,-13.78518453633819,1,-49.3137776144408,12,497.5,False
4,4.0,0.02,0.04,1.0,True,214.72748584894566,0,1.2857503397690984,12,590.0,-2.5833028812176972,1,-49.3137776144408,12,590.0,False
4,4.0,0.02,0.08,0.25,True,175.8413801040127,0,1.927004939925947,12,639.5,19.488602941872713,1,-49.3137776144408,12,706.5,False
4,4.0,0.02,0.08,1.0,True,262.18064275519623,0,1.927004939925947,12,686.0,28.965645652500882,1,-49.3137776144408,12,750.0,False
4,4.0,0.04,,,False,546.26737930354,2,-39.384287452046465,12,1056.0,76.65170214801603,1,-49.3137776144408,12,924.0,False
4,4.0,0.04,0.04,0.25,True,155.44846109374552,0,3.6309480675098094,12,514.5,-10.32311298082531,1,-49.3137776144408,12,520.0,False
4,4.0,0.04,0.04,1.0,True,238.5661299789632,0,2.3182400965111594,12,596.0,8.198931245799269,1,-49.3137776144408,12,602.0,False
4,4.0,0.04,0.08,0.25,True,181.72363836871642,0,2.9243223815091257,12,639.5,20.503967112012834,1,-49.3137776144408,12,706.5,False
4,4.0,0.04,0.08,1.0,True,272.37995139746636,0,2.9243223815091257,12,698.0,30.06154176769973,1,-49.3137776144408,12,750.0,False
4,6.0,0.02,,,False,3241.401817909668,2,-32.63765180725683,12,1488.0,117.74757115436758,1,-63.91432054000099,12,1386.0,False
4,6.0,0.02,0.04,0.25,True,105.54439891057,0,1.1163170815944978,12,714.5,98.6720201226932,0,2.054303719352668,12,359.5,False
4,6.0,0.02,0.04,1.0,True,225.92103766641404,0,0.8399137393913181,12,824.0,102.35814309815309,0,0.6992403555351245,12,440.0,True
4,6.0,0.02,0.08,0.25,True,303.3172461777519,0,2.904388062382557,12,727.0,-10.380927392119144,1,-63.91432054000099,12,878.0,False
4,6.0,0.02,0.08,1.0,True,385.54501690950485,0,1.5164320643401341,12,794.0,-6.845035945382827,1,-63.91432054000099,12,948.0,False
4,6.0,0.04,,,False,3295.292478538861,1,-32.63765180725683,12,1488.0,129.9917955491094,1,-63.91432054000099,12,1386.0,False
4,6.0,0.04,0.04,0.25,True,122.1266866910518,0,2.8970141447354214,12,749.0,102.90909571900504,0,2.6084294707949596,12,371.0,True
4,6.0,0.04,0.04,1.0,True,240.05135325665256,0,2.904388062382557,12,836.0,134.5720101876943,0,2.961122039532005,12,460.0,True
4,6.0,0.04,0.08,0.25,True,303.3172461777519,0,2.904388062382557,12,727.0,-11.645510664405434,1,-63.91432054000099,12,889.5,False
4,6.0,0.04,0.08,1.0,True,402.7359187477867,0,2.904388062382557,12,804.0,-4.175674994459788,1,-63.91432054000099,12,958.0,False
4,8.0,0.02,,,False,10739.413658895986,2,-40.94958458647447,12,1984.0,182.2308123999375,1,-74.30906860281638,12,1848.0,False
4,8.0,0.02,0.04,0.25,True,137.29773931702113,0,0.22939819907057402,12,724.0,149.72766006335206,0,2.3631729184195205,12,425.0,True
4,8.0,0.02,0.04,1.0,True,255.61043340620938,0,0.4869024382221365,12,894.0,131.1791401277319,0,0.9894326897867067,12,514.0,True
4,8.0,0.02,0.08,0.25,True,432.83084469161855,0,2.7042479986701284,12,963.0,-26.15115518790798,1,-74.30906860281638,12,958.0,False
4,8.0,0.02,0.08,1.0,True,566.6246962270219,0,1.3301259382129338,12,1034.0,-26.29650353038836,1,-74.30906860281638,12,1038.0,False
4,8.0,0.04,,,False,10894.35076198517,1,-40.94958458647447,12,1984.0,206.28695489523565,1,-74.30906860281638,12,1848.0,False
4,8.0,0.04,0.04,0.25,True,178.15354669278506,0,3.2564799826798607,12,771.5,158.30626846777042,0,3.992882546241572,12,456.0,True
4,8.0,0.04,0.04,1.0,True,313.2729807151751,0,2.5460373255293156,12,894.0,183.61378640222276,0,2.963875865785237,12,556.0,True
4,8.0,0.04,0.08,0.25,True,444.10667436109446,0,3.891143360236904,12,978.5,-24.938803185022596,1,-74.30906860281638,12,973.5,False
4,8.0,0.04,0.08,1.0,True,622.7771179097416,0,3.891143360236904,12,1066.0,-23.999626411336582,1,-74.30906860281638,12,1066.0,False
8,4.0,0.02,,,False,230.74764478401414,3,-49.42297028971571,11,1112.0,88.34417610431098,4,-51.472711472089195,12,940.0,False
8,4.0,0.02,0.04,0.25,False,70.06701544908225,1,-16.87298785560992,11,657.5,-22.095410838509522,2,-51.472711472089195,12,504.0,False
8,4.0,0.02,0.04,1.0,False,130.1306813968279,1,-16.87298785560992,11,728.0,-11.28881369982726,2,-51.472711472089195,12,582.0,False
8,4.0,0.02,0.08,0.25,False,110.81658972512267,1,-16.87298785560992,11,725.5,18.0037544748171,2,-51.472711472089195,12,602.5,False
8,4.0,0.02,0.08,1.0,False,173.5554460904682,1,-16.87298785560992,11,778.0,26.825912521989714,2,-51.472711472089195,12,646.0,False
8,4.0,0.04,,,False,225.7728993593859,3,-49.42297028971571,11,1112.0,70.90917530545535,2,-51.472711472089195,11,1092.0,False
8,4.0,0.04,0.04,0.25,False,70.55646545326913,1,-16.87298785560992,11,665.0,-16.270404125527428,1,-51.472711472089195,12,534.0,False
8,4.0,0.04,0.04,1.0,False,145.1672825883751,1,-16.87298785560992,11,736.0,3.5005836677582503,1,-51.472711472089195,12,588.0,False
8,4.0,0.04,0.08,0.25,False,107.64571645751215,1,-16.87298785560992,11,725.5,22.694882800679615,1,-51.472711472089195,12,602.5,False
8,4.0,0.04,0.08,1.0,False,177.18414310806153,1,-16.87298785560992,11,778.0,31.86775744745973,1,-51.472711472089195,12,646.0,False
8,6.0,0.02,,,False,499.07264219715205,3,-64.03086608634793,11,1668.0,191.9672609367392,2,-66.19514802750473,12,1410.0,False
8,6.0,0.02,0.04,0.25,False,73.23401056902186,1,-24.209764552008327,11,1000.5,95.79737747631721,0,1.5693011488884245,12,348.0,False
8,6.0,0.02,0.04,1.0,False,158.28205683151683,1,-24.209764552008327,11,1072.0,119.40775574509455,0,1.5365208086595805,12,474.0,True
8,6.0,0.02,0.08,0.25,False,128.9378980888614,1,-24.209764552008327,11,977.5,-24.201469593685378,2,-66.19514802750473,12,746.0,False
8,6.0,0.02,0.08,1.0,False,183.0053489342121,1,-24.209764552008327,11,1030.0,-17.298229621221395,2,-66.19514802750473,12,816.0,False
8,6.0,0.04,,,False,501.5131698628578,3,-64.03086608634793,11,1668.0,82.61606338082719,4,-66.19514802750473,11,1638.0,False
