selector_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
all_families,2023,0.20737865195646998,0.169,169.0,85,12,6,-21.13713173711661,3,-45.099040713948156,23.044839527490456
all_families,2024,0.2885634224769034,0.182,182.0,91,12,4,-17.086700979528736,4,-33.00140042304022,33.45089847042444
all_families,2025,-0.7910514767347047,0.202,202.0,101,12,10,-25.349630394134525,3,-72.40197111575412,-54.66321611628039
all_families,2026,0.01879183481249365,0.076,76.0,38,5,2,-9.618675771186291,6,-65.47365374136824,1.8969512558857815
trend,2023,0.20737865195646998,0.169,169.0,85,12,6,-21.13713173711661,3,-45.099040713948156,23.044839527490456
trend,2024,0.2885634224769034,0.182,182.0,91,12,4,-17.086700979528736,4,-33.00140042304022,33.45089847042444
trend,2025,-0.7910514767347047,0.202,202.0,101,12,10,-25.349630394134525,3,-72.40197111575412,-54.66321611628039
trend,2026,0.01879183481249365,0.076,76.0,38,5,2,-9.618675771186291,6,-65.47365374136824,1.8969512558857815
mean_reversion,2023,-0.44825207552632884,0.552,552.0,552,12,9,-10.273713472328572,24,-40.11254549707364,-36.12563479056272
mean_reversion,2024,-0.25689091313416973,0.462,462.0,462,12,10,-9.036669855478596,26,-51.30301989199564,-22.654741731829187
mean_reversion,2025,-0.39568547774014307,0.526,526.0,526,12,11,-7.886713739650586,26,-67.00258006583306,-32.67815951838763
mean_reversion,2026,-0.1881603521157354,0.20800000000000002,208.0,208,5,5,-5.060826523105677,38,-72.51232901380193,-17.15181522363204
volatility_breakout,2023,-0.16696622113974213,0.158,158.0,152,12,11,-6.803173905914905,0,-18.971601076687605,-15.377180452162298
volatility_breakout,2024,-0.44538734046368444,0.382,382.0,371,12,11,-8.176172039847884,2,-45.992748919978496,-35.94238930738287
volatility_breakout,2025,-0.07015926193787018,0.20400000000000001,204.0,197,12,9,-4.697939228203996,0,-49.72337059045544,-6.775466311650735
volatility_breakout,2026,-0.09389570713926512,0.10400000000000001,104.0,103,5,4,-8.247525832428494,0,-54.62398427332529,-8.9622296815136
