oracle_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
monthly_oracle_best_return,2023,4.61989839773319,0.636,636.0,124,12,1,0.0,0,-99.99999999990732,10048.372062965836
monthly_oracle_best_return,2024,4.049031077370533,1.334,1334.0,243,12,1,-3.00459681138312,5,-99.99999999780789,5634.187028442514
monthly_oracle_best_return,2025,3.0020675624565705,1.224,1224.0,193,12,2,0.0,0,-99.99999999823368,1912.7107985825257
monthly_oracle_best_return,2026,1.8931298090340984,0.208,208.0,26,5,2,0.0,0,-99.99999999999756,564.0118495481124
monthly_oracle_best_return_order10,2023,3.5261775141218252,1.124,1124.0,265,12,2,-2.4418014168092195,10,-99.99999999908782,3299.3778212536135
monthly_oracle_best_return_order10,2024,2.9023574733810067,1.604,1604.0,382,12,3,-3.00459681138312,11,-99.99999999780789,1721.7040976132864
monthly_oracle_best_return_order10,2025,1.5809037226261686,1.46,1460.0,287,12,3,-3.360781346251862,10,-99.9999999999988,385.93453278070695
monthly_oracle_best_return_order10,2026,1.3204671719141887,0.336,336.0,94,5,2,-1.5246229820595425,10,-99.99998419535656,274.5170607155017
trend_monthly_oracle_order10,2023,3.278477598371386,1.043,1043.0,242,12,3,-8.014244351091115,10,-99.99999942814316,2553.5344482034725
trend_monthly_oracle_order10,2024,2.69274960349551,1.328,1328.0,352,12,4,-6.142728193917679,11,-99.99999996332669,1377.2237927210797
trend_monthly_oracle_order10,2025,1.3669606266812069,1.2630000000000001,1263.0,269,12,5,-6.793178472984341,12,-99.99999999823368,292.3407854137003
trend_monthly_oracle_order10,2026,1.2603786664879164,0.263,263.0,105,5,3,-2.9022050302263014,10,-99.99998419535656,252.67566991224467
mean_reversion_monthly_oracle_order10,2023,-0.2670002565267854,0.914,914.0,632,12,9,-10.221059282806378,24,-99.99607782518444,-23.432712495025253
mean_reversion_monthly_oracle_order10,2024,-0.029859939752737746,1.006,1006.0,526,12,9,-8.885599594970673,26,-99.99999999780789,-2.941853609111078
mean_reversion_monthly_oracle_order10,2025,-0.27474747438655966,0.772,772.0,598,12,11,-7.665440747024899,34,-99.99960405347757,-24.023604113797546
mean_reversion_monthly_oracle_order10,2026,-0.16758203026649923,0.22,220.0,220,5,5,-5.060826523105677,38,-99.84765320147301,-15.429275914694818
volatility_breakout_monthly_oracle_order10,2023,0.22040516750493708,0.382,382.0,279,12,10,-6.873433835384246,11,-99.99999999921624,24.65817026795063
volatility_breakout_monthly_oracle_order10,2024,-0.29480932428048484,0.482,482.0,392,12,11,-6.854726514015674,10,-99.99999999999838,-25.532643490253548
volatility_breakout_monthly_oracle_order10,2025,-0.1283536082088454,0.916,916.0,509,12,7,-22.000828240736038,10,-99.99999999999994,-12.04576892313951
volatility_breakout_monthly_oracle_order10,2026,-0.10498741309719285,0.246,246.0,154,5,4,-6.282858801105062,18,-99.99999999999991,-9.96641450451542
