candidate_id,hard_pass_complete_years,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,max_drawdown_pct,bucket_family,lookback_months,min_abs_mean_bps,min_samples,leverage
calendar_weekday_lbexpanding_thr0p0_min20_lev1p0,False,190.4752802545444,31.807343866931205,71.56603116404476,-10.548832319332647,43.59927657304039,-10.548832319332647,17,-25.436689044812365,10,554,1026.0,1.026,-87.82619149800371,weekday,,0.0,20,1.0
calendar_weekday_lbexpanding_thr0p0_min50_lev1p0,False,190.4752802545444,31.807343866931205,71.56603116404476,-10.548832319332647,43.59927657304039,-10.548832319332647,17,-25.436689044812365,10,554,1026.0,1.026,-87.82619149800371,weekday,,0.0,50,1.0
calendar_weekday_lbexpanding_thr0p0_min20_lev2p0,False,743.7588843895613,73.73175897255449,194.34903049381984,-19.984886005651315,106.20752232300549,-19.984886005651315,17,-44.403126593999964,10,554,2052.0,2.052,-98.51798386556723,weekday,,0.0,20,2.0
calendar_weekday_lbexpanding_thr0p0_min50_lev2p0,False,743.7588843895613,73.73175897255449,194.34903049381984,-19.984886005651315,106.20752232300549,-19.984886005651315,17,-44.403126593999964,10,554,2052.0,2.052,-98.51798386556723,weekday,,0.0,50,2.0
calendar_weekday_lbexpanding_thr0p0_min20_lev4p0,False,7019.290549863169,201.82724075697766,766.4135175265168,-35.97581532471386,325.21542262592806,-35.97581532471386,17,-69.08987667477206,10,554,4104.0,4.104,-99.9780362817728,weekday,,0.0,20,4.0
calendar_weekday_lbexpanding_thr0p0_min50_lev4p0,False,7019.290549863169,201.82724075697766,766.4135175265168,-35.97581532471386,325.21542262592806,-35.97581532471386,17,-69.08987667477206,10,554,4104.0,4.104,-99.9780362817728,weekday,,0.0,50,4.0
calendar_weekday_lb24_thr0p0_min20_lev1p0,False,77.5393651578012,-52.382159178663755,170.24994847167565,-4.576013158992276,44.577858059996544,-52.382159178663755,18,-23.53550295861304,10,702,1322.0,1.322,-92.01273007682131,weekday,24.0,0.0,20,1.0
calendar_weekday_lb24_thr0p0_min50_lev1p0,False,77.5393651578012,-52.382159178663755,170.24994847167565,-4.576013158992276,44.577858059996544,-52.382159178663755,18,-23.53550295861304,10,702,1322.0,1.322,-92.01273007682131,weekday,24.0,0.0,50,1.0
calendar_weekday_lb24_thr0p0_min20_lev2p0,False,215.20226180635075,-77.32541235513884,630.3503464894336,-8.94262735367185,109.02757041216509,-77.32541235513884,18,-41.531806922077266,10,702,2644.0,2.644,-99.36203519174285,weekday,24.0,0.0,20,2.0
calendar_weekday_lb24_thr0p0_min50_lev2p0,False,215.20226180635075,-77.32541235513884,630.3503464894336,-8.94262735367185,109.02757041216509,-77.32541235513884,18,-41.531806922077266,10,702,2644.0,2.644,-99.36203519174285,weekday,24.0,0.0,50,2.0
calendar_weekday_lb24_thr0p0_min20_lev4p0,False,893.5246584783929,-94.8586307513551,5234.116286172356,-17.085548867477307,336.92525192412626,-94.8586307513551,18,-65.81470398202747,10,702,5288.0,5.288,-99.99593000903425,weekday,24.0,0.0,20,4.0
calendar_weekday_lb24_thr0p0_min50_lev4p0,False,893.5246584783929,-94.8586307513551,5234.116286172356,-17.085548867477307,336.92525192412626,-94.8586307513551,18,-65.81470398202747,10,702,5288.0,5.288,-99.99593000903425,weekday,24.0,0.0,50,4.0
calendar_weekday_lb12_thr0p0_min20_lev1p0,False,-62.799681394388216,-39.46726129401497,-3.738553697631808,-25.9381345746287,-13.79959486106891,-39.46726129401497,25,-31.422082588251744,2,682,1282.0,1.282,-87.7990879322325,weekday,12.0,0.0,20,1.0
calendar_weekday_lb12_thr0p0_min50_lev1p0,False,-62.799681394388216,-39.46726129401497,-3.738553697631808,-25.9381345746287,-13.79959486106891,-39.46726129401497,25,-31.422082588251744,2,682,1282.0,1.282,-87.7990879322325,weekday,12.0,0.0,50,1.0
calendar_weekday_lb12_thr0p0_min20_lev2p0,False,-86.16136295640973,-63.35787544752942,-7.337339557762856,-45.14840089714192,-25.69490153884143,-63.35787544752942,25,-52.97069243467435,2,682,2564.0,2.564,-98.51137744714606,weekday,12.0,0.0,20,2.0
calendar_weekday_lb12_thr0p0_min50_lev2p0,False,-86.16136295640973,-63.35787544752942,-7.337339557762856,-45.14840089714192,-25.69490153884143,-63.35787544752942,25,-52.97069243467435,2,682,2564.0,2.564,-98.51137744714606,weekday,12.0,0.0,50,2.0
calendar_weekday_lb12_thr0p0_min20_lev4p0,False,-98.08492124775772,-86.57354708281233,-14.136313597666595,-69.91302075859338,-44.78752342677531,-86.57354708281233,25,-77.88244229926003,2,682,5128.0,5.128,-99.97784002895135,weekday,12.0,0.0,20,4.0
