selector_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
all_calendar,2023,-0.01330545816538986,0.168,168.0,110,12,9,-9.81903507757762,0,-28.96907217644492,-1.3217331843579538
all_calendar,2024,0.5402251046284514,0.256,256.0,140,12,4,-25.363412626054206,10,-46.37017784636315,71.63931867520834
all_calendar,2025,-0.3135008642865877,0.316,316.0,170,12,7,-21.28400522132633,10,-40.299179401271054,-26.911625268968876
all_calendar,2026,0.36185643282114494,0.094,94.0,52,5,2,-4.437765427961948,10,-42.86008725383507,43.59927657304039
session_only,2023,-1.3910941308690274,1.46,1460.0,742,12,9,-32.734505913447364,2,-84.34952375507318,-75.11970673153922
session_only,2024,-1.3498784493305713,1.5959999999999999,1596.0,810,12,10,-30.441078344394647,2,-93.67310743585332,-74.07282266117254
session_only,2025,-1.1372796610185594,0.63,630.0,327,12,10,-17.901587408898955,2,-98.11389509747109,-67.93097775884311
session_only,2026,-0.6079960220588667,0.484,484.0,247,5,5,-21.025541039070074,2,-98.87711453929043,-45.555917601154206
weekday_only,2023,-0.01330545816538986,0.168,168.0,110,12,9,-9.81903507757762,0,-28.96907217644492,-1.3217331843579538
weekday_only,2024,0.5402251046284514,0.256,256.0,140,12,4,-25.363412626054206,10,-46.37017784636315,71.63931867520834
weekday_only,2025,-0.3135008642865877,0.316,316.0,170,12,7,-21.28400522132633,10,-40.299179401271054,-26.911625268968876
weekday_only,2026,0.36185643282114494,0.094,94.0,52,5,2,-4.437765427961948,10,-42.86008725383507,43.59927657304039
hour_only,2023,-1.4620337515185355,1.406,1406.0,1251,12,11,-53.17531282423899,60,-77.19045756011253,-76.82355561905764
hour_only,2024,-0.7197114525164181,0.732,732.0,732,12,12,-9.120262694732917,58,-88.76680346118901,-51.31072726360828
hour_only,2025,0.0,0.0,0.0,0,12,12,0.0,0,-88.71555778476316,0.0
hour_only,2026,0.0,0.0,0.0,0,5,5,0.0,0,-88.71555778476316,0.0
hour_week_only,2023,-5.794429276286579,5.936,5936.0,5251,12,12,-46.624136383954365,387,-99.69567593466205,-99.69555325192601
hour_week_only,2024,-5.017396982582672,5.492,5492.0,4893,12,12,-50.615592225371266,365,-99.99798484491954,-99.3378259198056
hour_week_only,2025,-4.40566884302659,4.584,4584.0,4257,12,12,-39.55193881144316,303,-99.9999754163047,-98.77920615109097
hour_week_only,2026,-1.5445471640907695,1.722,1722.0,1593,5,5,-34.05560217281295,296,-99.99999477628151,-78.65915116277236
