eval_month,train_start_month,train_end_month,candidate_id,leverage,lock_log,quota_arm_log,quota_leverage,train_months,train_return_pct,train_losing_months,train_min_month_return_pct,train_min_orders
2025-01,2024-01,2024-12,440,6.0,0.04,0.04,0.25,12,107.20587782865358,0,4.791369199423512,12
2025-02,2024-01,2025-01,440,6.0,0.04,0.04,0.25,13,123.16528793188981,0,4.791369199423512,12
2025-03,2024-01,2025-02,440,6.0,0.04,0.04,0.25,14,132.54705062141744,0,4.203952494794327,12
2025-04,2024-01,2025-03,443,6.0,0.04,0.04,2.0,15,313.2069773333212,0,3.3204147055658995,12
2025-05,2024-01,2025-04,443,6.0,0.04,0.04,2.0,16,356.2833754241642,0,3.3204147055658995,12
2025-06,2024-01,2025-05,443,6.0,0.04,0.04,2.0,17,432.66447386009156,0,3.3204147055658995,12
2025-07,2024-01,2025-06,443,6.0,0.04,0.04,2.0,18,464.63018377150973,0,3.3204147055658995,12
2025-08,2024-01,2025-07,443,6.0,0.04,0.04,2.0,19,485.3792305984276,0,3.3204147055658995,12
2025-09,2024-01,2025-08,443,6.0,0.04,0.04,2.0,20,513.872916515977,0,3.3204147055658995,12
2025-10,2024-01,2025-09,443,6.0,0.04,0.04,2.0,21,529.2564038583716,0,2.5059726416508665,12
2025-11,2024-01,2025-10,443,6.0,0.04,0.04,2.0,22,583.846316874427,0,2.5059726416508665,12
2025-12,2024-01,2025-11,443,6.0,0.04,0.04,2.0,23,713.9938164780202,0,2.5059726416508665,12
2026-01,2024-01,2025-12,443,6.0,0.04,0.04,2.0,24,888.658158458062,0,2.5059726416508665,12
2026-02,2024-01,2026-01,443,6.0,0.04,0.04,2.0,25,966.0022392875454,0,2.5059726416508665,12
2026-03,2024-01,2026-02,443,6.0,0.04,0.04,2.0,26,994.1000992242787,0,2.5059726416508665,12
2026-04,2024-01,2026-03,443,6.0,0.04,0.04,2.0,27,1182.122331981494,0,2.5059726416508665,12
2026-05,2024-01,2026-04,443,6.0,0.04,0.04,2.0,28,1328.4465663507656,0,2.5059726416508665,12
2026-06,2024-01,2026-05,443,6.0,0.04,0.04,2.0,29,1475.0530278764734,0,2.5059726416508665,12
