eval_month,train_start_month,train_end_month,candidate_id,expert_index,expert_family,window,threshold_bps,leverage,lock_log,quota_arm_log,quota_leverage,train_months,train_return_pct,train_losing_months,train_min_month_return_pct,train_min_orders
2025-01,2024-01,2024-12,481,8,ret_state,64,200.0,6.0,0.08,0.08,1.0,12,344.9185433908945,0,7.322865223800501,12
2025-02,2024-01,2025-01,481,8,ret_state,64,200.0,6.0,0.08,0.08,1.0,13,388.46337563640407,0,7.322865223800501,12
2025-03,2024-01,2025-02,480,8,ret_state,64,200.0,6.0,0.08,0.08,0.25,14,279.5485342461029,0,6.953639570333658,12
2025-04,2024-01,2025-03,480,8,ret_state,64,200.0,6.0,0.08,0.08,0.25,15,332.687910147291,0,6.953639570333658,12
2025-05,2024-01,2025-04,480,8,ret_state,64,200.0,6.0,0.08,0.08,0.25,16,372.2648753362972,0,6.953639570333658,12
2025-06,2024-01,2025-05,480,8,ret_state,64,200.0,6.0,0.08,0.08,0.25,17,432.3165179477292,0,6.953639570333658,12
2025-07,2024-01,2025-06,480,8,ret_state,64,200.0,6.0,0.08,0.08,0.25,18,472.5461003559221,0,6.953639570333658,12
2025-08,2024-01,2025-07,480,8,ret_state,64,200.0,6.0,0.08,0.08,0.25,19,536.5682734343752,0,6.953639570333658,12
2025-09,2024-01,2025-08,480,8,ret_state,64,200.0,6.0,0.08,0.08,0.25,20,594.9696064642586,0,6.953639570333658,12
2025-10,2024-01,2025-09,409,7,ret_state,64,100.0,6.0,0.04,0.04,2.0,21,529.2564038583716,0,2.5059726416508665,12
2025-11,2024-01,2025-10,409,7,ret_state,64,100.0,6.0,0.04,0.04,2.0,22,583.846316874427,0,2.5059726416508665,12
2025-12,2024-01,2025-11,409,7,ret_state,64,100.0,6.0,0.04,0.04,2.0,23,713.9938164780202,0,2.5059726416508665,12
2026-01,2024-01,2025-12,409,7,ret_state,64,100.0,6.0,0.04,0.04,2.0,24,888.658158458062,0,2.5059726416508665,12
2026-02,2024-01,2026-01,409,7,ret_state,64,100.0,6.0,0.04,0.04,2.0,25,966.0022392875454,0,2.5059726416508665,12
2026-03,2024-01,2026-02,409,7,ret_state,64,100.0,6.0,0.04,0.04,2.0,26,994.1000992242787,0,2.5059726416508665,12
2026-04,2024-01,2026-03,409,7,ret_state,64,100.0,6.0,0.04,0.04,2.0,27,1182.122331981494,0,2.5059726416508665,12
2026-05,2024-01,2026-04,409,7,ret_state,64,100.0,6.0,0.04,0.04,2.0,28,1328.4465663507656,0,2.5059726416508665,12
2026-06,2024-01,2026-05,409,7,ret_state,64,100.0,6.0,0.04,0.04,2.0,29,1475.0530278764734,0,2.5059726416508665,12
