eval_month,train_start_month,train_end_month,candidate_id,leverage,lock_log,quota_arm_log,quota_leverage,train_months,train_return_pct,train_losing_months,train_min_month_return_pct,train_min_orders
2025-01,2024-01,2024-12,1055,12.0,0.08,0.08,0.5,12,329.3427580674292,0,9.812310586898844,12
2025-02,2024-01,2025-01,1055,12.0,0.08,0.08,0.5,13,398.0274573772328,0,9.812310586898844,12
2025-03,2024-01,2025-02,1055,12.0,0.08,0.08,0.5,14,440.7813075272008,0,8.584637155373542,12
2025-04,2024-01,2025-03,1057,12.0,0.08,0.08,2.0,15,861.2947908909218,0,3.9628288784211874,12
2025-05,2024-01,2025-04,1057,12.0,0.08,0.08,2.0,16,1016.00458148559,0,3.9628288784211874,12
2025-06,2024-01,2025-05,1057,12.0,0.08,0.08,2.0,17,1265.4237777653518,0,3.9628288784211874,12
2025-07,2024-01,2025-06,1057,12.0,0.08,0.08,2.0,18,1442.0160250588472,0,3.9628288784211874,12
2025-08,2024-01,2025-07,1057,12.0,0.08,0.08,2.0,19,1591.988897877471,0,3.9628288784211874,12
2025-09,2024-01,2025-08,1057,12.0,0.08,0.08,2.0,20,1720.013180026664,0,3.9628288784211874,12
2025-10,2024-01,2025-09,1057,12.0,0.08,0.08,2.0,21,1881.874193819457,0,3.9628288784211874,12
2025-11,2024-01,2025-10,1057,12.0,0.08,0.08,2.0,22,2185.9501194479344,0,3.9628288784211874,12
2025-12,2024-01,2025-11,1057,12.0,0.08,0.08,2.0,23,2736.8553701831183,0,3.9628288784211874,12
2026-01,2024-01,2025-12,1057,12.0,0.08,0.08,2.0,24,3780.27878535539,0,3.9628288784211874,12
2026-02,2024-01,2026-01,1057,12.0,0.08,0.08,2.0,25,4317.858409169287,0,3.9628288784211874,12
2026-03,2024-01,2026-02,1057,12.0,0.08,0.08,2.0,26,4623.956783249087,0,3.9628288784211874,12
2026-04,2024-01,2026-03,1057,12.0,0.08,0.08,2.0,27,5800.873598111253,0,3.9628288784211874,12
2026-05,2024-01,2026-04,1057,12.0,0.08,0.08,2.0,28,6667.238941428796,0,3.9628288784211874,12
2026-06,2024-01,2026-05,1057,12.0,0.08,0.08,2.0,29,7679.998323326537,0,3.9628288784211874,12
