date,bars,net_log,gross_log,cost_log,turnover,orders,active_bars,large_active_bars,worst_bar_log_return,net_return_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-02-01,96,0.10704083074213504,0.12254083074213504,-0.0155,15.5,1,95,88,-0.020173005851333414,11.297969733860992,1F_base,1F,0.001,0.002,0
2025-02-02,96,0.014824953255545559,0.014824953255545559,0.0,0.0,0,96,0,-0.004262201917828001,1.4935387929821298,1F_base,1F,0.001,0.002,0
2025-02-03,96,0.01085888422788217,0.011858884227882172,-0.001,1.0,2,96,0,-0.009332346404883674,1.0918055896700585,1F_base,1F,0.001,0.002,0
2025-02-04,96,-0.0065541408716733186,-0.0055541408716733185,-0.001,1.0,2,96,0,-0.004634015843705264,-0.6532709337716547,1F_base,1F,0.001,0.002,0
2025-02-05,96,-0.013655715788336707,-0.011655715788336707,-0.002,2.0,4,96,0,-0.0034435730951907217,-1.3562899472912116,1F_base,1F,0.001,0.002,0
2025-02-06,96,-0.010218349500874201,-0.009518349500874202,-0.0007,0.7,3,40,0,-0.0026441356202235866,-1.0166319538531643,1F_base,1F,0.001,0.002,0
2025-02-07,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-08,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-09,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-10,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-11,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-12,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-13,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-14,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-15,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-16,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-17,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-18,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-19,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-20,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-21,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-22,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-23,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-24,96,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-25,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-26,96,0.0,0.0,0.0,0.0,0,0,0,-0.0,0.0,1F_base,1F,0.001,0.002,0
2025-02-27,96,-0.0002179415439805708,-0.00011794154398057074,-0.0001,0.1,1,24,0,-0.0005820806120816257,-0.021791779644753095,1F_base,1F,0.001,0.002,0
2025-02-28,96,0.00043617873029173633,0.00043617873029173633,0.0,0.0,0,96,0,-0.0015703331062832506,0.04362738700662838,1F_base,1F,0.001,0.002,0
2025-02-01,96,0.07916981055630878,0.11016981055630878,-0.031,15.5,1,95,89,-0.028195754864881337,8.23881073921875,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-02,96,0.014824953255545559,0.014824953255545559,0.0,0.0,0,96,0,-0.004262201917828001,1.4935387929821298,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-03,96,0.006843798399137626,0.008843798399137626,-0.002,1.0,2,96,0,-0.008332346404883673,0.6867270703422079,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-04,96,-0.004385178126369602,-0.0023851781263696022,-0.002,1.0,2,96,0,-0.004634015843705264,-0.43755772717157804,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-05,96,-0.01464634077458173,-0.010646340774581731,-0.004,2.0,4,96,0,-0.0034435730951907217,-1.4539604857800925,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-06,96,-0.29085467391812947,-0.24185467391812948,-0.049,24.5,4,96,54,-0.03925645345960049,-25.237568056326122,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-07,96,-0.329726526143643,-0.23372652614364303,-0.096,48.0,6,95,93,-0.12043429312211094,-28.087963283639873,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-08,96,0.003534052645179031,0.003534052645179031,0.0,0.0,0,96,96,-0.02211301582816816,0.3540304772174263,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-09,96,-0.25136516186918856,-0.18736516186918858,-0.064,32.0,4,96,94,-0.05591681103727808,-22.226168067883222,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-10,96,-0.029208777369611,0.002791222630389001,-0.032,16.0,2,96,95,-0.05103306661388274,-2.878632413807103,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-11,96,-0.05792621484413602,-0.02592621484413602,-0.032,16.0,2,96,95,-0.045606786892918194,-5.62804226359529,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-12,96,-0.4727826674823827,-0.34438266748238267,-0.12840000000000001,64.2,10,93,88,-0.18386018482295619,-37.67344876778207,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-13,96,-0.21505404526684352,-0.18305404526684352,-0.032,16.0,2,96,95,-0.03748439593837816,-19.35021483921393,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-14,96,-0.007987347855985913,0.024012652144014088,-0.032,16.0,2,96,95,-0.05594844495190898,-0.795553375288538,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-15,96,0.007623225358884156,0.007623225358884156,0.0,0.0,0,96,96,-0.0241432869735263,0.7652356117718195,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-16,96,-0.13805925510237188,-0.10605925510237188,-0.032,16.0,2,96,95,-0.043236967176270014,-12.895292376710065,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-17,96,0.0270100595347742,0.0270100595347742,0.0,0.0,0,96,96,-0.043226543588360755,2.7378137657609214,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-18,96,-0.041852070530734385,-0.009852070530734378,-0.032,16.0,2,95,94,-0.09681021943368683,-4.098836383772819,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-19,96,0.04498271236651113,0.07698271236651114,-0.032,16.0,2,96,95,-0.04011814937588554,4.600977671876394,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-20,96,0.09245234989334555,0.12445234989334555,-0.032,16.0,2,95,94,-0.07866893714179389,9.68608747773867,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-21,96,-0.10257224550445794,-0.038572245504457925,-0.064,32.0,4,94,92,-0.09575837104964967,-9.748705510540878,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-22,96,-0.07221382241042648,-0.04021382241042648,-0.032,16.0,2,96,95,-0.02838538347103281,-6.966805127748188,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-23,96,-0.15516676894911413,-0.12316676894911413,-0.032,16.0,2,96,95,-0.03126706206901986,-14.372763406694366,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-24,96,0.4009854232136405,0.4009854232136405,0.0,0.0,0,96,96,-0.03317962865732227,49.32955008918214,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-25,96,0.27723256673301233,0.3732325667330123,-0.096,48.0,6,93,90,-0.11653184150557115,31.947320092599995,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-26,96,-0.1418197596638179,-0.013819759663817866,-0.128,64.0,8,93,90,-0.09883027470933746,-13.222234907326836,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-27,96,-0.47794470207690204,-0.38194470207690207,-0.096,48.0,6,81,80,-0.08430369873098618,-37.994351613025025,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-28,96,-0.29806257563201977,-0.09006257563201975,-0.20800000000000002,104.0,13,65,59,-0.14162664850266005,-25.774510877442147,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-01,96,0.07916981055630878,0.11016981055630878,-0.031,15.5,1,95,89,-0.028195754864881337,8.23881073921875,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-02,96,0.014824953255545559,0.014824953255545559,0.0,0.0,0,96,0,-0.004262201917828001,1.4935387929821298,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-03,96,0.00465624449077562,0.00665624449077562,-0.002,1.0,2,96,0,-0.008332346404883673,0.4667101641797178,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-04,96,-0.004299149836932734,-0.0022991498369327344,-0.002,1.0,2,96,0,-0.004634015843705264,-0.42899217213594465,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-05,96,-0.011720341424865395,-0.007720341424865396,-0.004,2.0,4,96,0,-0.0034435730951907217,-1.1651925769107563,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-06,96,-0.2824340568666457,-0.2334340568666457,-0.049,24.5,4,96,53,-0.03925645345960049,-24.60536420946884,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-07,96,-0.34871518988377026,-0.2527151898837703,-0.096,48.0,6,95,93,-0.12043429312211094,-29.440593801829195,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-08,96,0.003534052645179031,0.003534052645179031,0.0,0.0,0,96,96,-0.02211301582816816,0.3540304772174263,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-09,96,-0.2072537025301599,-0.1432537025301599,-0.064,32.0,4,96,94,-0.05591681103727808,-18.718658899191887,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-10,96,-0.02743777894669923,0.004562221053300772,-0.032,16.0,2,96,95,-0.05103306661388274,-2.706478227580633,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-11,96,-0.09212400477678011,-0.06012400477678011,-0.032,16.0,2,96,95,-0.045606786892918194,-8.800794883786411,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-12,96,-0.49979328768928655,-0.33939328768928656,-0.16040000000000001,80.2,12,93,87,-0.18386018482295619,-39.33439499737646,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-13,96,-0.2063046536932514,-0.1743046536932514,-0.032,16.0,2,96,95,-0.03748439593837816,-18.641482320579428,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-14,96,-0.0006435363728001867,0.031356463627199814,-0.032,16.0,2,96,95,-0.05594844495190898,-0.06433293476804103,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-15,96,0.007623225358884156,0.007623225358884156,0.0,0.0,0,96,96,-0.0241432869735263,0.7652356117718195,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-16,96,-0.14758521182054432,-0.1155852118205443,-0.032,16.0,2,96,95,-0.043236967176270014,-13.721108462531673,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-17,96,0.0270100595347742,0.0270100595347742,0.0,0.0,0,96,96,-0.043226543588360755,2.7378137657609214,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-18,96,-0.041852070530734385,-0.009852070530734378,-0.032,16.0,2,95,94,-0.09681021943368683,-4.098836383772819,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-19,96,0.03235148019046526,0.06435148019046526,-0.032,16.0,2,96,95,-0.04011814937588554,3.288047853975584,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-20,96,0.09245234989334555,0.12445234989334555,-0.032,16.0,2,95,94,-0.07866893714179389,9.68608747773867,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-21,96,-0.0750454513085618,-0.01064545130856178,-0.0644,32.2,6,94,91,-0.09575837104964967,-7.22986798686488,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-22,96,-0.074677734660478,-0.042677734660477994,-0.032,16.0,2,96,95,-0.02838538347103281,-7.195748592128437,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-23,96,-0.15808214195794557,-0.12608214195794556,-0.032,16.0,2,96,95,-0.03126706206901986,-14.622035204388862,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-24,96,0.4009854232136405,0.4009854232136405,0.0,0.0,0,96,96,-0.03317962865732227,49.32955008918214,1F_04pct_delay2_fail,1F,0.002,0.004,2
