guard_reason,bars,net_log,gross_log,cost_log,turnover,orders,active_bars,large_active_bars,worst_bar_log_return,net_return_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
main,514,0.10777071345440989,0.1253707134544099,-0.0176,17.6,2,514,88,-0.020173005851333414,11.379233850910463,1F_base,1F,0.001,0.002,0
post_lock_flat,2048,3.329849716043896e-05,0.00013329849716043897,-0.0001,0.1,1,1,0,0.0,0.0033299051561463955,1F_base,1F,0.001,0.002,0
post_lock_runner,121,0.00021823718631116553,0.00031823718631116536,-0.0001,0.1,1,120,0,-0.0015703331062832506,0.02182610017782416,1F_base,1F,0.001,0.002,0
weak_new_order_small,5,-0.00550754988689178,-0.0030075498868917805,-0.0024999999999999996,2.5,9,4,0,-0.002052171323379936,-0.5492411139233822,1F_base,1F,0.001,0.002,0
adverse_shock_cut,22,-2.2389309621492077,-1.8869309621492079,-0.352,176.0,22,22,22,-0.18386018482295619,-89.34276265957226,1F_04pct_delay1_fail,1F,0.002,0.004,1
main,2587,0.28479838657562356,0.9849983865756237,-0.7002,350.1,9,2586,2125,-0.05966465251134423,32.94939572696276,1F_04pct_delay1_fail,1F,0.002,0.004,1
shock_cooldown_small,21,-0.004200000000000001,0.0,-0.004200000000000001,2.1,21,0,0,-0.0002,-0.41911923350455016,1F_04pct_delay1_fail,1F,0.002,0.004,1
strong_conflict_flat,39,0.03272373736013458,0.04872373736013458,-0.016,8.0,1,1,1,0.0,3.326504727809776,1F_04pct_delay1_fail,1F,0.002,0.004,1
weak_new_order_small,19,-0.22136034335092752,-0.005360343350927544,-0.216,108.0,37,18,13,-0.03767605801441443,-19.857216094074104,1F_04pct_delay1_fail,1F,0.002,0.004,1
adverse_shock_cut,22,-2.2389309621492077,-1.8869309621492079,-0.352,176.0,22,22,22,-0.18386018482295619,-89.34276265957226,1F_04pct_delay2_fail,1F,0.002,0.004,2
main,2585,0.1304341317840307,0.8464341317840308,-0.7160000000000001,358.0,9,2584,2121,-0.08236746638090506,13.932289225563487,1F_04pct_delay2_fail,1F,0.002,0.004,2
shock_cooldown_small,21,-0.004200000000000001,0.0,-0.004200000000000001,2.1,21,0,0,-0.0002,-0.41911923350455016,1F_04pct_delay2_fail,1F,0.002,0.004,2
strong_conflict_flat,39,-0.010382818563096294,0.0056171814369037065,-0.016,8.0,1,1,1,-0.010382818563096294,-1.0329103168910558,1F_04pct_delay2_fail,1F,0.002,0.004,2
weak_new_order_small,21,-0.18324138626680048,0.04935861373319952,-0.23259999999999997,116.3,41,20,14,-0.030651239598798792,-16.743283879949633,1F_04pct_delay2_fail,1F,0.002,0.004,2
main,516,0.09356880942692808,0.11606880942692807,-0.022500000000000003,22.5,2,516,90,-0.01804628550677117,9.808615942113196,1G_base,1G,0.001,0.002,0
post_lock_flat,2046,-0.004881886572173471,0.002118113427826529,-0.007,7.0,1,1,1,-0.004881886572173471,-0.48699895317957376,1G_base,1G,0.001,0.002,0
post_lock_runner,121,0.00021823718631116553,0.00031823718631116536,-0.0001,0.1,1,120,0,-0.0015703331062832506,0.02182610017782416,1G_base,1G,0.001,0.002,0
weak_new_order_small,5,-0.00550754988689178,-0.0030075498868917805,-0.0024999999999999996,2.5,9,4,0,-0.002052171323379936,-0.5492411139233822,1G_base,1G,0.001,0.002,0
adverse_shock_cut,17,-1.554933416951622,-1.3764334169516221,-0.17850000000000002,119.0,17,17,17,-0.15737766172008666,-78.8796555258004,1G_03pct_delay1_fail,1G,0.0015,0.003,1
main,2594,0.18749430664917127,0.6365943066491713,-0.44910000000000005,299.40000000000003,11,2593,2135,-0.07791347253488033,20.622338194853995,1G_03pct_delay1_fail,1G,0.0015,0.003,1
shock_cooldown_small,17,-0.00255,0.0,-0.00255,1.7000000000000002,17,0,0,-0.00015000000000000001,-0.2546751511801615,1G_03pct_delay1_fail,1G,0.0015,0.003,1
strong_conflict_flat,40,-0.03258780927288205,-0.011587809272882055,-0.021,14.0,2,2,2,-0.0647210794629998,-3.2062547784303064,1G_03pct_delay1_fail,1G,0.0015,0.003,1
weak_new_order_small,20,-0.16933826953610845,-0.016188269536108458,-0.15315,102.1,39,19,14,-0.02944155076261263,-15.57767199373954,1G_03pct_delay1_fail,1G,0.0015,0.003,1
adverse_shock_cut,17,-1.6144334169516221,-1.3764334169516221,-0.23800000000000002,119.0,17,17,17,-0.16087766172008666,-80.09966095472195,1G_04pct_delay0_fail,1G,0.002,0.004,0
main,2594,0.45476834884691636,1.0535683488469163,-0.5988,299.40000000000003,11,2593,2136,-0.07422455145513804,57.580830293959664,1G_04pct_delay0_fail,1G,0.002,0.004,0
shock_cooldown_small,17,-0.0034000000000000002,0.0,-0.0034000000000000002,1.7000000000000002,17,0,0,-0.0002,-0.33942265451023523,1G_04pct_delay0_fail,1G,0.002,0.004,0
strong_conflict_flat,41,-0.02175512681202949,0.006244873187970512,-0.028,14.0,2,2,2,-0.014066555344924169,-2.1520190812387763,1G_04pct_delay0_fail,1G,0.002,0.004,0
weak_new_order_small,19,-0.48011267108749744,-0.27631267108749746,-0.20379999999999998,101.89999999999999,37,18,14,-0.07051194936374407,-38.12863232640291,1G_04pct_delay0_fail,1G,0.002,0.004,0
