month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-01,0.0571229728185399,0.9999000049998333,1.058786004289359,-0.1755076110748066,66.0,12,5.8786004289359095,-17.55076110748066,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-02,0.1025146992509897,1.0586801309826837,1.1730857522473876,-0.07577983544920897,20.3,13,10.795358787798182,-7.5779835449208965,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-03,0.34854514671692954,1.172648963878496,1.6622678069252848,-0.28832514363126105,65.9,11,41.7004514581075,-28.832514363126105,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-04,0.17768113995832296,1.6621015884556543,1.9854864731435484,-0.2940311707059142,80.0,16,19.444439991659614,-29.40311707059142,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-05,0.16267498321787036,1.9852879344233354,2.3362309880837415,-0.11041711734270554,48.0,12,17.665419517307136,-11.041711734270553,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-06,0.12022370634822158,2.335997376665699,2.6346824128870976,-0.1815275883768278,48.0,12,12.774910799730277,-18.152758837682782,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-07,0.08781515310132494,2.6344189578187818,2.8765101370655892,-0.1266719108852319,48.2,14,9.178629006503147,-12.66719108852319,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-08,0.09101474132181223,2.8762225004339537,3.150598840088801,-0.09124752489812216,32.2,12,9.528515109034807,-9.124752489812217,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-09,0.043906387178500296,3.1502837959572614,3.292012006267483,-0.2227604026224147,64.0,14,4.488453572042084,-22.27604026224147,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-10,0.11288325522375074,3.2916828215263676,3.6854114882117925,-0.17782653140380156,51.9,16,11.950122939871921,-17.782653140380155,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-11,0.20004930992724415,3.6850429654894143,4.501593724443437,-0.10856216691394205,36.2,14,22.146298692623635,-10.856216691394206,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-12,0.17030175358101537,4.501143587578211,5.337371208158064,-0.1125111849935162,32.2,12,18.56625752733738,-11.25111849935162,1F_cost0.0010_delay0,1F,0.001,0.002,0
2026-01,0.10944515013232718,5.336837497723216,5.954685560300788,-0.2098909446623689,68.3,13,11.565887551519282,-20.989094466236892,1F_cost0.0010_delay0,1F,0.001,0.002,0
2026-02,0.2593753564052713,5.903351424904103,7.717988361779509,-0.2442711463198599,60.1,11,29.612022055949573,-24.42711463198599,1F_cost0.0010_delay0,1F,0.001,0.002,0
2026-03,0.21158692714390342,7.717216601531985,9.536634851752332,-0.292524969522971,36.0,12,23.563737138798956,-29.2524969522971,1F_cost0.0010_delay0,1F,0.001,0.002,0
2026-04,0.18975958475467902,9.53568123594874,11.529399680809554,-0.11229497873015382,36.0,12,20.895891056278117,-11.229497873015381,1F_cost0.0010_delay0,1F,0.001,0.002,0
2026-05,0.13330054833545787,11.528246798486547,13.173415419324387,-0.0950269055650087,32.2,12,14.259335126106066,-9.50269055650087,1F_cost0.0010_delay0,1F,0.001,0.002,0
2026-06,0.37910887719669967,13.172098143647334,19.246124053931137,-0.2113058144879908,54.7,12,46.09820947192284,-21.13058144879908,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025-01,0.12431745339918499,0.9999000049998333,1.1323752903317812,-0.18854483978330894,82.0,14,13.23752903317812,-18.854483978330894,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-02,0.10346602861442762,1.1322620584644358,1.2558133898074904,-0.048437944298612035,20.3,13,10.900811818274668,-4.8437944298612035,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-03,0.08617390812485269,1.255345798515792,1.368831409587906,-0.28043515638651717,65.9,11,8.9995870961163,-28.043515638651716,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-04,0.17131949848505498,1.368694533290876,1.6246247866930956,-0.33512024922925077,80.0,16,18.686989158306776,-33.51202492292508,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-05,0.1503568088204917,1.6244623323372793,1.8882183215346733,-0.10778356613523032,48.0,12,16.22488694008659,-10.778356613523032,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-06,0.12809838165353687,1.8880295091432968,2.1462713464253507,-0.17505694019954698,48.0,12,13.6664824161298,-17.5056940199547,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-07,0.08289339214847252,2.1460567300217073,2.3317649526773927,-0.132303781814484,48.2,14,8.64259808346155,-13.2303781814484,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-08,0.10048984114791866,2.331531787840561,2.578261442762717,-0.09124752489812216,32.2,12,10.571240887821487,-9.124752489812217,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-09,0.09739990886053841,2.5780036295093183,2.842020438542629,-0.23341933068377685,64.0,14,10.23011054679095,-23.341933068377685,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-10,0.09136136760443857,2.8417362507084034,3.113901958645705,-0.13721864802738193,51.9,16,9.566487151742443,-13.721864802738192,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-11,0.20157316758411012,3.1135905840188314,3.809316422759715,-0.1191364231744082,36.2,14,22.332574157744634,-11.91364231744082,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-12,0.2552619957350054,3.8089355101633866,4.917064726576066,-0.08459808730000773,28.4,12,29.079976060739664,-8.459808730000773,1F_cost0.0010_delay1,1F,0.001,0.002,1
2026-01,0.09642860426117195,4.916573044687913,5.414823885329534,-0.1564623805940365,44.3,13,10.123095513938441,-15.64623805940365,1F_cost0.0010_delay1,1F,0.001,0.002,1
2026-02,0.2694718804831287,5.368143787839269,7.0894817142666415,-0.23410762015542297,60.1,11,30.927281558949193,-23.410762015542296,1F_cost0.0010_delay1,1F,0.001,0.002,1
2026-03,0.2131902077994121,7.088772801541442,8.774084599120396,-0.2827379319698142,36.0,12,23.762003384023323,-28.273793196981423,1F_cost0.0010_delay1,1F,0.001,0.002,1
2026-04,0.19699978126387338,8.773207234529442,10.68458689612295,-0.10679457809186521,36.0,12,21.774377434132287,-10.679457809186522,1F_cost0.0010_delay1,1F,0.001,0.002,1
2026-05,0.14713415931573098,10.683518490854489,12.378194113122229,-0.09049555405500553,32.2,12,15.85093774298214,-9.049555405500554,1F_cost0.0010_delay1,1F,0.001,0.002,1
2026-06,0.4277106406162521,12.376956355599821,18.984958845004012,-0.22228019941771848,54.7,12,53.37422140502621,-22.228019941771848,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025-01,0.12831941056514096,0.9999000049998333,1.1369160877174733,-0.1936318196414184,82.0,14,13.691608771747333,-19.36318196414184,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-02,0.10251650768465546,1.1368024017930924,1.2596525364987672,-0.04843794429861181,20.3,13,10.795559154036205,-4.843794429861181,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-03,0.08365433626759618,1.2591835157338884,1.3695610054573932,-0.22469559962025876,65.9,11,8.725300491524358,-22.469559962025876,1F_cost0.0010_delay2,1F,0.001,0.002,2
