year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025,1.6747332486445217,433.737120815807,12,0,4.488453572042084,11,158,-29.40311707059142,1F_cost0.0010_delay0,1F,0.001,0.002,0
2026,1.2825764439683385,260.5918213916581,6,0,11.565887551519282,11,72,-29.2524969522971,1F_cost0.0010_delay0,1F,0.001,0.002,0
2025,1.5927117521780325,391.70647265760675,12,0,8.64259808346155,11,160,-33.51202492292508,1F_cost0.0010_delay1,1F,0.001,0.002,1
2026,1.3509352737395692,286.10349671406306,6,0,10.123095513938441,11,72,-28.273793196981423,1F_cost0.0010_delay1,1F,0.001,0.002,1
2025,1.540824592774567,366.8438244709525,12,0,7.809702142855923,11,158,-33.44708586754267,1F_cost0.0010_delay2,1F,0.001,0.002,2
2026,1.3121266013904611,271.4063652785698,6,0,8.85881712830312,11,72,-27.83877565253561,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025,1.5998044179426907,395.206379485,12,0,7.236556993808496,11,160,-31.421025582351103,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2026,1.098545576336508,199.979986968085,6,0,3.5530941872242483,11,72,-30.78156400259787,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025,1.6211963901563564,405.9139401889324,12,0,6.710061001394352,11,160,-35.41248632108414,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2026,1.2350392966725765,243.8513640194903,6,0,9.420998412442994,11,72,-29.82401298907229,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025,1.5203562809543099,357.38544821227293,12,0,3.7762597926878527,11,162,-35.95988455036684,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2026,1.201114766898554,232.38201429114778,6,0,8.694364957375722,11,72,-29.398397486604765,1F_cost0.0015_delay2,1F,0.0015,0.003,2
2025,1.4344129156921008,319.7180186704497,12,0,5.105353667367951,11,162,-41.084754089150785,1F_cost0.0020_delay0,1F,0.002,0.004,0
2026,1.1212953719091794,206.88269018392168,6,0,10.638788163070668,11,72,-32.277583299358156,1F_cost0.0020_delay0,1F,0.002,0.004,0
2025,-0.6742360792212806,-49.045447561982435,12,1,-88.31622643491504,12,240,-92.62851061606712,1F_cost0.0020_delay1,1F,0.002,0.004,1
2026,1.1210158059868531,206.79690823300817,6,0,8.927151343699503,11,72,-64.81637683990196,1F_cost0.0020_delay1,1F,0.002,0.004,1
2025,-0.8775259960532236,-58.41896433304418,12,1,-90.03728972251442,12,244,-93.22102085555142,1F_cost0.0020_delay2,1F,0.002,0.004,2
2026,1.0273906555967023,179.37664167293673,6,0,5.962079751233906,11,88,-81.59082084274452,1F_cost0.0020_delay2,1F,0.002,0.004,2
2025,1.7424652845042485,471.14063225294166,12,0,8.69739145034163,11,160,-27.873827857166546,1G_cost0.0010_delay0,1G,0.001,0.002,0
2026,1.24171729651544,246.1552876129979,6,0,10.335215882881998,11,72,-28.668419592847528,1G_cost0.0010_delay0,1G,0.001,0.002,0
2025,1.7433939462343522,471.67127505631817,12,0,6.1073487754330635,11,160,-31.73462709962035,1G_cost0.0010_delay1,1G,0.001,0.002,1
2026,1.327292204008404,277.08189425427713,6,0,11.714835341545227,11,72,-27.681635853356255,1G_cost0.0010_delay1,1G,0.001,0.002,1
2025,1.5980994711633083,394.36279829802794,12,0,5.782348971881901,11,160,-31.651233461978677,1G_cost0.0010_delay2,1G,0.001,0.002,2
2026,1.2939395709486994,264.71264040090176,6,0,10.85097210846946,11,72,-27.24302689030581,1G_cost0.0010_delay2,1G,0.001,0.002,2
2025,1.5590965572518358,375.4523864105287,12,0,6.057104464648111,11,160,-29.760068349356583,1G_cost0.0015_delay0,1G,0.0015,0.003,0
2026,1.2046373030962982,233.5549065328603,6,0,9.814016551615602,11,72,-30.17520664754606,1G_cost0.0015_delay0,1G,0.0015,0.003,0
2025,-0.06993895028763386,-6.754925598195194,12,1,-79.2352882204787,12,236,-85.95574012962372,1G_cost0.0015_delay1,1G,0.0015,0.003,1
2026,1.2109959083067925,235.6826079372385,6,0,8.321105099648808,11,72,-31.40437180339768,1G_cost0.0015_delay1,1G,0.0015,0.003,1
2025,-0.26515195400473845,-23.291062118375073,12,1,-83.69455740115842,12,238,-88.21664616112137,1G_cost0.0015_delay2,1G,0.0015,0.003,2
2026,1.19986240248945,231.96601143418135,6,0,13.50658751474354,11,88,-59.42340740272376,1G_cost0.0015_delay2,1G,0.0015,0.003,2
2025,-0.36801249101634137,-30.78914635043024,12,1,-81.07966404668376,12,236,-87.5411415303142,1G_cost0.0020_delay0,1G,0.002,0.004,0
2026,1.092516222817515,198.17674323778576,6,0,9.490375178709165,11,72,-49.09711222423003,1G_cost0.0020_delay0,1G,0.002,0.004,0
2025,-0.4965271656248529,-39.13592979696827,12,1,-84.1184986170343,12,238,-89.44748983292797,1G_cost0.0020_delay1,1G,0.002,0.004,1
2026,1.0162286271769623,176.2755709754271,6,0,2.6994564154629863,11,72,-54.88655734079588,1G_cost0.0020_delay1,1G,0.002,0.004,1
2025,-0.7075006871691449,-50.71254930644113,12,1,-87.61607879911682,12,238,-91.20803844919894,1G_cost0.0020_delay2,1G,0.002,0.004,2
2026,1.0238167399635403,178.37995522324235,6,0,6.163967698021766,11,88,-75.99010408404092,1G_cost0.0020_delay2,1G,0.002,0.004,2
