candidate_id,family,rule,leverage,body_bps,min_range_bps,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,wick_ratio,natr_window,natr_min_bps,natr_max_bps
volatility_structure_high_vol_body_reversal_lev1p0_natr_window14_natr_min_bps100_body_bps5,volatility_structure,high_vol_body_reversal,1.0,5.0,,False,"['2023-03', '2023-05', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2026-01', '2026-02', '2026-04', '2026-05']",-76.6413632707173,-17.891861016600462,-39.426998916474034,-41.679495174914535,-19.46940312806903,-41.679495174914535,33,-23.436374999831887,0,1026,1638.0,1.6380000000000001,-99.99745635286281,1,,14.0,100.0,
volatility_structure_high_vol_body_reversal_lev2p0_natr_window14_natr_min_bps100_body_bps5,volatility_structure,high_vol_body_reversal,2.0,5.0,,False,"['2023-03', '2023-05', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2026-01', '2026-02', '2026-04', '2026-05']",-94.54374090149406,-32.58253512682746,-63.309115397351626,-65.98718716947184,-35.148229674505416,-65.98718716947184,33,-41.38011326833633,0,1026,3276.0,3.2760000000000002,-99.99999993529859,1,,14.0,100.0,
volatility_structure_high_vol_body_reversal_lev4p0_natr_window14_natr_min_bps100_body_bps5,volatility_structure,high_vol_body_reversal,4.0,5.0,,False,"['2023-03', '2023-05', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2026-01', '2026-02', '2026-04', '2026-05']",-99.7022923664997,-54.548854300745475,-86.5377898707514,-88.4312856335546,-57.942478856493,-88.4312856335546,33,-65.6370887956692,0,1026,6552.0,6.5520000000000005,-100.0,1,,14.0,100.0,
volatility_structure_high_vol_body_reversal_lev1p0_natr_window60_natr_min_bps100_body_bps5,volatility_structure,high_vol_body_reversal,1.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-49.73841661106717,-10.869321533911592,-27.252903579634758,-6.653201610631676,-16.958752908029297,-27.252903579634758,40,-16.958752908029297,0,373,622.0,0.6220000000000001,-99.98443553125645,1,,60.0,100.0,
volatility_structure_high_vol_body_momentum_lev1p0_natr_window14_natr_min_bps100_body_bps5,volatility_structure,high_vol_body_momentum,1.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-83.82650849873066,-42.355016558658974,-57.11632982566917,-23.87424619431362,-14.055376642816286,-57.11632982566917,40,-19.108011633890378,0,1026,1638.0,1.6380000000000001,-99.99823043711248,1,,14.0,100.0,
volatility_structure_high_vol_body_momentum_lev1p0_natr_window60_natr_min_bps100_body_bps5,volatility_structure,high_vol_body_momentum,1.0,5.0,,False,"['2023-01', '2023-02', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-42.65421548163507,-2.851884114328862,-27.22653634867417,-17.399246775732514,-1.800322159884804,-27.22653634867417,40,-21.17305365073532,0,373,622.0,0.6220000000000001,-99.9711870087672,1,,60.0,100.0,
volatility_structure_high_vol_body_reversal_lev2p0_natr_window60_natr_min_bps100_body_bps5,volatility_structure,high_vol_body_reversal,2.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-74.73773235237351,-20.557221561747628,-47.07859962406082,-12.863752304546239,-31.041512814102667,-47.07859962406082,40,-31.041512814102667,0,373,1244.0,1.2440000000000002,-99.99999757747314,1,,60.0,100.0,
volatility_structure_high_vol_body_momentum_lev2p0_natr_window14_natr_min_bps100_body_bps5,volatility_structure,high_vol_body_momentum,2.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-97.38418172658369,-66.7705588404752,-81.6099083237921,-42.04869607516025,-26.135217159918312,-81.6099083237921,40,-34.56486218177185,0,1026,3276.0,3.2760000000000002,-99.99999996868647,1,,14.0,100.0,
volatility_structure_high_vol_body_momentum_lev2p0_natr_window60_natr_min_bps100_body_bps5,volatility_structure,high_vol_body_momentum,2.0,5.0,,False,"['2023-01', '2023-02', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-67.11460997973258,-5.622435798642112,-47.040229881891584,-31.771155667836638,-3.5682327209758724,-47.040229881891584,40,-37.86312529250148,0,373,1244.0,1.2440000000000002,-99.99999169811537,1,,60.0,100.0,
range_structure_range_reversal_lev1p0_min_range_bps100,range_structure,range_reversal,1.0,,100.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.68774406065461,-78.1658270419606,-88.02259658370659,-77.62757132029854,-46.62988338316455,-88.02259658370659,40,-40.38535046818345,12,5142,5684.0,5.684,-99.99999999278458,1,,,,
