oracle_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
monthly_oracle_best_return,2023,0.41613629370817096,0.5760000000000001,576.0,87,12,7,0.0,0,-99.99999999999999,51.609248865696976
monthly_oracle_best_return,2024,0.16846174913992085,0.368,368.0,109,12,10,-1.7922164126214724,0,-100.0,18.34829567380696
monthly_oracle_best_return,2025,0.1220869906710481,0.376,376.0,66,12,9,0.0,0,-100.0,12.985238412251343
monthly_oracle_best_return,2026,0.001754401443583669,0.17400000000000002,174.0,70,5,4,-1.800322159884804,0,-100.0,0.17559413061769558
monthly_oracle_best_return_order10,2023,0.20537403988991515,0.864,864.0,323,12,8,-4.7995079330344526,12,-100.0,22.798429418301392
monthly_oracle_best_return_order10,2024,-0.02593495153543529,0.722,722.0,375,12,11,-3.876791973517757,10,-100.0,-2.5601529328302064
monthly_oracle_best_return_order10,2025,-0.07153022326778737,0.644,644.0,290,12,10,-4.87721370408869,10,-100.0,-6.903185972974191
monthly_oracle_best_return_order10,2026,-0.03020716912641608,0.252,252.0,137,5,4,-2.1025306216982287,13,-100.0,-2.9755491981050763
body_structure_oracle_order10,2023,-2.634197352836393,3.268,3268.0,3046,12,12,-40.06778713623134,89,-100.0,-92.82234424556513
body_structure_oracle_order10,2024,-5.0943107229777596,5.856,5856.0,5349,12,12,-56.7664253419616,210,-99.99999999999999,-99.38684684975938
body_structure_oracle_order10,2025,-3.5217395153606925,3.874,3874.0,3568,12,12,-37.72764717239625,81,-100.0,-97.04520087475377
body_structure_oracle_order10,2026,-1.6951374507042112,1.9780000000000002,1978.0,1846,5,5,-46.1730589436372,145,-100.0,-81.6426005081342
wick_structure_oracle_order10,2023,-0.656291449671028,0.614,614.0,608,12,12,-12.373187556527288,16,-99.79831573577417,-48.12283377065019
wick_structure_oracle_order10,2024,-0.8367269481641928,0.884,884.0,877,12,12,-13.400943426025492,39,-99.9128615594255,-56.68741506957129
wick_structure_oracle_order10,2025,-0.6590153108903303,0.586,586.0,579,12,12,-11.981714747286853,10,-99.99999999414152,-48.26394769728487
wick_structure_oracle_order10,2026,-0.19014038998383193,0.20600000000000002,206.0,204,5,5,-9.42992428099828,14,-99.96212827089853,-17.31569546870505
range_structure_oracle_order10,2023,-1.000828840563184,1.6960000000000002,1696.0,1375,12,11,-16.366928782307966,40,-100.0,-63.24253459043678
range_structure_oracle_order10,2024,-1.6688166241153355,2.196,2196.0,1962,12,12,-29.235456129608416,63,-99.99999993963367,-81.15300354628388
range_structure_oracle_order10,2025,-1.0071767348642218,1.294,1294.0,1169,12,12,-17.78899170449233,12,-99.99999998651813,-63.47512807515889
range_structure_oracle_order10,2026,-0.6129978886171884,0.714,714.0,636,5,5,-28.613981210007,28,-99.99999999254517,-45.827559711067366
volatility_structure_oracle_order10,2023,0.11352804533636601,0.994,994.0,374,12,8,-8.77100299269996,12,-100.0,12.022330549124138
volatility_structure_oracle_order10,2024,-0.10613879129448198,0.798,798.0,400,12,11,-8.41309476899712,10,-100.0,-10.070017557285315
volatility_structure_oracle_order10,2025,-0.28338095351319176,0.972,972.0,477,12,10,-11.127087573950655,10,-100.0,-24.676721348017217
volatility_structure_oracle_order10,2026,-0.1996961729435286,0.406,406.0,232,5,4,-15.107976344544994,13,-100.0,-18.102045657456223
