candidate_id,family,rule,leverage,window,min_volume_ratio,min_body_bps,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,buy_ratio,lookback,move_bps
taker_imbalance_taker_imbalance_momentum_lev1p0_window1536_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,1.0,1536.0,2.0,,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-52.78805228966515,-14.726790033444114,-4.826276959758625,-30.1214416379495,-16.751136998451255,-30.1214416379495,34,-7.392667251307284,0,729,730.0,0.73,-58.429284048580485,1,0.65,,
taker_imbalance_taker_imbalance_momentum_lev1p0_window384_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,1.0,384.0,2.0,,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-54.697299301470636,-16.312084872266265,-3.9357459906737557,-33.47575934763986,-15.292940918491304,-33.47575934763986,34,-7.565319013923222,0,816,820.0,0.8200000000000001,-61.985874288430765,1,0.65,,
taker_imbalance_taker_imbalance_momentum_lev2p0_window1536_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,2.0,1536.0,2.0,,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-77.71031993396609,-27.284796619996733,-9.419624426594265,-51.16987081241502,-30.696268089493696,-51.16987081241502,34,-14.238819211729059,0,729,1460.0,1.46,-82.71875575286396,1,0.65,,
taker_imbalance_taker_imbalance_momentum_lev2p0_window384_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,2.0,384.0,2.0,,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-79.47665309419467,-29.963328615732355,-7.716591016316476,-55.745254056268735,-28.24714141761795,-55.745254056268735,34,-14.558297510022156,0,816,1640.0,1.6400000000000001,-85.54926246385011,1,0.65,,
taker_imbalance_taker_imbalance_momentum_lev4p0_window1536_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,4.0,1536.0,2.0,,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-95.0317016255385,-47.12499197404762,-17.951955609807623,-76.15618483523761,-51.969927432766696,-76.15618483523761,34,-26.450198698015058,0,729,2920.0,2.92,-97.01358597270827,1,0.65,,
taker_imbalance_taker_imbalance_momentum_lev4p0_window384_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,4.0,384.0,2.0,,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-95.78792231783972,-50.94864661412106,-14.837724263501983,-80.415174614558,-48.515272852566824,-80.415174614558,34,-26.99715475614115,0,816,3280.0,3.2800000000000002,-97.91176184661309,1,0.65,,
taker_imbalance_taker_imbalance_momentum_lev1p0_window96_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,1.0,96.0,2.0,,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-66.28065130914791,-22.814191813555716,-13.147234906348082,-38.849720610942065,-17.745507636994915,-38.849720610942065,36,-9.538822882568422,2,1122,1128.0,1.1280000000000001,-73.1838298453089,1,0.65,,
taker_imbalance_taker_imbalance_momentum_lev2p0_window96_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,2.0,96.0,2.0,,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-88.63005523864732,-40.42351014605431,-24.56597195586918,-62.606433306401556,-32.341984861043386,-62.606433306401556,36,-18.167754345286724,2,1122,2256.0,2.2560000000000002,-92.80893018234654,1,0.65,,
taker_imbalance_taker_imbalance_momentum_lev4p0_window96_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,4.0,96.0,2.0,,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-98.70724356123789,-64.50641856682707,-43.09707413037286,-86.01721169931405,-54.22392987456717,-86.01721169931405,36,-33.0348357110666,2,1122,4512.0,4.5120000000000005,-99.48288514877633,1,0.65,,
taker_imbalance_taker_imbalance_momentum_lev1p0_window1536_min_volume_ratio1p5_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,1.0,1536.0,1.5,,False,"['2023-01', '2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-73.49537398817971,-21.322859329455934,-17.00641529215423,-47.24099762529425,-23.063572840639633,-47.24099762529425,37,-9.494161319354898,0,1281,1282.0,1.2820000000000003,-81.78251659288608,1,0.65,,
