candidate_id,family,rule,leverage,month,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct,oracle_id,no_order_floor_candidate
taker_imbalance_taker_imbalance_momentum_lev4p0_window96_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,4.0,2023-01,0.013506629597457326,0.04,40.0,10,0.16801075268817203,-61.442822643367634,1.3598256176353463,monthly_oracle_best_return,False
taker_imbalance_taker_imbalance_momentum_lev4p0_window384_min_volume_ratio1p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,4.0,2023-02,0.011277677641674984,0.008,8.0,2,0.03720238095238095,-99.43310994299799,1.134151038418052,monthly_oracle_best_return,False
taker_imbalance_taker_imbalance_momentum_lev4p0_window1536_min_volume_ratio2p0_buy_ratio0p6,taker_imbalance,taker_imbalance_momentum,4.0,2023-03,0.12825579645435703,0.136,136.0,34,0.571236559139785,-99.73720909685842,13.684376611187886,monthly_oracle_best_return,False
taker_imbalance_taker_imbalance_momentum_lev4p0_window96_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,4.0,2023-04,0.011248839935826822,0.008,8.0,2,0.034722222222222224,-61.75077591615006,1.1312346035710519,monthly_oracle_best_return,False
taker_imbalance_taker_imbalance_reversal_lev4p0_window1536_min_volume_ratio1p5_buy_ratio0p65,taker_imbalance,taker_imbalance_reversal,4.0,2023-05,0.001325045408362882,0.016,16.0,4,0.06720430107526883,-93.2632214374727,0.1325923668898943,monthly_oracle_best_return,False
taker_imbalance_taker_imbalance_reversal_lev4p0_window1536_min_volume_ratio1p5_buy_ratio0p65,taker_imbalance,taker_imbalance_reversal,4.0,2023-06,0.0330206710895764,0.008,8.0,2,0.034722222222222224,-93.2542889833245,3.357190407790034,monthly_oracle_best_return,False
taker_imbalance_taker_imbalance_reversal_lev1p0_window1536_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_reversal,1.0,2023-07,-0.0046158951192309845,0.012,12.0,12,0.20161290322580644,-38.94573004338335,-0.4605258247876054,monthly_oracle_best_return,False
taker_imbalance_taker_imbalance_reversal_lev4p0_window1536_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_reversal,4.0,2023-08,0.19520744048086863,0.056,56.0,14,0.23521505376344087,-86.50069273042347,21.556311733534095,monthly_oracle_best_return,False
taker_imbalance_taker_imbalance_momentum_lev1p0_window1536_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_momentum,1.0,2023-09,-0.007267803948268082,0.012,12.0,12,0.20833333333333334,-20.801843214852976,-0.7241457327150203,monthly_oracle_best_return,False
taker_imbalance_taker_imbalance_reversal_lev1p0_window1536_min_volume_ratio2p0_buy_ratio0p65,taker_imbalance,taker_imbalance_reversal,1.0,2023-10,-0.005633543616917907,0.022,22.0,22,0.3696236559139785,-38.17881578963169,-0.5617704966609627,monthly_oracle_best_return,False
