candidate_id,source_candidate_id,pool,family,rule,leverage,params_json
strategy16_simple__trend_ma_trend_lev1p0_fast20_slow100_gap_bps0,trend_ma_trend_lev1p0_fast20_slow100_gap_bps0,strategy16_simple,trend,ma_trend,1.0,"{""candidate_id"": ""trend_ma_trend_lev1p0_fast20_slow100_gap_bps0"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 0, ""leverage"": 1.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev2p0_fast20_slow100_gap_bps0,trend_ma_trend_lev2p0_fast20_slow100_gap_bps0,strategy16_simple,trend,ma_trend,2.0,"{""candidate_id"": ""trend_ma_trend_lev2p0_fast20_slow100_gap_bps0"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 0, ""leverage"": 2.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev4p0_fast20_slow100_gap_bps0,trend_ma_trend_lev4p0_fast20_slow100_gap_bps0,strategy16_simple,trend,ma_trend,4.0,"{""candidate_id"": ""trend_ma_trend_lev4p0_fast20_slow100_gap_bps0"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 0, ""leverage"": 4.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev1p0_fast20_slow100_gap_bps50,trend_ma_trend_lev1p0_fast20_slow100_gap_bps50,strategy16_simple,trend,ma_trend,1.0,"{""candidate_id"": ""trend_ma_trend_lev1p0_fast20_slow100_gap_bps50"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 50, ""leverage"": 1.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev2p0_fast20_slow100_gap_bps50,trend_ma_trend_lev2p0_fast20_slow100_gap_bps50,strategy16_simple,trend,ma_trend,2.0,"{""candidate_id"": ""trend_ma_trend_lev2p0_fast20_slow100_gap_bps50"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 50, ""leverage"": 2.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev4p0_fast20_slow100_gap_bps50,trend_ma_trend_lev4p0_fast20_slow100_gap_bps50,strategy16_simple,trend,ma_trend,4.0,"{""candidate_id"": ""trend_ma_trend_lev4p0_fast20_slow100_gap_bps50"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 50, ""leverage"": 4.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev1p0_fast20_slow100_gap_bps100,trend_ma_trend_lev1p0_fast20_slow100_gap_bps100,strategy16_simple,trend,ma_trend,1.0,"{""candidate_id"": ""trend_ma_trend_lev1p0_fast20_slow100_gap_bps100"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 100, ""leverage"": 1.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev2p0_fast20_slow100_gap_bps100,trend_ma_trend_lev2p0_fast20_slow100_gap_bps100,strategy16_simple,trend,ma_trend,2.0,"{""candidate_id"": ""trend_ma_trend_lev2p0_fast20_slow100_gap_bps100"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 100, ""leverage"": 2.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev4p0_fast20_slow100_gap_bps100,trend_ma_trend_lev4p0_fast20_slow100_gap_bps100,strategy16_simple,trend,ma_trend,4.0,"{""candidate_id"": ""trend_ma_trend_lev4p0_fast20_slow100_gap_bps100"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 100, ""leverage"": 4.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev1p0_fast20_slow200_gap_bps0,trend_ma_trend_lev1p0_fast20_slow200_gap_bps0,strategy16_simple,trend,ma_trend,1.0,"{""candidate_id"": ""trend_ma_trend_lev1p0_fast20_slow200_gap_bps0"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 0, ""leverage"": 1.0, ""rule"": ""ma_trend"", ""slow"": 200}"
strategy16_simple__trend_ma_trend_lev2p0_fast20_slow200_gap_bps0,trend_ma_trend_lev2p0_fast20_slow200_gap_bps0,strategy16_simple,trend,ma_trend,2.0,"{""candidate_id"": ""trend_ma_trend_lev2p0_fast20_slow200_gap_bps0"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 0, ""leverage"": 2.0, ""rule"": ""ma_trend"", ""slow"": 200}"
strategy16_simple__trend_ma_trend_lev4p0_fast20_slow200_gap_bps0,trend_ma_trend_lev4p0_fast20_slow200_gap_bps0,strategy16_simple,trend,ma_trend,4.0,"{""candidate_id"": ""trend_ma_trend_lev4p0_fast20_slow200_gap_bps0"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 0, ""leverage"": 4.0, ""rule"": ""ma_trend"", ""slow"": 200}"
strategy16_simple__trend_ma_trend_lev1p0_fast20_slow200_gap_bps50,trend_ma_trend_lev1p0_fast20_slow200_gap_bps50,strategy16_simple,trend,ma_trend,1.0,"{""candidate_id"": ""trend_ma_trend_lev1p0_fast20_slow200_gap_bps50"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 50, ""leverage"": 1.0, ""rule"": ""ma_trend"", ""slow"": 200}"
strategy16_simple__trend_ma_trend_lev2p0_fast20_slow200_gap_bps50,trend_ma_trend_lev2p0_fast20_slow200_gap_bps50,strategy16_simple,trend,ma_trend,2.0,"{""candidate_id"": ""trend_ma_trend_lev2p0_fast20_slow200_gap_bps50"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 50, ""leverage"": 2.0, ""rule"": ""ma_trend"", ""slow"": 200}"
strategy16_simple__trend_ma_trend_lev4p0_fast20_slow200_gap_bps50,trend_ma_trend_lev4p0_fast20_slow200_gap_bps50,strategy16_simple,trend,ma_trend,4.0,"{""candidate_id"": ""trend_ma_trend_lev4p0_fast20_slow200_gap_bps50"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 50, ""leverage"": 4.0, ""rule"": ""ma_trend"", ""slow"": 200}"
strategy16_simple__trend_ma_trend_lev1p0_fast20_slow200_gap_bps100,trend_ma_trend_lev1p0_fast20_slow200_gap_bps100,strategy16_simple,trend,ma_trend,1.0,"{""candidate_id"": ""trend_ma_trend_lev1p0_fast20_slow200_gap_bps100"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 100, ""leverage"": 1.0, ""rule"": ""ma_trend"", ""slow"": 200}"
strategy16_simple__trend_ma_trend_lev2p0_fast20_slow200_gap_bps100,trend_ma_trend_lev2p0_fast20_slow200_gap_bps100,strategy16_simple,trend,ma_trend,2.0,"{""candidate_id"": ""trend_ma_trend_lev2p0_fast20_slow200_gap_bps100"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 100, ""leverage"": 2.0, ""rule"": ""ma_trend"", ""slow"": 200}"
strategy16_simple__trend_ma_trend_lev4p0_fast20_slow200_gap_bps100,trend_ma_trend_lev4p0_fast20_slow200_gap_bps100,strategy16_simple,trend,ma_trend,4.0,"{""candidate_id"": ""trend_ma_trend_lev4p0_fast20_slow200_gap_bps100"", ""family"": ""trend"", ""fast"": 20, ""gap_bps"": 100, ""leverage"": 4.0, ""rule"": ""ma_trend"", ""slow"": 200}"
strategy16_simple__trend_ma_trend_lev1p0_fast50_slow100_gap_bps0,trend_ma_trend_lev1p0_fast50_slow100_gap_bps0,strategy16_simple,trend,ma_trend,1.0,"{""candidate_id"": ""trend_ma_trend_lev1p0_fast50_slow100_gap_bps0"", ""family"": ""trend"", ""fast"": 50, ""gap_bps"": 0, ""leverage"": 1.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev2p0_fast50_slow100_gap_bps0,trend_ma_trend_lev2p0_fast50_slow100_gap_bps0,strategy16_simple,trend,ma_trend,2.0,"{""candidate_id"": ""trend_ma_trend_lev2p0_fast50_slow100_gap_bps0"", ""family"": ""trend"", ""fast"": 50, ""gap_bps"": 0, ""leverage"": 2.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev4p0_fast50_slow100_gap_bps0,trend_ma_trend_lev4p0_fast50_slow100_gap_bps0,strategy16_simple,trend,ma_trend,4.0,"{""candidate_id"": ""trend_ma_trend_lev4p0_fast50_slow100_gap_bps0"", ""family"": ""trend"", ""fast"": 50, ""gap_bps"": 0, ""leverage"": 4.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev1p0_fast50_slow100_gap_bps50,trend_ma_trend_lev1p0_fast50_slow100_gap_bps50,strategy16_simple,trend,ma_trend,1.0,"{""candidate_id"": ""trend_ma_trend_lev1p0_fast50_slow100_gap_bps50"", ""family"": ""trend"", ""fast"": 50, ""gap_bps"": 50, ""leverage"": 1.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev2p0_fast50_slow100_gap_bps50,trend_ma_trend_lev2p0_fast50_slow100_gap_bps50,strategy16_simple,trend,ma_trend,2.0,"{""candidate_id"": ""trend_ma_trend_lev2p0_fast50_slow100_gap_bps50"", ""family"": ""trend"", ""fast"": 50, ""gap_bps"": 50, ""leverage"": 2.0, ""rule"": ""ma_trend"", ""slow"": 100}"
strategy16_simple__trend_ma_trend_lev4p0_fast50_slow100_gap_bps50,trend_ma_trend_lev4p0_fast50_slow100_gap_bps50,strategy16_simple,trend,ma_trend,4.0,"{""candidate_id"": ""trend_ma_trend_lev4p0_fast50_slow100_gap_bps50"", ""family"": ""trend"", ""fast"": 50, ""gap_bps"": 50, ""leverage"": 4.0, ""rule"": ""ma_trend"", ""slow"": 100}"
