selector_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
all_funding,2023,0.006740628418972279,0.148,148.0,148,12,8,-9.147090923581358,6,-21.56342938118172,0.6763397585460407
all_funding,2024,-0.3334476891649004,0.182,182.0,177,12,5,-17.22073053051578,7,-48.57102793563251,-28.355062427512213
all_funding,2025,-0.13913823081535515,0.128,128.0,128,12,8,-9.982863979168533,2,-47.52792968878439,-12.989225555799678
all_funding,2026,0.014419186018517598,0.065,65.0,65,5,3,-5.070025564095526,4,-48.556384965675704,1.4523643943458175
funding_level_only,2023,-0.18446326276002648,0.135,135.0,135,12,6,-15.617504405508864,0,-29.87952823983576,-16.844951179189426
funding_level_only,2024,-0.4182403327644983,0.11,110.0,110,12,7,-27.108756559982837,0,-55.45980532567983,-34.179597857764676
funding_level_only,2025,-0.027108956912121205,0.14100000000000001,141.0,141,12,6,-10.013660460122619,2,-57.55145665107917,-2.674480713344607
funding_level_only,2026,-0.0020070878401907567,0.022,22.0,22,5,4,-3.576782996357486,2,-53.1736787264785,-0.20050749862750017
funding_change_only,2023,0.09078548007927813,0.16,160.0,160,12,7,-4.065845477953212,6,-14.68629308810524,9.503407343796688
funding_change_only,2024,-0.3334476891649004,0.182,182.0,177,12,5,-17.22073053051578,7,-44.061855141499365,-28.355062427512213
funding_change_only,2025,-0.13913823081535515,0.128,128.0,128,12,8,-9.982863979168533,2,-42.927300463626175,-12.989225555799678
funding_change_only,2026,-0.01742940825502387,0.076,76.0,76,5,4,-5.070025564095526,4,-43.862741266518356,-1.7278394750475323
funding_zscore_only,2023,0.11521337545535762,0.158,158.0,158,12,6,-6.942243874494791,8,-18.343267612569715,12.211284336828587
funding_zscore_only,2024,-0.1324179566818124,0.098,98.0,98,12,7,-10.509970428351078,0,-31.264727219963785,-12.40252009626941
funding_zscore_only,2025,-0.21170522128748223,0.17200000000000001,172.0,172,12,8,-6.824627648888382,4,-41.83839731392105,-19.07968017107382
funding_zscore_only,2026,-0.16071806463290572,0.108,108.0,106,5,4,-14.023628855697723,19,-50.49092305909102,-14.846788571353587
funding_mean_only,2023,-0.25908846929406965,0.117,117.0,117,12,5,-25.440478213323757,0,-32.88569184984198,-22.824525657392257
funding_mean_only,2024,-0.5455641791386341,0.062,62.0,62,12,7,-29.05219153320334,0,-59.994343890563805,-42.048525903410514
funding_mean_only,2025,0.09262178011333976,0.123,123.0,123,12,7,-8.892330733348675,0,-66.71889075818942,9.70467319011654
funding_mean_only,2026,0.10394104649967323,0.069,69.0,69,5,1,-4.912471335548063,4,-58.66504543587756,10.953504201297992
