month,url,raw_rows,unique_1m_rows,expected_1m_rows,missing_1m_rows,duplicate_1m_rows,non_1m_gap_rows,aggregated_15m_rows,incomplete_15m_groups
2020-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-01.zip,44640,44640,44640,0,0,0,2976,0
2020-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-02.zip,41760,41760,41760,0,0,0,2784,0
2020-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-03.zip,44640,44640,44640,0,0,0,2976,0
2020-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-04.zip,43200,43200,43200,0,0,0,2880,0
2020-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-05.zip,44640,44640,44640,0,0,0,2976,0
2020-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-06.zip,43200,43200,43200,0,0,0,2880,0
2020-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-07.zip,44640,44640,44640,0,0,0,2976,0
2020-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-08.zip,44640,44640,44640,0,0,0,2976,0
2020-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-09.zip,43200,43200,43200,0,0,0,2880,0
2020-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-10.zip,44640,44640,44640,0,0,0,2976,0
2020-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-11.zip,43200,43200,43200,0,0,0,2880,0
2020-12,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2020-12.zip,44640,44640,44640,0,0,0,2976,0
2021-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2021-01.zip,44640,44640,44640,0,0,0,2976,0
2021-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2021-02.zip,40320,40320,40320,0,0,0,2688,0
2021-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2021-03.zip,44640,44640,44640,0,0,0,2976,0
2021-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2021-04.zip,43200,43200,43200,0,0,0,2880,0
2021-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2021-05.zip,44640,44640,44640,0,0,0,2976,0
