oracle_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
monthly_oracle_best_return,2023,0.3871105097315229,0.964,964.0,418,12,7,-4.345023363184753,8,-100.0,47.27192320876945
monthly_oracle_best_return,2024,0.15089574468102568,1.03,1030.0,546,12,7,-4.871631038909452,6,-99.99999999982145,16.28754158144512
monthly_oracle_best_return,2025,-0.033206687416742604,0.40800000000000003,408.0,338,12,10,-4.241255550136092,0,-99.99999999996415,-3.2661397791399205
monthly_oracle_best_return,2026,-0.07988042816477256,0.164,164.0,140,5,4,-4.783270299717913,2,-100.0,-7.677326829834252
monthly_oracle_best_return_order10,2023,0.29539859578506394,1.036,1036.0,435,12,7,-4.345023363184753,10,-100.0,34.36618299028529
monthly_oracle_best_return_order10,2024,0.14737888037988586,1.058,1058.0,574,12,7,-4.871631038909452,22,-99.99999999982145,15.879292377096554
monthly_oracle_best_return_order10,2025,-0.08811662015363883,0.45,450.0,386,12,11,-4.241255550136092,10,-99.99999999996415,-8.434591322376317
monthly_oracle_best_return_order10,2026,-0.10027246049320224,0.162,162.0,162,5,5,-4.783270299717913,12,-99.99134213669755,-9.54090808311
late_momentum_oracle_order10,2023,-0.18248344523494373,1.122,1122.0,657,12,9,-8.539055035745047,20,-100.0,-16.680156278146875
late_momentum_oracle_order10,2024,-0.801114936129182,1.28,1280.0,1238,12,12,-12.082238252814337,48,-99.99997891005916,-55.11717298060213
late_momentum_oracle_order10,2025,-0.749809435332959,0.806,806.0,785,12,12,-14.133128932953587,16,-99.99993620448559,-52.75434223066257
late_momentum_oracle_order10,2026,-0.2358382318826553,0.28,280.0,278,5,5,-8.686939798323646,16,-99.99969999756428,-21.009155440004758
early_late_reversal_oracle_order10,2023,-0.6796987467459126,1.034,1034.0,646,12,11,-18.650742768624117,22,-100.0,-49.32303646259372
early_late_reversal_oracle_order10,2024,-1.1421541858583166,0.958,958.0,945,12,12,-24.67151952674986,34,-99.97914774891076,-68.08691862675158
early_late_reversal_oracle_order10,2025,-0.6822587453593961,0.65,650.0,639,12,12,-10.594782849531414,12,-99.99999146772987,-49.45260350250298
early_late_reversal_oracle_order10,2026,-0.22867910918791143,0.304,304.0,297,5,5,-11.180925872871905,16,-99.9914261691262,-20.441621192367933
path_extreme_oracle_order10,2023,-0.801381034038724,0.8380000000000001,838.0,797,12,12,-10.40938464566523,18,-99.999646572745,-55.129114618153466
path_extreme_oracle_order10,2024,-1.3691099247103304,1.476,1476.0,1391,12,12,-25.49445978308691,41,-99.99996301014475,-74.5666765435609
path_extreme_oracle_order10,2025,-0.8471701737084575,0.894,894.0,852,12,12,-17.110377563008004,10,-99.99998335462135,-57.137384507241265
path_extreme_oracle_order10,2026,-0.523204518784034,0.474,474.0,444,5,5,-21.174415063750406,14,-99.99992733903176,-40.738155500320175
efficiency_path_oracle_order10,2023,0.14802600986947906,0.606,606.0,359,12,9,-4.345023363184753,10,-99.99999999997802,15.954305553428405
efficiency_path_oracle_order10,2024,0.03596708421142374,0.88,880.0,558,12,8,-4.871631038909452,14,-99.99996148756973,3.6621724707829983
efficiency_path_oracle_order10,2025,-0.2231292335286939,0.456,456.0,453,12,12,-4.408235592137366,10,-99.99441609368438,-19.998854568958734
efficiency_path_oracle_order10,2026,-0.10526590241097597,0.174,174.0,173,5,5,-4.783270299717913,12,-99.05918654181997,-9.991484404945773
chop_path_oracle_order10,2023,-0.2451121924292275,0.456,456.0,342,12,10,-11.800282311959842,12,-99.99999999999999,-21.73832703558225
chop_path_oracle_order10,2024,-0.32012235917790627,0.9480000000000001,948.0,591,12,10,-10.89518463804099,11,-99.99999999982145,-27.3939808489877
chop_path_oracle_order10,2025,-0.5088101241300159,0.684,684.0,589,12,11,-11.110996033894438,10,-99.99999999999967,-39.878948072762356
chop_path_oracle_order10,2026,-0.33996994963326005,0.24200000000000002,242.0,234,5,5,-15.545195512729704,10,-99.99999999999996,-28.820828795678043
