candidate_id,confirm_bars,leverage,lock_log,quota_arm_log,quota_leverage
0,1,4.0,0.02,,
1,1,4.0,0.02,0.04,0.25
2,1,4.0,0.02,0.04,1.0
3,1,4.0,0.02,0.08,0.25
4,1,4.0,0.02,0.08,1.0
5,1,4.0,0.04,,
6,1,4.0,0.04,0.04,0.25
7,1,4.0,0.04,0.04,1.0
8,1,4.0,0.04,0.08,0.25
9,1,4.0,0.04,0.08,1.0
10,1,6.0,0.02,,
11,1,6.0,0.02,0.04,0.25
12,1,6.0,0.02,0.04,1.0
13,1,6.0,0.02,0.08,0.25
14,1,6.0,0.02,0.08,1.0
15,1,6.0,0.04,,
16,1,6.0,0.04,0.04,0.25
17,1,6.0,0.04,0.04,1.0
18,1,6.0,0.04,0.08,0.25
19,1,6.0,0.04,0.08,1.0
20,1,8.0,0.02,,
21,1,8.0,0.02,0.04,0.25
22,1,8.0,0.02,0.04,1.0
23,1,8.0,0.02,0.08,0.25
24,1,8.0,0.02,0.08,1.0
25,1,8.0,0.04,,
26,1,8.0,0.04,0.04,0.25
27,1,8.0,0.04,0.04,1.0
28,1,8.0,0.04,0.08,0.25
29,1,8.0,0.04,0.08,1.0
30,2,4.0,0.02,,
31,2,4.0,0.02,0.04,0.25
32,2,4.0,0.02,0.04,1.0
33,2,4.0,0.02,0.08,0.25
34,2,4.0,0.02,0.08,1.0
35,2,4.0,0.04,,
36,2,4.0,0.04,0.04,0.25
37,2,4.0,0.04,0.04,1.0
38,2,4.0,0.04,0.08,0.25
39,2,4.0,0.04,0.08,1.0
40,2,6.0,0.02,,
41,2,6.0,0.02,0.04,0.25
42,2,6.0,0.02,0.04,1.0
43,2,6.0,0.02,0.08,0.25
44,2,6.0,0.02,0.08,1.0
45,2,6.0,0.04,,
46,2,6.0,0.04,0.04,0.25
47,2,6.0,0.04,0.04,1.0
48,2,6.0,0.04,0.08,0.25
49,2,6.0,0.04,0.08,1.0
50,2,8.0,0.02,,
51,2,8.0,0.02,0.04,0.25
52,2,8.0,0.02,0.04,1.0
53,2,8.0,0.02,0.08,0.25
54,2,8.0,0.02,0.08,1.0
55,2,8.0,0.04,,
56,2,8.0,0.04,0.04,0.25
57,2,8.0,0.04,0.04,1.0
58,2,8.0,0.04,0.08,0.25
59,2,8.0,0.04,0.08,1.0
60,4,4.0,0.02,,
61,4,4.0,0.02,0.04,0.25
62,4,4.0,0.02,0.04,1.0
63,4,4.0,0.02,0.08,0.25
64,4,4.0,0.02,0.08,1.0
65,4,4.0,0.04,,
66,4,4.0,0.04,0.04,0.25
67,4,4.0,0.04,0.04,1.0
68,4,4.0,0.04,0.08,0.25
69,4,4.0,0.04,0.08,1.0
70,4,6.0,0.02,,
71,4,6.0,0.02,0.04,0.25
72,4,6.0,0.02,0.04,1.0
73,4,6.0,0.02,0.08,0.25
74,4,6.0,0.02,0.08,1.0
75,4,6.0,0.04,,
76,4,6.0,0.04,0.04,0.25
77,4,6.0,0.04,0.04,1.0
78,4,6.0,0.04,0.08,0.25
79,4,6.0,0.04,0.08,1.0
80,4,8.0,0.02,,
81,4,8.0,0.02,0.04,0.25
82,4,8.0,0.02,0.04,1.0
83,4,8.0,0.02,0.08,0.25
84,4,8.0,0.02,0.08,1.0
85,4,8.0,0.04,,
86,4,8.0,0.04,0.04,0.25
87,4,8.0,0.04,0.04,1.0
88,4,8.0,0.04,0.08,0.25
89,4,8.0,0.04,0.08,1.0
90,8,4.0,0.02,,
91,8,4.0,0.02,0.04,0.25
92,8,4.0,0.02,0.04,1.0
93,8,4.0,0.02,0.08,0.25
94,8,4.0,0.02,0.08,1.0
95,8,4.0,0.04,,
96,8,4.0,0.04,0.04,0.25
97,8,4.0,0.04,0.04,1.0
98,8,4.0,0.04,0.08,0.25
99,8,4.0,0.04,0.08,1.0
100,8,6.0,0.02,,
101,8,6.0,0.02,0.04,0.25
102,8,6.0,0.02,0.04,1.0
