selector_id,eval_month,train_start_month,train_end_month,candidate_id,confirm_bars,leverage,lock_log,quota_arm_log,quota_leverage,train_months,train_log_return,train_return_pct,train_losing_months,train_min_month_return_pct,train_min_orders,train_turnover,train_full_years,train_worst_full_year_return_pct
return_first,2023-01,2020-01,2022-12,127,12,4.0,0.04,0.04,1.0,36,1.7681408957942226,485.9948972545235,5,-51.31379777853336,10,2182.0,3,25.37160143748942
return_first,2023-02,2020-01,2023-01,139,12,6.0,0.04,0.08,1.0,37,1.9431003450816657,598.0358978816301,4,-66.028959590323,10,3090.0,3,7.250379476878432
return_first,2023-03,2020-01,2023-02,139,12,6.0,0.04,0.08,1.0,38,1.9846290800404358,627.6347942161183,4,-66.028959590323,10,3120.0,3,7.250379476878432
return_first,2023-04,2020-01,2023-03,139,12,6.0,0.04,0.08,1.0,39,2.115979257801092,729.7707383578129,4,-66.028959590323,10,3170.0,3,7.250379476878432
return_first,2023-05,2020-01,2023-04,139,12,6.0,0.04,0.08,1.0,40,2.1475232647842444,756.3622285032302,4,-66.028959590323,10,3314.0,3,7.250379476878432
return_first,2023-06,2020-01,2023-05,139,12,6.0,0.04,0.08,1.0,41,2.193143697431891,796.3346920136638,4,-66.028959590323,10,3334.0,3,7.250379476878432
return_first,2023-07,2020-01,2023-06,139,12,6.0,0.04,0.08,1.0,42,2.346611995718058,945.010468138495,4,-66.028959590323,10,3354.0,3,7.250379476878432
return_first,2023-08,2020-01,2023-07,129,12,4.0,0.04,0.08,1.0,43,1.8887879041640643,561.1350232374092,7,-51.31379777853336,10,2646.0,3,-16.279044833491707
return_first,2023-09,2020-01,2023-08,129,12,4.0,0.04,0.08,1.0,44,2.0289218356203396,660.5881545947548,7,-51.31379777853336,10,2686.0,3,-16.279044833491707
return_first,2023-10,2020-01,2023-09,129,12,4.0,0.04,0.08,1.0,45,1.5160424877189476,355.4166315469387,8,-51.31379777853336,10,2806.0,3,-16.279044833491707
return_first,2023-11,2020-01,2023-10,129,12,4.0,0.04,0.08,1.0,46,1.6048144690222115,397.69361412483005,8,-51.31379777853336,10,2838.0,3,-16.279044833491707
return_first,2023-12,2020-01,2023-11,129,12,4.0,0.04,0.08,1.0,47,1.6396631841061664,415.34334615886917,8,-51.31379777853336,10,2886.0,3,-16.279044833491707
return_first,2024-01,2020-01,2023-12,129,12,4.0,0.04,0.08,1.0,48,1.7496202826722982,475.24179684675164,8,-51.31379777853336,10,2914.0,4,-16.279044833491707
