ok,http_status,content_length,attempts,error,dataset_id,role,description,month,url
True,200,102586079,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-01,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-01.zip
True,200,95404861,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-02,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-02.zip
True,200,278452440,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-03,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-03.zip
True,200,264084162,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-04,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-04.zip
True,200,271584445,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-05,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-05.zip
True,200,171082940,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-06,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-06.zip
True,200,143914643,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-07,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-07.zip
True,200,188469212,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-08,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-08.zip
True,200,173277644,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-09,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-09.zip
True,200,193037027,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-10,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-10.zip
True,200,270677573,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-11,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-11.zip
True,200,455123064,1,,futures_um_aggTrades,main,USD-M futures aggregate trades; rebuild aggressive flow with isBuyerMaker.,2020-12,https://data.binance.vision/data/futures/um/monthly/aggTrades/BTCUSDT/BTCUSDT-aggTrades-2020-12.zip
