candidate_id,family,rule,leverage,lookback,threshold_bps,sample_month_count,non_positive_months,total_sample_return_pct,losing_sample_months,min_monthly_return_pct,max_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_month_drawdown_pct,selected_candidate_count,symbol
single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,single_symbol,symbol_momentum,4.0,384,100,4,[],2359738.3038216094,0,88.84497420614265,71789.83820924602,86,462,1868.0,1.868,-76.5918175533039,1,XRPUSDT
single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,384,50,4,[],2300772.1550333835,0,64.10677404961287,63941.405201289774,76,520,2148.0,2.148,-79.97161946844712,1,XRPUSDT
single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,384,20,4,[],1788352.9970629916,0,67.56376896010869,58397.55616605721,65,456,2084.0,2.084,-81.58693265407369,1,XRPUSDT
single_symbol_symbol_reversal_lev4p0_symbolBNBUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,4.0,1536,100,4,[],34342.51377844349,0,13.114304424198897,3505.8248224348454,16,124,500.0,0.5,-39.00057629068734,1,BNBUSDT
single_symbol_symbol_reversal_lev4p0_symbolBNBUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,4.0,1536,50,4,[],34054.721278548524,0,18.14961067575198,3435.586726660388,16,161,652.0,0.652,-40.93456206377084,1,BNBUSDT
single_symbol_symbol_reversal_lev4p0_symbolBNBUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,4.0,1536,20,4,[],31833.496064574167,0,11.367254364768087,3395.5969956421163,16,150,636.0,0.6360000000000001,-39.17091197564729,1,BNBUSDT
single_symbol_symbol_momentum_lev2p0_symbolXRPUSDT_lookback384_threshold_bps100,single_symbol,symbol_momentum,2.0,384,100,4,[],15261.76521048805,0,37.42087694602398,2581.228043439163,86,462,934.0,0.934,-51.61799668606507,1,XRPUSDT
single_symbol_symbol_momentum_lev2p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,2.0,384,50,4,[],15068.626025561392,0,28.10416622796188,2430.64033796369,76,520,1074.0,1.074,-55.24692129969952,1,XRPUSDT
single_symbol_symbol_momentum_lev2p0_symbolXRPUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,2.0,384,20,4,[],13273.305489156342,0,29.44642480969055,2318.626803912857,65,456,1042.0,1.042,-57.089549820671536,1,XRPUSDT
single_symbol_symbol_reversal_lev2p0_symbolBNBUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,2.0,1536,100,4,[],1755.8694398702592,0,6.35520881658731,500.485205682442,16,124,250.0,0.25,-21.89787217411252,1,BNBUSDT
single_symbol_symbol_reversal_lev2p0_symbolBNBUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,2.0,1536,50,4,[],1748.0995990083577,0,8.696646993249967,494.60799916082425,16,161,326.0,0.326,-23.145957857618725,1,BNBUSDT
single_symbol_symbol_reversal_lev2p0_symbolBNBUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,2.0,1536,20,4,[],1686.994573706763,0,5.5306848100437955,491.2357394172071,16,150,318.0,0.31800000000000006,-22.006995169853404,1,BNBUSDT
single_symbol_symbol_momentum_lev1p0_symbolXRPUSDT_lookback384_threshold_bps100,single_symbol,symbol_momentum,1.0,384,100,4,[],1139.425883644845,0,17.226650957034508,417.8057592803659,86,462,467.0,0.467,-30.442826887563257,1,XRPUSDT
single_symbol_symbol_momentum_lev1p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,1.0,384,50,4,[],1131.6097606612814,0,13.183111031620731,403.05470258846503,76,520,537.0,0.537,-33.102258109633866,1,XRPUSDT
single_symbol_symbol_momentum_lev1p0_symbolXRPUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,1.0,384,20,4,[],1056.4300882092416,0,13.77452474508103,391.7953643450553,65,456,521.0,0.521,-34.49393144194314,1,XRPUSDT
single_symbol_symbol_reversal_lev1p0_symbolBNBUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,1.0,1536,100,4,[],330.79803154961826,0,3.1286617854548338,145.04799645833506,16,124,125.0,0.125,-11.624591754330515,1,BNBUSDT
single_symbol_symbol_reversal_lev1p0_symbolBNBUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,1.0,1536,50,4,[],329.8952894610917,0,4.257684126039352,143.84585277605692,16,161,163.0,0.163,-12.333562783479513,1,BNBUSDT
single_symbol_symbol_reversal_lev1p0_symbolBNBUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,1.0,1536,20,4,[],322.7285859398159,0,2.7281289667264508,143.15339590826346,16,150,159.0,0.15900000000000003,-11.686351660603101,1,BNBUSDT
single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,4.0,1536,20,4,['2023-07'],3597622.0472879023,1,-34.11431159780663,135857.67254837512,15,96,452.0,0.45200000000000007,-62.97569335666208,1,XRPUSDT
single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,4.0,1536,100,4,['2025-08'],2377276.4450486684,1,-61.38139215417466,187775.89360969674,7,94,380.0,0.38,-76.24224458912077,1,SOLUSDT
single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,4.0,1536,50,4,['2025-08'],2166429.003940655,1,-62.06694148717337,171950.17134865426,2,98,404.0,0.404,-78.39624684443078,1,SOLUSDT
single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,4.0,1536,20,4,['2025-08'],2107953.8453696333,1,-62.39967535250557,164151.0971712963,2,95,436.0,0.43600000000000005,-79.37554998635073,1,SOLUSDT
single_symbol_symbol_momentum_lev2p0_symbolXRPUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,2.0,1536,20,4,['2023-07'],18867.662078621874,1,-18.83000036824358,3587.243856166488,15,96,226.0,0.22600000000000003,-39.1523980395793,1,XRPUSDT
single_symbol_symbol_reversal_lev2p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,2.0,1536,100,4,['2025-08'],15318.743285523204,1,-37.856128342510445,4234.4652912406245,7,94,190.0,0.19,-51.25807204174293,1,SOLUSDT
single_symbol_symbol_reversal_lev2p0_symbolSOLUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,2.0,1536,50,4,['2025-08'],14619.13381942244,1,-38.41018061982432,4047.893095881983,2,98,202.0,0.202,-53.52016226838866,1,SOLUSDT
single_symbol_symbol_reversal_lev2p0_symbolSOLUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,2.0,1536,20,4,['2025-08'],14419.138560429932,1,-38.68089641270477,3952.7903618531304,2,95,218.0,0.21800000000000003,-54.58585020761782,1,SOLUSDT
single_symbol_symbol_momentum_lev1p0_symbolXRPUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,1.0,1536,20,4,['2023-07'],1277.2313559682655,1,-9.905605262171601,507.2267991588059,15,96,113.0,0.11300000000000002,-21.99512710066076,1,XRPUSDT
single_symbol_symbol_reversal_lev1p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,1.0,1536,100,4,['2025-08'],1141.722323449297,1,-21.168615604259777,558.3665613653707,7,94,95.0,0.095,-30.184580529615758,1,SOLUSDT
single_symbol_symbol_reversal_lev1p0_symbolSOLUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,1.0,1536,50,4,['2025-08'],1113.22437411315,1,-21.520818441974253,544.0413881018815,2,98,101.0,0.101,-31.823876810417463,1,SOLUSDT
