symbol,ok_months,first_timestamp,last_timestamp,valid_15m_rows,download_size_mb
BTCUSDT,4,2023-07-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,11808,0.538
ETHUSDT,4,2023-07-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,11808,0.552
SOLUSDT,4,2023-07-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,11808,0.497
BNBUSDT,4,2023-07-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,11808,0.489
HYPEUSDT,2,2025-08-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,5952,0.269
DOGEUSDT,3,2024-06-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,8832,0.387
XRPUSDT,4,2023-07-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,11808,0.504
ADAUSDT,4,2023-07-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,11808,0.464
AVAXUSDT,4,2023-07-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,11808,0.443
LINKUSDT,4,2023-07-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,11808,0.496
