oracle_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
monthly_oracle_best_return,2025,1.926452253882343,0.992,992.0,126,12,6,0.0,0,-99.97403868926025,586.5111314559897
monthly_oracle_best_return,2026,1.4510403505885234,0.508,508.0,99,6,1,0.0,0,-99.85601286064633,326.7551956710845
monthly_oracle_best_return_order10,2025,0.4142950485128084,1.488,1488.0,424,12,8,-3.670483106869471,10,-99.97403868926025,51.33035589860986
monthly_oracle_best_return_order10,2026,1.1851279282781393,0.492,492.0,138,6,3,-1.0006500718685585,14,-99.85601286064633,227.1105261563945
momentum_order10,2025,-0.702822634954428,1.8940000000000001,1894.0,1339,12,11,-15.62280274714497,16,-99.9999998980718,-50.481439889075205
momentum_order10,2026,-0.3244199094413761,1.458,1458.0,844,6,5,-21.896387479796907,20,-99.99999999999977,-27.705339347116865
trend_order10,2025,0.1509102838815628,2.068,2068.0,679,12,8,-5.976973926683238,24,-99.97403868926025,16.289232321623114
trend_order10,2026,1.0182202955887334,0.596,596.0,214,6,3,-11.596827255261166,21,-99.85601286064633,176.82636862414935
mean_reversion_order10,2025,-0.24912081929764185,0.396,396.0,396,12,12,-6.490180410584411,10,-28.08183209183811,-22.05142092304864
mean_reversion_order10,2026,-0.061425126135698005,0.2,200.0,134,6,4,-4.98785376391181,10,-72.30322929420682,-5.957664376579608
breakout_order10,2025,-0.15158477088352043,0.42000000000000004,420.0,366,12,11,-6.336758011855226,10,-99.11505769426626,-14.065496825242118
breakout_order10,2026,-0.2750904718756277,0.328,328.0,284,6,5,-12.83414661304908,12,-99.9839198223717,-24.049659358117815
volume_order10,2025,-6.817232437042682,7.324,7324.0,6838,12,12,-57.86309445539626,248,-99.94621852550998,-99.89052534865104
volume_order10,2026,-4.085996394238565,4.246,4246.0,3987,6,6,-61.42054189924862,403,-99.99869615767592,-98.31936148148797
