oracle_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
monthly_oracle_best_return,2023,11.168290809891953,2.628,2628.0,612,12,0,28.32613616891606,2,-99.99999999999812,7084691.454486911
monthly_oracle_best_return,2024,14.993668272127943,4.16,4160.0,892,12,0,60.17941264695368,2,-100.0,324838323.4700514
monthly_oracle_best_return,2025,12.134107342102336,6.892,6892.0,1578,12,0,73.42191743939996,2,-100.0,18611163.652073976
monthly_oracle_best_return,2026,3.9024549673767677,2.016,2016.0,435,5,0,37.8319079120572,2,-100.0,4852.387949925721
monthly_oracle_best_return_order10,2023,10.910380549051844,4.548,4548.0,1042,12,0,28.32613616891606,14,-100.0,5474067.323343798
monthly_oracle_best_return_order10,2024,14.20935036530762,5.336,5336.0,1183,12,0,60.17941264695368,28,-100.0,148266201.79221553
monthly_oracle_best_return_order10,2025,12.081972019721668,7.02,7020.0,1605,12,0,73.42191743939996,29,-100.0,17665719.090884987
monthly_oracle_best_return_order10,2026,3.809857583406285,2.232,2232.0,482,5,0,25.642113970043635,14,-100.0,4414.400915247049
single_symbol_oracle_order10,2023,10.857923452691367,4.5280000000000005,4528.0,1020,12,0,21.768032987995035,12,-100.0,5194310.173258174
single_symbol_oracle_order10,2024,14.20935036530762,5.336,5336.0,1183,12,0,60.17941264695368,28,-100.0,148266201.79221553
single_symbol_oracle_order10,2025,12.081972019721668,7.02,7020.0,1605,12,0,73.42191743939996,29,-100.0,17665719.090884987
single_symbol_oracle_order10,2026,3.809857583406285,2.232,2232.0,482,5,0,25.642113970043635,14,-100.0,4414.400915247049
cross_section_oracle_order10,2023,0.4760844995631056,1.12,1120.0,1676,12,9,-7.096636496349252,20,-99.99949793435998,60.97590341467078
cross_section_oracle_order10,2024,0.9835232014950327,1.672,1672.0,2174,12,8,-8.723136026242962,60,-99.99999515690686,167.38602144618912
cross_section_oracle_order10,2025,-0.7316001912273083,1.032,1032.0,2064,12,12,-14.109579179602715,42,-99.71422202409993,-51.88615397861077
cross_section_oracle_order10,2026,-0.22172847841907978,0.42400000000000004,424.0,848,5,5,-10.344777534739036,92,-99.88371006407071,-19.886714033343146
