selector_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
all_multisymbol,2023,0.16310598107231758,0.28800000000000003,288.0,287,12,6,-14.85405414097325,1,-23.57637885798156,17.716143990946165
all_multisymbol,2024,-0.2378915339049853,0.303,303.0,301,12,5,-21.885143243867276,1,-36.56967830796178,-21.17118110015185
all_multisymbol,2025,-0.6321367186060918,0.47200000000000003,472.0,472,12,8,-16.273717847877034,2,-65.16055780894976,-46.85449828776225
all_multisymbol,2026,-0.05800838646629297,0.116,116.0,116,5,2,-8.904261331368124,4,-69.49259267228072,-5.635796641849334
single_symbol_only,2023,0.16310598107231758,0.28800000000000003,288.0,287,12,6,-14.85405414097325,1,-23.57637885798156,17.716143990946165
single_symbol_only,2024,-0.2378915339049853,0.303,303.0,301,12,5,-21.885143243867276,1,-36.56967830796178,-21.17118110015185
single_symbol_only,2025,-0.6321367186060918,0.47200000000000003,472.0,472,12,8,-16.273717847877034,2,-65.16055780894976,-46.85449828776225
single_symbol_only,2026,-0.05800838646629297,0.116,116.0,116,5,2,-8.904261331368124,4,-69.49259267228072,-5.635796641849334
cross_section_only,2023,-0.8218913289029558,0.8370000000000001,837.0,1674,12,9,-21.309572659037258,20,-57.280871253596644,-56.04005593687894
cross_section_only,2024,-1.044554579613284,1.087,1087.0,2174,12,8,-24.14668361924005,60,-86.15363834467014,-64.81514950228512
cross_section_only,2025,-1.1236665640805374,1.032,1032.0,2064,12,12,-22.578225549398812,42,-95.19478211463891,-67.49143406276232
cross_section_only,2026,-0.39049266919550957,0.42400000000000004,424.0,848,5,5,-15.023995240764032,92,-96.6807542374732,-32.32766084123846
return_first_all,2023,-3.1002528523539152,0.972,972.0,238,12,8,-77.55722706058098,2,-99.31598800810536,-95.49621869633359
return_first_all,2024,-0.6652964554225014,1.216,1216.0,296,12,5,-51.788051547543056,2,-99.65764052960124,-48.58789088728639
return_first_all,2025,-0.5992884225360382,0.992,992.0,245,12,6,-68.46726563991128,2,-99.07426102847322,-45.07977029374825
return_first_all,2026,-1.4769651161682023,0.8240000000000001,824.0,205,5,4,-57.58091116974423,16,-99.82490156738444,-77.16704082841514
min10_return_first_all,2023,-1.5348340439772596,1.411,1411.0,1402,12,10,-42.254634277125405,52,-81.38307118152576,-78.45085496935347
min10_return_first_all,2024,-1.6611185429020918,1.439,1439.0,1434,12,9,-39.801844146608985,82,-96.3434545311186,-81.00735796043462
min10_return_first_all,2025,-1.559664951584499,1.504,1504.0,1348,12,10,-32.15661867851109,60,-99.23313722621245,-78.97935112455536
min10_return_first_all,2026,-0.5409599707988443,0.456,456.0,798,5,5,-24.936360960967807,90,-99.56193743366889,-41.78109005032095
