month,oracle_candidate_id,oracle_hard_guard_rank,oracle_return_first_rank,oracle_train_return_pct,oracle_train_losing_months,oracle_train_min_monthly_return_pct,oracle_train_min_monthly_orders,oracle_train_hard_ok
2023-01,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps50,108,269,-99.87325756937625,21,-99.97752291429563,0,False
2023-02,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,123,225,-99.49627212232139,22,-99.96904871529668,0,False
2023-03,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps50,256,314,-99.99168880247335,27,-88.42098202309047,0,False
2023-04,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,264,311,-99.98983036032898,28,-88.42098202309047,0,False
2023-05,cross_section_long_strong_short_weak_lev4p0_lookback1536_threshold_bps0,187,286,-99.97140903193002,26,-87.91643755893088,22,False
2023-06,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,381,551,-99.99999999999757,35,-99.44427004007936,37,False
2023-07,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,67,319,-99.99886448833654,24,-99.07731136952329,37,False
2023-08,single_symbol_symbol_reversal_lev4p0_symbolADAUSDT_lookback96_threshold_bps100,526,604,-100.0,41,-93.20588377221851,0,False
2023-09,single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,58,250,-99.96000431073064,25,-90.88507527016404,20,False
2023-10,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,57,9,120.24089953131805,26,-87.01197802787426,0,False
2023-11,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,214,209,-99.80525715020157,31,-96.0573910532554,0,False
2023-12,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,381,546,-99.99999999999996,41,-92.71363381483174,20,False
2024-01,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,358,504,-99.9999999999987,41,-98.36215216596229,0,False
2024-02,single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,225,297,-99.99906963888984,33,-93.56754548517635,42,False
2024-03,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,441,567,-100.0,46,-98.5130502147152,0,False
2024-04,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,259,401,-99.99999995428406,38,-88.63747754809937,0,False
2024-05,single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,208,275,-99.99815256693331,34,-93.56754548517635,42,False
2024-06,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,138,165,-99.44508273264047,33,-96.0573910532554,0,False
2024-07,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,392,544,-100.0,48,-92.24812400713026,27,False
2024-08,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,124,161,-99.48413878176316,34,-96.0573910532554,0,False
2024-09,single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback384_threshold_bps20,202,406,-99.99999999768467,37,-91.85496771763616,0,False
2024-10,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,349,516,-100.0,49,-92.24812400713026,27,False
2024-11,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,88,383,-99.99999991770295,35,-99.07731136952329,37,False
