config_id,top_k,lookback_months,min_pos_rate,score_mode,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,total_eval_return_pct,non_positive_months,min_monthly_orders,months,hard_pass
155,50,24,0.45,pos_mean,-14.297990518966067,-26.261257687510696,0.05999243373751178,-22.930885860126224,-22.930885860126224,-51.26650441035778,24,546,41,False
121,20,24,0.5,mean_minus_std,-30.714560281251284,0.1383729587857322,-23.264254056476084,-20.62889796891233,-23.264254056476084,-57.742613093560045,23,169,41,False
82,10,24,0.45,mean_minus_std,-24.112616462488134,-43.25534633409987,-24.30802776724458,-17.540910674354258,-24.30802776724458,-73.12287045226245,27,24,41,False
62,5,36,0.55,pos_mean,83.60588592028961,-52.36624289535694,-24.620002051624446,-22.629959303530185,-24.620002051624446,-48.99292921101813,22,0,41,False
153,50,24,0.45,mean,-23.024183961676307,-23.5820836721615,0.9651432431388502,-24.949817771548993,-24.949817771548993,-55.42691329566162,26,546,41,False
7,3,12,0.55,mean_minus_std,-26.17907112350595,-10.653529469576478,-25.313690373540304,2.9791472186195302,-25.313690373540304,-49.272063265484135,27,6,41,False
126,20,36,0.45,mean,21.20533432978671,-65.61735502969758,-27.51637872254679,-28.077668410595486,-28.077668410595486,-78.27475628023893,27,103,41,False
118,20,24,0.45,mean_minus_std,-28.16429238720047,-39.27693646527794,-28.380752581446256,-21.499250310091572,-28.380752581446256,-75.47564435446753,26,189,41,False
156,50,24,0.5,mean,-11.70007360439311,44.050475984401345,-8.731400890737486,-28.87818600919817,-28.87818600919817,-17.43437956552577,21,264,41,False
158,50,24,0.5,pos_mean,-3.8555529562132618,43.5926853363697,-8.731400890737488,-28.87818600919817,-28.87818600919817,-10.384995098255237,21,264,41,False
157,50,24,0.5,mean_minus_std,-20.252031218560596,41.87766231028017,-8.731400890737492,-28.87818600919817,-28.87818600919817,-26.555739257253258,22,264,41,False
90,10,36,0.45,mean,-41.391121853822646,-88.85223284320129,-33.135712989798826,-29.945477310815154,-33.135712989798826,-96.93957533186334,27,20,41,False
154,50,24,0.45,mean_minus_std,-31.579817268322884,-33.13213597897055,-6.050366937163021,-33.92953991539275,-33.92953991539275,-71.6009312138404,27,546,41,False
132,20,36,0.55,mean,110.74657936660346,-8.095488021519245,-34.055357178821,-26.174256176143302,-34.055357178821,-5.70585667992163,20,0,41,False
134,20,36,0.55,pos_mean,110.74657936660346,-14.66780520461456,-34.055357178821,-26.174256176143302,-34.055357178821,-12.449062264353794,20,0,41,False
168,50,36,0.55,mean,110.74657936660346,-2.423042859329112,-34.055357178821,-26.174256176143302,-34.055357178821,0.11407909454916984,20,0,41,False
170,50,36,0.55,pos_mean,110.74657936660346,-2.4230428593291085,-34.055357178821,-26.174256176143302,-34.055357178821,0.11407909454915874,20,0,41,False
133,20,36,0.55,mean_minus_std,110.74657936660346,-11.053015917818517,-34.05535717882102,-26.174256176143302,-34.05535717882102,-8.740283971065654,20,0,41,False
169,50,36,0.55,mean_minus_std,110.74657936660346,-2.4230428593290885,-34.05535717882102,-26.174256176143302,-34.05535717882102,0.11407909454918097,20,0,41,False
16,3,24,0.55,mean_minus_std,10.57861721090335,-17.628114064570365,-34.29883293304268,-26.246269222794773,-34.29883293304268,-55.862549655122564,24,0,41,False
128,20,36,0.45,pos_mean,10.020476400970692,-43.14789689837741,-34.77068034423622,-26.371530325655762,-34.77068034423622,-69.95939471535984,26,99,41,False
131,20,36,0.5,pos_mean,73.05996784453286,-44.21026695345109,-34.96411029343741,-27.30643563848795,-34.96411029343741,-54.35429156068441,25,97,41,False
85,10,24,0.5,mean_minus_std,-26.142754030516574,-16.706181194391036,-35.13863539538064,-19.907857629856533,-35.13863539538064,-68.04183200648811,25,52,41,False
91,10,36,0.45,mean_minus_std,-16.750542457773797,-31.24281688645621,-35.19163900757128,-13.099192170720771,-35.19163900757128,-67.76302071517885,27,41,41,False
49,5,24,0.5,mean_minus_std,-18.925244464001267,-21.143732312418933,-35.68398683322895,-24.91681505700061,-35.68398683322895,-69.12665630458513,25,7,41,False
94,10,36,0.5,mean_minus_std,18.799928832943635,-45.467432624172375,-35.87087169210101,-19.767072956137827,-35.87087169210101,-66.66656283084892,25,39,41,False
162,50,36,0.45,mean,-13.323392048653943,-40.27555405965001,-35.95469153628226,-21.25184906017522,-35.95469153628226,-73.89151189549943,26,135,41,False
129,20,36,0.5,mean,101.20204136480706,-69.24499890028363,-36.33281059325849,-30.619857728698722,-36.33281059325849,-72.66626409698019,26,97,41,False
37,5,12,0.45,mean_minus_std,-2.155298294508111,-45.239664862035276,-37.07037499880993,-20.905394784138366,-37.07037499880993,-73.33108068529235,28,10,41,False
40,5,12,0.5,mean_minus_std,-2.155298294508111,-45.239664862035276,-37.07037499880993,-20.905394784138366,-37.07037499880993,-73.33108068529235,28,10,41,False
1,3,12,0.45,mean_minus_std,-14.534183837633922,-42.136818834172615,-37.67212153703336,-18.936800542543992,-37.67212153703336,-75.01376410061751,27,6,41,False
4,3,12,0.5,mean_minus_std,-14.534183837633922,-42.136818834172615,-37.67212153703336,-18.936800542543992,-37.67212153703336,-75.01376410061751,27,6,41,False
164,50,36,0.45,pos_mean,-10.577166871109474,-42.69957710200586,-38.03779459108536,-21.251849060175214,-38.03779459108536,-74.99807289405558,26,135,41,False
10,3,24,0.45,mean_minus_std,-39.04845322176004,-55.99965708833851,-38.09300461348644,-22.279557078474053,-38.09300461348644,-87.09625459595756,29,5,41,False
43,5,12,0.55,mean_minus_std,-33.03564330317837,-9.865912106872313,-38.75651498826818,5.700324192041159,-38.75651498826818,-60.9276993014132,27,10,41,False
13,3,24,0.5,mean_minus_std,-34.31033564103291,-35.189402716376236,-39.131949513303766,-31.852036380598705,-39.131949513303766,-82.34021785354221,25,5,41,False
120,20,24,0.5,mean,-18.56834691384219,64.98005495057345,-37.80238114916021,-39.167654533703825,-39.167654533703825,-49.168489500955545,24,63,41,False
59,5,36,0.5,pos_mean,101.14525100753471,-72.34560288142997,-24.933224167119917,-39.26767435417472,-39.26767435417472,-74.64044353318387,21,10,41,False
56,5,36,0.45,pos_mean,-54.84356606198526,-72.34560288142997,-24.933224167119917,-39.26767435417472,-39.26767435417472,-94.30686466344542,22,10,41,False
98,10,36,0.55,pos_mean,85.02063557142388,-34.99454027463949,-39.51909232207403,-26.174256176143302,-39.51909232207403,-46.29729839824262,22,0,41,False
93,10,36,0.5,mean,157.86787790500424,-75.87494277354946,-38.32457308264129,-39.53596383158987,-39.53596383158987,-76.80069913296578,25,20,41,False
55,5,36,0.45,mean_minus_std,-15.47443718895214,-18.684110461918824,-39.549612929983915,-12.193075007442054,-39.549612929983915,-63.516932825488546,26,10,41,False
127,20,36,0.45,mean_minus_std,-35.53759416643567,-38.837634883773845,-39.84569722507222,-18.556132301678694,-39.84569722507222,-80.68405908975917,27,74,41,False
52,5,24,0.55,mean_minus_std,26.54804910670856,-17.665784300550104,-41.119016154350895,-23.300488610553437,-41.119016154350895,-52.94525084640086,24,0,41,False
130,20,36,0.5,mean_minus_std,14.201735182555025,-50.71415815834997,-41.721098164504774,-22.964084043434674,-41.721098164504774,-74.73033456267963,25,78,41,False
95,10,36,0.5,pos_mean,85.84712685218388,-59.351139895489055,-41.29988562757179,-41.79391379347792,-41.79391379347792,-74.18859956711094,23,20,41,False
92,10,36,0.45,pos_mean,-22.52544977524552,-59.351139895489055,-41.29988562757179,-41.79391379347792,-41.79391379347792,-89.23993782911896,24,20,41,False
46,5,24,0.45,mean_minus_std,-22.953923884897666,-44.79205289345485,-41.797324339583206,-26.180601524396437,-41.797324339583206,-81.72465535029187,26,8,41,False
122,20,24,0.5,pos_mean,47.307523996119194,68.43504700135973,-42.42995282524576,-38.77966427126701,-42.42995282524576,-12.552039706130744,21,63,41,False
88,10,24,0.55,mean_minus_std,44.96196417212691,-22.54266765937561,-42.58760188690408,-28.924453490567885,-42.58760188690408,-54.18132816611325,24,0,41,False
64,5,0,0.45,mean_minus_std,-8.028697409798019,-9.558409786883077,-43.04697122507277,-15.277995491657597,-43.04697122507277,-59.86404743505245,25,5,41,False
