candidate_id,family,rule,leverage,trigger_window,trend_window,trigger_threshold_bps,trend_threshold_bps,hold_bars,hard_pass_original_2025_2026_ytd,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,min_target_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,volume_z
event_range_range_reversal_lev1p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps50_hold_bars32,event_range,range_reversal,1.0,5,960,100,50,32,False,False,"['2023-01', '2023-03', '2023-05', '2023-07', '2023-10', '2023-11', '2024-01', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2025-01', '2025-03', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-21.571836786574373,-1.0423818829806697,-8.42784840522035,-6.488155359917879,-7.446516784486579,-8.42784840522035,-7.446516784486579,25,-7.467150781732501,0,375,400.0,0.4,-72.07263240520342,1,
event_range_range_reversal_lev2p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps50_hold_bars32,event_range,range_reversal,2.0,5,960,100,50,32,False,False,"['2023-01', '2023-03', '2023-05', '2023-07', '2023-10', '2023-11', '2024-01', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2025-01', '2025-03', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-38.490232149682704,-2.0738981660616718,-16.14541052302694,-12.555349120091442,-14.338527446756743,-16.14541052302694,-14.338527446756743,25,-14.376718155493718,0,375,800.0,0.8,-92.20062139225107,1,
event_range_range_reversal_lev4p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps50_hold_bars32,event_range,range_reversal,4.0,5,960,100,50,32,False,False,"['2023-01', '2023-03', '2023-05', '2023-07', '2023-10', '2023-11', '2024-01', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2025-01', '2025-03', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-62.16548459000073,-4.104785796091404,-29.68407823648319,-23.53433032490907,-26.62112120009953,-29.68407823648319,-26.62112120009953,25,-26.6865360617624,0,375,1600.0,1.6,-99.39169693332988,1,
event_range_range_reversal_lev1p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps50_hold_bars8,event_range,range_reversal,1.0,5,960,100,50,8,False,False,"['2023-01', '2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-10', '2023-11', '2024-01', '2024-02', '2024-04', '2024-06', '2024-07', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04']",-31.000163954471184,-8.478737064599617,-11.702043070765367,-12.13844081362061,-2.8200897769149913,-12.13844081362061,-12.13844081362061,27,-6.3810145585168065,0,406,414.0,0.41400000000000003,-68.27006289735749,1,
event_range_range_reversal_lev1p0_trigger_window5_trend_window320_trigger_threshold_bps100_trend_threshold_bps50_hold_bars32,event_range,range_reversal,1.0,5,320,100,50,32,False,False,"['2023-01', '2023-05', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04', '2026-05']",-26.01399939215777,-0.5765915395425258,-11.626294005560222,-15.430195243916145,-0.43137531634540593,-15.430195243916145,-15.430195243916145,27,-7.247917944996063,0,444,458.0,0.458,-76.53127392895527,1,
event_range_range_reversal_lev2p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps50_hold_bars8,event_range,range_reversal,2.0,5,960,100,50,8,False,False,"['2023-01', '2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-10', '2023-11', '2024-01', '2024-02', '2024-04', '2024-06', '2024-07', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04']",-52.390226256901414,-16.238584307093085,-22.034708021230244,-22.803464173383514,-5.560650490331376,-22.803464173383514,-22.803464173383514,27,-12.35485564907357,0,406,828.0,0.8280000000000001,-89.93211091462351,1,
event_range_range_reversal_lev2p0_trigger_window5_trend_window320_trigger_threshold_bps100_trend_threshold_bps50_hold_bars32,event_range,range_reversal,2.0,5,320,100,50,32,False,False,"['2023-01', '2023-05', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04', '2026-05']",-45.26071714056369,-1.149858501050327,-21.900880888083186,-28.47948123517857,-0.8608897860552966,-28.47948123517857,-28.47948123517857,27,-13.97051274461817,0,444,916.0,0.916,-94.49218896602267,1,
event_range_range_reversal_lev4p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps50_hold_bars8,event_range,range_reversal,4.0,5,960,100,50,8,False,False,"['2023-01', '2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-10', '2023-11', '2024-01', '2024-02', '2024-04', '2024-06', '2024-07', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04']",-77.33309444130961,-29.840252411200463,-39.214132466651805,-40.406948563699174,-10.812092641906524,-40.406948563699174,-40.406948563699174,27,-23.183286717052688,0,406,1656.0,1.6560000000000001,-98.98637609364556,1,
event_range_range_reversal_lev4p0_trigger_window5_trend_window320_trigger_threshold_bps100_trend_threshold_bps50_hold_bars32,event_range,range_reversal,4.0,5,320,100,50,32,False,False,"['2023-01', '2023-05', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04', '2026-05']",-70.03610912034621,-2.2864952563762864,-39.0052759394263,-48.848153956108256,-1.7143682598732446,-48.848153956108256,-48.848153956108256,27,-25.989273225760947,0,444,1832.0,1.832,-99.69664017613997,1,
event_range_range_reversal_lev1p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_range,range_reversal,1.0,5,960,100,150,32,False,False,"['2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-02', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-38.94126771872352,-10.647976297091056,-23.00288130691368,1.301442580366552,-12.390079497362683,-23.00288130691368,-12.390079497362683,29,-9.796305497170755,2,794,870.0,0.8700000000000001,-83.33644648184713,1,
