config_id,top_k,lookback_months,min_pos_rate,score_mode,hard_pass_original_2025_2026_ytd,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,min_target_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct
28,10,24,0.45,mean,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-30.21660283756106,-0.31130150640128473,-22.703937062398595,-9.437415514104607,0.0,-22.703937062398595,-9.437415514104607,34,-12.656631550301245,0,1059,0.0,0.0,-12.656631550301245
29,10,24,0.45,pos_mean,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-30.21660283756106,-0.31130150640128473,-22.703937062398595,-9.437415514104607,0.0,-22.703937062398595,-9.437415514104607,34,-12.656631550301245,0,1059,0.0,0.0,-12.656631550301245
40,20,24,0.45,mean,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-30.21660283756106,-0.31130150640128473,-22.703937062398595,-9.437415514104607,0.0,-22.703937062398595,-9.437415514104607,34,-12.656631550301245,0,1059,0.0,0.0,-12.656631550301245
41,20,24,0.45,pos_mean,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-30.21660283756106,-0.31130150640128473,-22.703937062398595,-9.437415514104607,0.0,-22.703937062398595,-9.437415514104607,34,-12.656631550301245,0,1059,0.0,0.0,-12.656631550301245
4,3,24,0.45,mean,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-32.25028614024868,-0.31130150640128473,-24.408234476389712,-10.094336503126566,0.0,-24.408234476389712,-10.094336503126566,34,-12.656631550301245,0,841,0.0,0.0,-12.656631550301245
16,5,24,0.45,mean,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-32.644969351265665,-0.31130150640128473,-22.80412643871165,-12.475421906072292,0.0,-22.80412643871165,-12.475421906072292,34,-12.656631550301245,0,986,0.0,0.0,-12.656631550301245
17,5,24,0.45,pos_mean,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-34.88722014381206,-0.31130150640128473,-24.08567698664096,-13.960755628809574,0.0,-24.08567698664096,-13.960755628809574,34,-12.656631550301245,0,991,0.0,0.0,-12.656631550301245
5,3,24,0.45,pos_mean,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-36.31397885657044,-0.31130150640128473,-24.521755178575255,-15.359855097953334,0.0,-24.521755178575255,-15.359855097953334,34,-12.656631550301245,0,851,0.0,0.0,-12.656631550301245
0,3,12,0.45,mean,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-10', '2023-11', '2024-01', '2024-02', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-04', '2026-05']",-61.95457486057293,-31.77872718061994,-12.327580047643172,-37.13022244946282,1.176046630045935,-37.13022244946282,-37.13022244946282,35,-33.315071466769375,0,808,0.0,0.0,-33.315071466769375
1,3,12,0.45,pos_mean,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-04', '2026-05']",-59.74376042289041,-24.2356178686714,-16.4688445627409,-37.13022244946282,1.176046630045935,-37.13022244946282,-37.13022244946282,35,-33.315071466769375,0,745,0.0,0.0,-33.315071466769375
