month,url,ok,http_status,rows,content_length,error
2020-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-01.zip,True,200,14880,652099,
2020-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-02.zip,True,200,13920,614831,
2020-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-03.zip,True,200,14880,674834,
2020-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-04.zip,True,200,14400,648824,
2020-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-05.zip,True,200,14880,677763,
2020-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-06.zip,True,200,14400,636256,
2020-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-07.zip,True,200,14880,647013,
2020-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-08.zip,True,200,14880,669237,
2020-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-09.zip,True,200,14400,646523,
2020-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-10.zip,True,200,14880,665687,
2020-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-11.zip,True,200,14400,672998,
2020-12,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2020-12.zip,True,200,14880,697162,
2021-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-01.zip,True,200,14880,722017,
2021-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-02.zip,True,200,13440,650212,
2021-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-03.zip,True,200,14880,719927,
2021-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-04.zip,True,200,14400,693201,
2021-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-05.zip,True,200,14880,732280,
2021-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-06.zip,True,200,14400,706451,
2021-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-07.zip,True,200,14880,715495,
2021-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-08.zip,True,200,14880,718814,
2021-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-09.zip,True,200,14400,692325,
2021-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-10.zip,True,200,14880,716708,
2021-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-11.zip,True,200,14400,691278,
2021-12,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2021-12.zip,True,200,14880,715214,
2022-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-01.zip,True,200,14880,713994,
2022-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-02.zip,True,200,13440,634305,
2022-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-03.zip,True,200,14880,681939,
2022-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-04.zip,True,200,14400,653073,
2022-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-05.zip,True,200,14880,682892,
2022-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-06.zip,True,200,14400,663676,
2022-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-07.zip,True,200,14880,680925,
2022-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-08.zip,True,200,14880,673063,
2022-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-09.zip,True,200,14400,652990,
2022-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-10.zip,True,200,14880,658778,
2022-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2022-11.zip,True,200,14400,641135,
