selector_id,month,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct
all_events,2023-01,0.02948144188108894,0.022,22.0,22,3.004032258064516,-1.809904458418088,2.992032191073335
all_events,2023-02,-0.018015463502620833,0.012,12.0,12,1.607142857142857,-2.4776286553662374,-1.785415517397071
all_events,2023-03,-8.505255487142784e-05,0.036000000000000004,36.0,36,8.19220430107527,-7.150062718246264,-0.008504893800542757
all_events,2023-04,-0.02462498391877975,0.018000000000000002,18.0,18,2.4375,-10.003463014143854,-2.432426247954933
all_events,2023-05,0.005364956032336565,0.012,12.0,12,1.6868279569892473,-6.11702184849594,0.5379373179874358
all_events,2023-06,-0.008512996533761794,0.016,16.0,16,3.256944444444444,-6.8430146394984455,-0.8476863584690686
all_events,2023-07,-0.006857213673127745,0.004,4.0,4,0.47715053763440857,-6.900218220913635,-0.6833756630723276
all_events,2023-08,0.0016473355812363193,0.012,12.0,12,2.0161290322580645,-7.256885307939465,0.16486931838681773
all_events,2023-09,-0.01252496775172473,0.006,6.0,6,0.7013888888888888,-8.12296543013671,-1.244685679563029
all_events,2023-10,-0.00038120335850176396,0.018000000000000002,18.0,18,3.1451612903225805,-8.748097763089335,-0.03811307097331129
all_events,2023-11,-0.01172599496256143,0.008,8.0,8,0.9305555555555555,-9.47346990997826,-1.1657513416406973
all_events,2023-12,-0.0015216258221670814,0.002,2.0,2,0.21505376344086022,-9.408260937353518,-0.15204687365539815
all_events,2024-01,-0.05915012791339368,0.018000000000000002,18.0,18,2.231182795698925,-14.565296759201518,-5.743474682008087
all_events,2024-02,0.053076312955069,0.019,19.0,18,3.247126436781609,-16.31867484812658,5.4510114831888945
all_events,2024-03,-0.06937344779714333,0.063,63.0,63,13.985215053763442,-20.681480733687074,-6.702180364019982
all_events,2024-04,-0.11799827578567729,0.055,55.0,55,9.715277777777779,-25.595222003025953,-11.130241508159921
all_events,2024-05,0.01654475610073537,0.013000000000000001,13.0,13,2.486559139784946,-25.370945419737367,1.6682378506756468
all_events,2024-06,-0.036649387605437,0.014,14.0,14,2.3958333333333335,-26.622656670954782,-3.5985928614729046
all_events,2024-07,-0.09432012414950461,0.032,32.0,32,5.813172043010752,-33.56346776992083,-9.00085946166328
all_events,2024-08,-0.0524042826046824,0.052000000000000005,52.0,52,8.918010752688172,-37.145824550910525,-5.105485273329657
all_events,2024-09,-0.01949341353276111,0.02,20.0,20,3.618055555555556,-38.316295983042124,-1.930464551478217
all_events,2024-10,-0.03656071452742958,0.014,14.0,14,2.3723118279569895,-40.090404806343,-3.590044272968451
all_events,2024-11,0.01840864969838289,0.042,42.0,42,8.04861111111111,-42.82641603000559,1.8579133408428872
all_events,2024-12,-0.011875122576826727,0.048,48.0,48,7.728494623655914,-41.38496697523218,-1.1804891584157762
all_events,2025-01,-0.0188809360682629,0.014,14.0,11,1.411290322580645,-41.35318139076133,-1.8703807729602895
all_events,2025-02,0.002287312997425033,0.018000000000000002,18.0,17,2.2916666666666665,-41.5844795276483,0.22899308934010154
all_events,2025-03,-0.04905420321382546,0.018000000000000002,18.0,16,2.163978494623656,-43.78397867548346,-4.78704801801455
all_events,2025-04,0.020596970036643528,0.014,14.0,14,1.597222222222222,-43.69335223819034,2.0810551480495043
all_events,2025-05,0.0014591268756614113,0.002,2.0,2,0.2217741935483871,-42.54082169722039,0.14601919192291923
all_events,2025-06,-0.0030218664933336897,0.002,2.0,2,0.22916666666666666,-42.495743468155766,-0.301730525042776
all_events,2025-07,0.0036066106069774263,0.004,4.0,4,0.43682795698924726,-42.811431414818955,0.36131222529831586
all_events,2025-08,-0.0027968955264594513,0.002,2.0,2,0.23521505376344087,-42.635763496388925,-0.2792987858128759
all_events,2025-09,-0.009921532565559275,0.002,2.0,2,0.24305555555555555,-43.081401911115016,-0.9872476532392649
all_events,2025-10,-0.005471076409460537,0.004,4.0,4,0.456989247311828,-43.349484340510735,-0.5456137327624289
all_events,2025-11,-0.0062447992454448525,0.002,2.0,2,0.22916666666666666,-43.65106197165767,-0.6225341011960484
all_events,2025-12,0.00035921193146327794,0.014,14.0,14,1.525537634408602,-43.999138796878434,0.03592764557949213
all_events,2026-01,-0.008532568631308465,0.004,4.0,4,0.43682795698924726,-44.182735342472945,-0.8496269582327742
all_events,2026-02,-0.02502764440592918,0.016,16.0,15,1.7485119047619049,-47.39620758419577,-2.4717049462113283
all_events,2026-03,-0.03042894756111923,0.018000000000000002,18.0,17,2.0698924731182795,-47.66992613579053,-2.9970647430017316
all_events,2026-04,-0.008246286598158506,0.01,10.0,10,1.1319444444444444,-48.19734381249686,-0.8212379244095347
all_events,2026-05,-0.005148064440164021,0.004,4.0,4,0.43010752688172044,-47.863903952727426,-0.5134835866675513
trend_events,2023-01,0.02948144188108894,0.022,22.0,22,3.004032258064516,-1.809904458418088,2.992032191073335
trend_events,2023-02,-0.018015463502620833,0.012,12.0,12,1.607142857142857,-2.4776286553662374,-1.785415517397071
trend_events,2023-03,-8.505255487142784e-05,0.036000000000000004,36.0,36,8.19220430107527,-7.150062718246264,-0.008504893800542757
trend_events,2023-04,-0.02462498391877975,0.018000000000000002,18.0,18,2.4375,-10.003463014143854,-2.432426247954933
trend_events,2023-05,0.005364956032336565,0.012,12.0,12,1.6868279569892473,-6.11702184849594,0.5379373179874358
trend_events,2023-06,-0.008512996533761794,0.016,16.0,16,3.256944444444444,-6.8430146394984455,-0.8476863584690686
trend_events,2023-07,-0.006857213673127745,0.004,4.0,4,0.47715053763440857,-6.900218220913635,-0.6833756630723276
trend_events,2023-08,0.0016473355812363193,0.012,12.0,12,2.0161290322580645,-7.256885307939465,0.16486931838681773
trend_events,2023-09,-0.01252496775172473,0.006,6.0,6,0.7013888888888888,-8.12296543013671,-1.244685679563029
trend_events,2023-10,-0.00038120335850176396,0.018000000000000002,18.0,18,3.1451612903225805,-8.748097763089335,-0.03811307097331129
trend_events,2023-11,-0.01784736731790002,0.022,22.0,22,4.340277777777778,-10.13782336712563,-1.7689046327921343
trend_events,2023-12,-0.030441473874621466,0.02,20.0,20,3.4408602150537635,-12.547965252383875,-2.998279824569139
trend_events,2024-01,0.033331156382946404,0.038,38.0,38,6.27016129032258,-13.272989826835035,3.3892862777656685
trend_events,2024-02,0.053076312955069,0.019,19.0,18,3.247126436781609,-11.371285189990399,5.4510114831888945
trend_events,2024-03,-0.06937344779714333,0.063,63.0,63,13.985215053763442,-15.992027965048072,-6.702180364019982
trend_events,2024-04,-0.11799827578567729,0.055,55.0,55,9.715277777777779,-21.196278409457538,-11.130241508159921
trend_events,2024-05,0.01654475610073537,0.013000000000000001,13.0,13,2.486559139784946,-20.9587421933093,1.6682378506756468
trend_events,2024-06,-0.036649387605437,0.014,14.0,14,2.3958333333333335,-22.284456853148715,-3.5985928614729046
trend_events,2024-07,-0.09432012414950461,0.032,32.0,32,5.813172043010752,-29.63562112216531,-9.00085946166328
trend_events,2024-08,-0.0524042826046824,0.052000000000000005,52.0,52,8.918010752688172,-33.42977324528009,-5.105485273329657
trend_events,2024-09,-0.01949341353276111,0.02,20.0,20,3.618055555555556,-34.66944504258234,-1.930464551478217
trend_events,2024-10,-0.03656071452742958,0.014,14.0,14,2.3723118279569895,-36.54844235359391,-3.590044272968451
trend_events,2024-11,0.01840864969838289,0.042,42.0,42,8.04861111111111,-39.446211455826486,1.8579133408428872
trend_events,2024-12,-0.011875122576826727,0.048,48.0,48,7.728494623655914,-37.91954135402289,-1.1804891584157762
trend_events,2025-01,-0.15194997709164146,0.032,32.0,32,7.083333333333333,-46.46940157396122,-14.096874909209056
trend_events,2025-02,-0.06475229049548156,0.034,34.0,34,9.680059523809524,-49.07868014387344,-6.270038735393991
trend_events,2025-03,-0.014016946265831678,0.048,48.0,48,9.684139784946238,-50.016794124080555,-1.3919166266668226
trend_events,2025-04,-0.049951549355954784,0.026000000000000002,26.0,26,4.784722222222222,-52.48887845265986,-4.872448670452734
trend_events,2025-05,-0.02264991618491051,0.016,16.0,16,2.1841397849462365,-52.95014491051333,-2.239533255507198
