selector_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
all_events,2023,-0.04775576858345473,0.166,166.0,166,12,9,-2.432426247954933,2,-10.003463014143854,-4.663339927847443
all_events,2024,-0.40979517773866847,0.39,390.0,389,12,9,-11.130241508159921,13,-42.82641603000559,-33.621380559698366
all_events,2025,-0.06708207707417549,0.096,96.0,90,12,7,-4.78704801801455,2,-43.999138796878434,-6.488155359917879
all_events,2026,-0.0773835116366794,0.052000000000000005,52.0,50,5,5,-2.9970647430017316,4,-48.19734381249686,-7.446516784486579
trend_events,2023,-0.08279698899124771,0.198,198.0,198,12,9,-2.998279824569139,4,-12.547965252383875,-7.946199239835627
trend_events,2024,-0.31731389344232835,0.41000000000000003,410.0,409,12,8,-11.130241508159921,13,-39.446211455826486,-27.189782724504784
trend_events,2025,-0.5027254759863933,0.266,266.0,266,12,11,-14.096874909209056,0,-61.83534824279015,-39.512017435921805
trend_events,2026,-0.07516605876384885,0.126,126.0,126,5,4,-3.9665677166394686,2,-65.10202925875379,-7.241056081716235
range_events,2023,-0.0219882410280813,0.096,96.0,92,12,6,-2.74882155973879,2,-5.013744105775986,-2.1748261781703637
range_events,2024,-0.0909516204938133,0.17,170.0,162,12,9,-5.743474682008087,2,-16.122064906670186,-8.693811668622997
range_events,2025,-0.06708207707417549,0.096,96.0,90,12,7,-4.78704801801455,2,-17.972682875655345,-6.488155359917879
range_events,2026,-0.0773835116366794,0.052000000000000005,52.0,50,5,5,-2.9970647430017316,4,-24.122007846214068,-7.446516784486579
return_first_all,2023,-0.08279698899124771,0.198,198.0,198,12,9,-2.998279824569139,4,-12.547965252383875,-7.946199239835627
return_first_all,2024,-0.31731389344232835,0.41000000000000003,410.0,409,12,8,-11.130241508159921,13,-39.446211455826486,-27.189782724504784
return_first_all,2025,-0.5027254759863933,0.266,266.0,266,12,11,-14.096874909209056,0,-61.83534824279015,-39.512017435921805
return_first_all,2026,-0.08125930426706587,0.112,112.0,112,5,4,-3.9665677166394686,4,-64.59673223757598,-7.804540631377055
min10_return_first_all,2023,-0.4083882509704844,0.456,456.0,455,12,11,-5.746718523211946,14,-34.38086421818599,-33.52792497600737
min10_return_first_all,2024,-0.5190735999938283,0.764,764.0,763,12,10,-13.269242597452259,38,-60.812450697766195,-40.49284329978874
min10_return_first_all,2025,-0.778586069772285,0.5680000000000001,568.0,568,12,10,-15.353556641749256,18,-81.99937341442623,-54.09453761404362
min10_return_first_all,2026,-0.2452125890726236,0.23,230.0,229,5,5,-8.303967924229328,12,-85.89992414314997,-21.74618385044893
