month,global_candidate_id,candidate_id,source_id,source_name,family,rule,leverage,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct,used_previous_winner_month,lookback,threshold_bps,symbol,trigger_window,trend_window,trigger_threshold_bps,trend_threshold_bps,hold_bars,volume_z
2023-01,flat_no_previous_winner,flat_no_previous_winner,flat,flat,flat,flat,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,
2023-02,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps50,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps50,strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,4.0,0.7484638344709663,0.192,192.0,47,1.7485119047619049,-99.89144823669837,111.37504507367603,2023-01,384.0,50.0,SOLUSDT,,,,,,
2023-03,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,4.0,-0.0433325706499994,0.464,464.0,94,3.1586021505376345,-99.41094191381936,-4.2407130178427455,2023-02,384.0,20.0,SOLUSDT,,,,,,
2023-04,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps50,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps50,strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,4.0,0.7247301729804424,0.016,16.0,4,0.1388888888888889,-99.98747921832567,106.41740548838814,2023-03,1536.0,50.0,SOLUSDT,,,,,,
2023-05,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps100,strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,4.0,-0.1578082909086738,0.204,204.0,51,1.7137096774193548,-99.98873982641244,-14.59865115741813,2023-04,1536.0,100.0,SOLUSDT,,,,,,
2023-06,strategy_33::cross_section_long_strong_short_weak_lev4p0_lookback1536_threshold_bps0,cross_section_long_strong_short_weak_lev4p0_lookback1536_threshold_bps0,strategy_33,33号多币种15m免费期货候选池,cross_section,long_strong_short_weak,4.0,-0.1480249168099832,0.2,200.0,100,1.7361111111111112,-99.9987327570611,-13.759037382245232,2023-05,1536.0,0.0,,,,,,,
2023-07,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,4.0,-1.9115157590011504,0.328,328.0,77,2.587365591397849,-99.99999999999956,-85.21438975601082,2023-06,384.0,50.0,XRPUSDT,,,,,,
2023-08,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,4.0,0.1152212672683838,0.52,520.0,127,4.26747311827957,-99.9999036560228,12.212169890798318,2023-07,384.0,50.0,XRPUSDT,,,,,,
2023-09,strategy_33::single_symbol_symbol_reversal_lev4p0_symbolADAUSDT_lookback96_threshold_bps100,single_symbol_symbol_reversal_lev4p0_symbolADAUSDT_lookback96_threshold_bps100,strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_reversal,4.0,-0.4521304172480111,0.752,752.0,187,6.493055555555556,-100.0,-36.37288164229587,2023-08,96.0,100.0,ADAUSDT,,,,,,
2023-10,strategy_33::single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,strategy_33,33号多币种15m免费期货候选池,single_symbol,symbol_momentum,4.0,-0.1421901037938807,0.88,880.0,185,6.216397849462366,-99.99983031201572,-13.25436659299104,2023-09,384.0,20.0,LINKUSDT,,,,,,
