month,symbol,rule,lookback,threshold_bps,return_pct,prev1_ret_pct,prev1_abs_rank,prev1_vol_rank,prev2_ret_pct,prev2_abs_rank,prev2_vol_rank,prev3_ret_pct,prev3_abs_rank,prev3_vol_rank
2023-01,SOLUSDT,symbol_momentum,384,50,123.6713264470453,-29.179396092362342,2,1,-56.61151960784314,1,1,-1.6324062877871803,9,4
2023-02,SOLUSDT,symbol_momentum,384,20,126.37994658308864,140.694514343231,1,1,-29.179396092362342,2,1,-56.61151960784314,1,1
2023-03,SOLUSDT,symbol_reversal,1536,50,161.52290937096728,-8.38080080415481,4,1,140.694514343231,1,1,-29.179396092362342,2,1
2023-04,SOLUSDT,symbol_reversal,1536,100,111.07840259872836,-3.286106032906755,9,1,-8.38080080415481,4,1,140.694514343231,1,1
2023-06,XRPUSDT,symbol_reversal,384,50,150.6365075371571,9.4723458359822,3,2,-12.273829509419887,1,4,43.00159659393292,1,2
2023-07,XRPUSDT,symbol_momentum,384,50,250.96480401943407,-8.26382153249272,5,6,9.4723458359822,3,2,-12.273829509419887,1,4
2023-08,ADAUSDT,symbol_reversal,96,100,66.86847747284112,7.008368200836812,5,4,-23.581135091926463,1,3,-5.527511357900039,8,4
2023-09,LINKUSDT,symbol_momentum,384,20,163.131891204675,-22.170686456400745,2,3,19.720767888307165,3,5,-2.862859781437588,8,4
2023-10,SOLUSDT,symbol_momentum,1536,100,319.5755017664935,7.95994740568422,2,1,-16.9054441260745,5,4,25.421756835369425,2,2
2023-11,AVAXUSDT,symbol_momentum,384,20,196.36271863078653,22.66377910124526,4,3,-7.5475475475475395,3,3,-22.026879199874983,3,5
2023-12,LINKUSDT,symbol_reversal,384,20,217.7691746695851,27.337811560898007,4,3,38.84610683290553,2,1,38.89360257933143,1,2
2024-01,SOLUSDT,symbol_reversal,384,20,217.1398564736936,72.33858814365783,2,2,55.38933137706978,2,1,79.57693747660053,1,2
2024-02,ETHUSDT,symbol_momentum,384,50,216.89263136945104,-0.7174275285078413,8,8,11.529727749969476,6,8,13.014739903496597,6,8
