symbol,timestamp,funding_interval_hours,funding_rate
ADAUSDT,2022-12-01 00:00:00.001000+00:00,8,5.259e-05
ADAUSDT,2022-12-01 08:00:00.006000+00:00,8,0.0001
ADAUSDT,2022-12-01 16:00:00+00:00,8,0.0001
ADAUSDT,2022-12-02 00:00:00.001000+00:00,8,0.0001
ADAUSDT,2022-12-02 08:00:00.016000+00:00,8,1.62e-06
ADAUSDT,2022-12-02 16:00:00.017000+00:00,8,0.0001
ADAUSDT,2022-12-03 00:00:00.006000+00:00,8,0.0001
ADAUSDT,2022-12-03 08:00:00+00:00,8,0.0001
ADAUSDT,2022-12-03 16:00:00.011000+00:00,8,0.0001
ADAUSDT,2022-12-04 00:00:00.006000+00:00,8,8.823e-05
ADAUSDT,2022-12-04 08:00:00+00:00,8,0.0001
ADAUSDT,2022-12-04 16:00:00.006000+00:00,8,5.952e-05
ADAUSDT,2022-12-05 00:00:00.002000+00:00,8,9.791e-05
ADAUSDT,2022-12-05 08:00:00.011000+00:00,8,9.364e-05
ADAUSDT,2022-12-05 16:00:00.008000+00:00,8,3.614e-05
ADAUSDT,2022-12-06 00:00:00.014000+00:00,8,9.493e-05
ADAUSDT,2022-12-06 08:00:00.027000+00:00,8,9.558e-05
ADAUSDT,2022-12-06 16:00:00.009000+00:00,8,3.082e-05
ADAUSDT,2022-12-07 00:00:00+00:00,8,9.205e-05
ADAUSDT,2022-12-07 08:00:00+00:00,8,-2.891e-05
ADAUSDT,2022-12-07 16:00:00+00:00,8,0.0001
ADAUSDT,2022-12-08 00:00:00.006000+00:00,8,-1.146e-05
ADAUSDT,2022-12-08 08:00:00+00:00,8,-1.269e-05
ADAUSDT,2022-12-08 16:00:00.014000+00:00,8,9.21e-06
ADAUSDT,2022-12-09 00:00:00.017000+00:00,8,8.255e-05
ADAUSDT,2022-12-09 08:00:00.005000+00:00,8,0.0001
ADAUSDT,2022-12-09 16:00:00+00:00,8,0.0001
ADAUSDT,2022-12-10 00:00:00.009000+00:00,8,-2.84e-06
ADAUSDT,2022-12-10 08:00:00.010000+00:00,8,6.846e-05
ADAUSDT,2022-12-10 16:00:00.001000+00:00,8,0.0001
ADAUSDT,2022-12-11 00:00:00.011000+00:00,8,6.643e-05
ADAUSDT,2022-12-11 08:00:00.007000+00:00,8,9.553e-05
ADAUSDT,2022-12-11 16:00:00.011000+00:00,8,1.189e-05
ADAUSDT,2022-12-12 00:00:00+00:00,8,-5.211e-05
ADAUSDT,2022-12-12 08:00:00.004000+00:00,8,-3.563e-05
ADAUSDT,2022-12-12 16:00:00+00:00,8,7.678e-05
ADAUSDT,2022-12-13 00:00:00+00:00,8,-4.842e-05
ADAUSDT,2022-12-13 08:00:00.018000+00:00,8,-5.738e-05
ADAUSDT,2022-12-13 16:00:00.011000+00:00,8,9.63e-05
ADAUSDT,2022-12-14 00:00:00.010000+00:00,8,0.0001
ADAUSDT,2022-12-14 08:00:00.015000+00:00,8,0.0001
ADAUSDT,2022-12-14 16:00:00.004000+00:00,8,0.0001
ADAUSDT,2022-12-15 00:00:00+00:00,8,9.708e-05
ADAUSDT,2022-12-15 08:00:00.023000+00:00,8,0.0001
ADAUSDT,2022-12-15 16:00:00.010000+00:00,8,7.17e-05
ADAUSDT,2022-12-16 00:00:00.016000+00:00,8,1.4e-05
ADAUSDT,2022-12-16 08:00:00.011000+00:00,8,0.0001
ADAUSDT,2022-12-16 16:00:00.001000+00:00,8,-0.00034122
ADAUSDT,2022-12-17 00:00:00.001000+00:00,8,-8.275e-05
ADAUSDT,2022-12-17 08:00:00.011000+00:00,8,-4.017e-05
ADAUSDT,2022-12-17 16:00:00.011000+00:00,8,-0.00017138
ADAUSDT,2022-12-18 00:00:00.008000+00:00,8,-0.00027889
ADAUSDT,2022-12-18 08:00:00.001000+00:00,8,-0.00021902
ADAUSDT,2022-12-18 16:00:00.012000+00:00,8,0.0001
ADAUSDT,2022-12-19 00:00:00+00:00,8,-7.499e-05
ADAUSDT,2022-12-19 08:00:00+00:00,8,4.161e-05
ADAUSDT,2022-12-19 16:00:00+00:00,8,6.559e-05
ADAUSDT,2022-12-20 00:00:00.005000+00:00,8,-0.00024159
ADAUSDT,2022-12-20 08:00:00.016000+00:00,8,5.38e-06
ADAUSDT,2022-12-20 16:00:00+00:00,8,-0.0001281
