symbol,month,url,ok,rows,http_status,error
BTCUSDT,2020-01,strategy_33_cached_panel,True,2976,,
BTCUSDT,2020-02,strategy_33_cached_panel,True,2784,,
BTCUSDT,2020-03,strategy_33_cached_panel,True,2976,,
BTCUSDT,2020-04,strategy_33_cached_panel,True,2880,,
BTCUSDT,2020-05,strategy_33_cached_panel,True,2976,,
BTCUSDT,2020-06,strategy_33_cached_panel,True,2880,,
BTCUSDT,2020-07,strategy_33_cached_panel,True,2976,,
BTCUSDT,2020-08,strategy_33_cached_panel,True,2976,,
BTCUSDT,2020-09,strategy_33_cached_panel,True,2880,,
BTCUSDT,2020-10,strategy_33_cached_panel,True,2976,,
BTCUSDT,2020-11,strategy_33_cached_panel,True,2880,,
BTCUSDT,2020-12,strategy_33_cached_panel,True,2976,,
BTCUSDT,2021-01,strategy_33_cached_panel,True,2976,,
BTCUSDT,2021-02,strategy_33_cached_panel,True,2688,,
BTCUSDT,2021-03,strategy_33_cached_panel,True,2976,,
BTCUSDT,2021-04,strategy_33_cached_panel,True,2880,,
BTCUSDT,2021-05,strategy_33_cached_panel,True,2976,,
BTCUSDT,2021-06,strategy_33_cached_panel,True,2880,,
BTCUSDT,2021-07,strategy_33_cached_panel,True,2976,,
BTCUSDT,2021-08,strategy_33_cached_panel,True,2976,,
BTCUSDT,2021-09,strategy_33_cached_panel,True,2880,,
BTCUSDT,2021-10,strategy_33_cached_panel,True,2976,,
BTCUSDT,2021-11,strategy_33_cached_panel,True,2880,,
BTCUSDT,2021-12,strategy_33_cached_panel,True,2976,,
BTCUSDT,2022-01,strategy_33_cached_panel,True,2976,,
BTCUSDT,2022-02,strategy_33_cached_panel,True,2688,,
BTCUSDT,2022-03,strategy_33_cached_panel,True,2976,,
BTCUSDT,2022-04,strategy_33_cached_panel,True,2880,,
BTCUSDT,2022-05,strategy_33_cached_panel,True,2976,,
BTCUSDT,2022-06,strategy_33_cached_panel,True,2880,,
BTCUSDT,2022-07,strategy_33_cached_panel,True,2976,,
BTCUSDT,2022-08,strategy_33_cached_panel,True,2976,,
BTCUSDT,2022-09,strategy_33_cached_panel,True,2880,,
BTCUSDT,2022-10,strategy_33_cached_panel,True,2976,,
BTCUSDT,2022-11,strategy_33_cached_panel,True,2880,,
BTCUSDT,2022-12,strategy_33_cached_panel,True,2976,,
BTCUSDT,2023-01,strategy_33_cached_panel,True,2976,,
BTCUSDT,2023-02,strategy_33_cached_panel,True,2688,,
BTCUSDT,2023-03,strategy_33_cached_panel,True,2976,,
BTCUSDT,2023-04,strategy_33_cached_panel,True,2880,,
BTCUSDT,2023-05,strategy_33_cached_panel,True,2976,,
BTCUSDT,2023-06,strategy_33_cached_panel,True,2880,,
BTCUSDT,2023-07,strategy_33_cached_panel,True,2976,,
BTCUSDT,2023-08,strategy_33_cached_panel,True,2976,,
BTCUSDT,2023-09,strategy_33_cached_panel,True,2880,,
BTCUSDT,2023-10,strategy_33_cached_panel,True,2976,,
BTCUSDT,2023-11,strategy_33_cached_panel,True,2880,,
BTCUSDT,2023-12,strategy_33_cached_panel,True,2976,,
BTCUSDT,2024-01,strategy_33_cached_panel,True,2976,,
BTCUSDT,2024-02,strategy_33_cached_panel,True,2784,,
BTCUSDT,2024-03,strategy_33_cached_panel,True,2976,,
BTCUSDT,2024-04,strategy_33_cached_panel,True,2880,,
BTCUSDT,2024-05,strategy_33_cached_panel,True,2976,,
BTCUSDT,2024-06,strategy_33_cached_panel,True,2880,,
BTCUSDT,2024-07,strategy_33_cached_panel,True,2976,,
BTCUSDT,2024-08,strategy_33_cached_panel,True,2976,,
BTCUSDT,2024-09,strategy_33_cached_panel,True,2880,,
BTCUSDT,2024-10,strategy_33_cached_panel,True,2976,,
BTCUSDT,2024-11,strategy_33_cached_panel,True,2880,,
BTCUSDT,2024-12,strategy_33_cached_panel,True,2976,,
BTCUSDT,2025-01,strategy_33_cached_panel,True,2976,,
BTCUSDT,2025-02,strategy_33_cached_panel,True,2688,,
BTCUSDT,2025-03,strategy_33_cached_panel,True,2976,,
BTCUSDT,2025-04,strategy_33_cached_panel,True,2880,,
BTCUSDT,2025-05,strategy_33_cached_panel,True,2976,,
BTCUSDT,2025-06,strategy_33_cached_panel,True,2880,,
BTCUSDT,2025-07,strategy_33_cached_panel,True,2976,,
BTCUSDT,2025-08,strategy_33_cached_panel,True,2976,,
BTCUSDT,2025-09,strategy_33_cached_panel,True,2880,,
BTCUSDT,2025-10,strategy_33_cached_panel,True,2976,,
BTCUSDT,2025-11,strategy_33_cached_panel,True,2880,,
BTCUSDT,2025-12,strategy_33_cached_panel,True,2976,,
BTCUSDT,2026-01,strategy_33_cached_panel,True,2976,,
BTCUSDT,2026-02,strategy_33_cached_panel,True,2688,,
BTCUSDT,2026-03,strategy_33_cached_panel,True,2976,,
BTCUSDT,2026-04,strategy_33_cached_panel,True,2880,,
BTCUSDT,2026-05,strategy_33_cached_panel,True,2976,,
HYPEUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-01.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-02.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-03.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-04.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-05,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-05.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-06,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-06.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-07,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-07.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-08,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-08.zip,False,0,404.0,HTTP Error 404: Not Found
