ret16_abs_thr,ret96_abs_thr,resid_z16_abs_thr,min_gap,max_trade_dd,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,max_drawdown_pct,event_count,trade_count,turnover,hard_pass_relaxed
0.04,0.1,2.0,16,-0.3,2349453758140.499,3774017741.589709,3774017741.589709,-31.94397256122524,4187,161,1330.0,True
0.04,0.1,2.0,32,-0.3,1003151325938.4586,3774017741.589709,3774017741.589709,-31.94397256122524,4187,160,1318.0,True
0.04,0.1,2.0,32,-0.4,913691534201.7687,3774017741.589709,3774017741.589709,-34.21602104117872,4187,160,1320.0,True
0.04,0.1,2.0,16,-0.4,2143429827608.3535,3774017741.589709,3774017741.589709,-34.216021041178735,4187,161,1332.0,True
0.04,0.1,2.0,64,-0.3,1534695920156.5056,3497485891.76213,3497485891.76213,-31.94397256122523,4187,158,1306.0,True
0.04,0.1,2.0,64,-0.4,1672905178654.942,3497485891.76213,3497485891.76213,-34.21602104117872,4187,158,1304.0,True
0.04,0.1,2.0,16,-0.2,2956326683483.619,3219244129.251723,3219244129.251723,-25.07099834115335,4187,167,1342.0,True
0.04,0.1,2.0,32,-0.2,2033032662342.7017,3155086772.65177,3155086772.65177,-25.909857637715007,4187,168,1350.0,True
0.04,0.1,2.0,96,-0.3,403038165675.9088,3134063376.9574566,3134063376.9574566,-38.902037765850906,4187,155,1296.0,True
0.04,0.1,2.0,96,-0.2,117083733565.80763,3027127237.811389,3027127237.811389,-38.90203776585089,4187,157,1291.0,True
0.04,0.1,2.0,64,-0.2,1543201820561.6145,2090339652.0242577,2090339652.0242577,-25.070998341153363,4187,165,1332.0,True
0.04,0.1,2.0,96,-0.4,377471469877.43414,1899934671.3399682,1899934671.3399682,-36.19930137968015,4187,154,1278.0,True
0.05,0.12,2.5,32,-0.3,5384055190.339755,43253831.78729521,43253831.78729521,-43.08483232242726,2174,114,952.0,True
0.05,0.12,2.5,32,-0.4,5919531690.067697,32576332.121694148,32576332.121694148,-43.08483232242726,2174,113,936.0,True
0.05,0.12,2.5,16,-0.3,6835635798.593821,30049912.66715313,30049912.66715313,-43.08483232242723,2174,113,952.0,True
0.05,0.12,2.5,16,-0.4,7515480671.465232,30049912.66715313,30049912.66715313,-43.08483232242723,2174,113,944.0,True
0.05,0.12,2.5,96,-0.3,644977384.5481206,27409601.827217434,27409601.827217434,-43.08483232242726,2174,106,892.0,True
0.05,0.12,2.5,96,-0.4,709124252.8852333,27409601.827217434,27409601.827217434,-43.08483232242726,2174,106,884.0,True
0.05,0.12,2.5,32,-0.2,8057209555.690953,22613904.73210823,22613904.73210823,-24.323643996493725,2174,123,1004.0,True
0.05,0.12,2.5,64,-0.3,1389034379.442785,19142669.974245362,19142669.974245362,-43.08483232242726,2174,110,916.0,True
0.05,0.12,2.5,64,-0.4,1344207576.4454207,19142669.974245362,19142669.974245362,-43.08483232242726,2174,110,908.0,True
0.05,0.12,2.5,16,-0.2,8359972645.597175,15686323.023485549,15686323.023485549,-24.323643996493725,2174,123,1015.0,True
0.05,0.12,2.5,64,-0.2,2152039619.656562,11383442.36771772,11383442.36771772,-29.9034722633984,2174,118,961.0,True
0.05,0.12,2.5,96,-0.2,509704780.4040644,10765309.82654637,10765309.82654637,-25.617811225625577,2174,111,911.0,True
0.06,0.15,3.0,16,-0.3,17688410.696189433,2204310.989408509,2204310.989408509,-39.28878328910316,1095,74,619.0,True
0.06,0.15,3.0,32,-0.3,16475659.712069519,2204310.989408509,2204310.989408509,-39.28878328910316,1095,75,627.0,True
0.06,0.15,3.0,16,-0.4,4397543.6265915,2204310.989408509,2204310.989408509,-44.77181620605718,1095,70,582.0,True
0.06,0.15,3.0,32,-0.4,4397543.6265915,2204310.989408509,2204310.989408509,-44.77181620605718,1095,70,582.0,True
0.06,0.15,3.0,64,-0.4,3607956.7911025328,2063639.9172789846,2063639.9172789846,-44.77181620605718,1095,69,574.0,True
0.06,0.15,3.0,64,-0.3,9375959.429464255,2063639.9172789846,2063639.9172789846,-46.38042986263439,1095,72,603.0,True
0.06,0.15,3.0,16,-0.2,30912961.893431645,916919.8625613719,916919.8625613719,-33.062491346260316,1095,83,674.0,True
0.06,0.15,3.0,32,-0.2,19362237.462215573,916919.8625613719,916919.8625613719,-33.062491346260316,1095,83,670.0,True
0.06,0.15,3.0,64,-0.2,6774563.0066627525,783324.493099929,783324.493099929,-33.062491346260316,1095,80,650.0,True
0.06,0.15,3.0,96,-0.3,7040614.894063109,731286.3311252912,731286.3311252912,-39.288783289103144,1095,71,591.0,True
0.06,0.15,3.0,96,-0.4,3607956.7911025328,731286.3311252912,731286.3311252912,-44.77181620605718,1095,69,570.0,True
0.06,0.15,3.0,96,-0.2,3285196.3422900313,368149.0535829604,368149.0535829604,-33.0624913462603,1095,75,602.0,True
