event_index,event_timestamp,month,action,hype_target,btc_target,hold_bars
2982,2025-06-01 01:30:00+00:00,2025-06,hype_reversal,4.0,0.0,192
3205,2025-06-03 09:15:00+00:00,2025-06,hype_reversal,-4.0,0.0,192
3427,2025-06-05 16:45:00+00:00,2025-06,hype_momentum,-4.0,0.0,16
3450,2025-06-05 22:30:00+00:00,2025-06,pair_rv_reversal,-4.0,2.0,96
3548,2025-06-06 23:00:00+00:00,2025-06,hype_reversal,4.0,0.0,192
3744,2025-06-09 00:00:00+00:00,2025-06,hype_reversal,4.0,0.0,192
3962,2025-06-11 06:30:00+00:00,2025-06,hype_reversal,-4.0,0.0,192
4169,2025-06-13 10:15:00+00:00,2025-06,hype_momentum,4.0,0.0,96
4273,2025-06-14 12:15:00+00:00,2025-06,hype_reversal,4.0,0.0,192
4467,2025-06-16 12:45:00+00:00,2025-06,hype_reversal,-4.0,0.0,192
4660,2025-06-18 13:00:00+00:00,2025-06,hype_momentum,-4.0,0.0,96
4761,2025-06-19 14:15:00+00:00,2025-06,hype_momentum,-4.0,0.0,192
4958,2025-06-21 15:30:00+00:00,2025-06,pair_rv_reversal,4.0,-2.0,192
5163,2025-06-23 18:45:00+00:00,2025-06,btc_momentum,0.0,4.0,192
5449,2025-06-26 18:15:00+00:00,2025-06,hype_reversal,4.0,0.0,192
5756,2025-06-29 23:00:00+00:00,2025-06,hype_reversal,-4.0,0.0,192
6545,2025-07-08 04:15:00+00:00,2025-07,hype_reversal,4.0,0.0,192
6791,2025-07-10 17:45:00+00:00,2025-07,hype_momentum,4.0,0.0,96
7133,2025-07-14 07:15:00+00:00,2025-07,btc_reversal,0.0,-4.0,96
7745,2025-07-20 16:15:00+00:00,2025-07,pair_rv_reversal,-4.0,2.0,192
7966,2025-07-22 23:30:00+00:00,2025-07,hype_reversal,-4.0,0.0,192
8179,2025-07-25 04:45:00+00:00,2025-07,hype_reversal,4.0,0.0,96
8427,2025-07-27 18:45:00+00:00,2025-07,hype_momentum,4.0,0.0,96
8528,2025-07-28 20:00:00+00:00,2025-07,hype_momentum,-4.0,0.0,192
8812,2025-07-31 19:00:00+00:00,2025-07,hype_momentum,-4.0,0.0,192
9005,2025-08-02 19:15:00+00:00,2025-08,hype_reversal,4.0,0.0,64
9080,2025-08-03 14:00:00+00:00,2025-08,hype_reversal,4.0,0.0,192
9279,2025-08-05 15:45:00+00:00,2025-08,hype_reversal,4.0,0.0,192
9498,2025-08-07 22:30:00+00:00,2025-08,hype_momentum,4.0,0.0,192
9766,2025-08-10 17:30:00+00:00,2025-08,pair_rv_reversal,-4.0,2.0,96
9990,2025-08-13 01:30:00+00:00,2025-08,hype_reversal,4.0,0.0,96
10097,2025-08-14 04:15:00+00:00,2025-08,hype_reversal,-4.0,0.0,64
10162,2025-08-14 20:30:00+00:00,2025-08,hype_momentum,4.0,0.0,32
10195,2025-08-15 04:45:00+00:00,2025-08,hype_reversal,-4.0,0.0,64
10265,2025-08-15 22:15:00+00:00,2025-08,hype_reversal,-4.0,0.0,96
10473,2025-08-18 02:15:00+00:00,2025-08,hype_momentum,-4.0,0.0,192
10727,2025-08-20 17:45:00+00:00,2025-08,hype_momentum,4.0,0.0,192
10940,2025-08-22 23:00:00+00:00,2025-08,hype_reversal,-4.0,0.0,32
11110,2025-08-24 17:30:00+00:00,2025-08,btc_momentum,0.0,-4.0,192
11303,2025-08-26 17:45:00+00:00,2025-08,hype_momentum,4.0,0.0,96
11407,2025-08-27 19:45:00+00:00,2025-08,hype_momentum,-4.0,0.0,192
12494,2025-09-08 03:30:00+00:00,2025-09,hype_momentum,4.0,0.0,192
12813,2025-09-11 11:15:00+00:00,2025-09,hype_reversal,4.0,0.0,64
13028,2025-09-13 17:00:00+00:00,2025-09,hype_momentum,-4.0,0.0,192
13431,2025-09-17 21:45:00+00:00,2025-09,hype_momentum,4.0,0.0,16
13552,2025-09-19 04:00:00+00:00,2025-09,hype_momentum,-4.0,0.0,192
13771,2025-09-21 10:45:00+00:00,2025-09,hype_momentum,-4.0,0.0,192
13992,2025-09-23 18:00:00+00:00,2025-09,hype_momentum,-4.0,0.0,192
14185,2025-09-25 18:15:00+00:00,2025-09,hype_reversal,4.0,0.0,192
14448,2025-09-28 12:00:00+00:00,2025-09,hype_reversal,4.0,0.0,64
14542,2025-09-29 11:30:00+00:00,2025-09,btc_momentum,0.0,4.0,192
14735,2025-10-01 11:45:00+00:00,2025-10,hype_momentum,4.0,0.0,96
15116,2025-10-05 11:00:00+00:00,2025-10,hype_momentum,-4.0,0.0,192
15340,2025-10-07 19:00:00+00:00,2025-10,hype_reversal,4.0,0.0,96
15523,2025-10-09 16:45:00+00:00,2025-10,btc_momentum,0.0,-4.0,192
15716,2025-10-11 17:00:00+00:00,2025-10,hype_momentum,-4.0,0.0,16
15735,2025-10-11 21:45:00+00:00,2025-10,hype_reversal,4.0,0.0,192
15928,2025-10-13 22:00:00+00:00,2025-10,hype_reversal,-4.0,0.0,192
16123,2025-10-15 22:45:00+00:00,2025-10,hype_momentum,-4.0,0.0,192
16354,2025-10-18 08:30:00+00:00,2025-10,hype_momentum,4.0,0.0,192
16626,2025-10-21 04:30:00+00:00,2025-10,hype_momentum,-4.0,0.0,96
16803,2025-10-23 00:45:00+00:00,2025-10,hype_momentum,4.0,0.0,96
17065,2025-10-25 18:15:00+00:00,2025-10,hype_momentum,4.0,0.0,96
17162,2025-10-26 18:30:00+00:00,2025-10,pair_rv_reversal,-4.0,2.0,96
17273,2025-10-27 22:15:00+00:00,2025-10,hype_reversal,-4.0,0.0,32
17333,2025-10-28 13:15:00+00:00,2025-10,hype_reversal,-4.0,0.0,192
17526,2025-10-30 13:30:00+00:00,2025-10,hype_momentum,-4.0,0.0,192
17871,2025-11-03 03:45:00+00:00,2025-11,btc_momentum,0.0,-4.0,192
18066,2025-11-05 04:30:00+00:00,2025-11,hype_reversal,-4.0,0.0,192
18271,2025-11-07 07:45:00+00:00,2025-11,hype_momentum,4.0,0.0,64
18342,2025-11-08 01:30:00+00:00,2025-11,hype_reversal,-4.0,0.0,96
18507,2025-11-09 18:45:00+00:00,2025-11,hype_reversal,-4.0,0.0,192
18783,2025-11-12 15:45:00+00:00,2025-11,btc_momentum,0.0,-4.0,192
18977,2025-11-14 16:15:00+00:00,2025-11,btc_reversal,0.0,-4.0,192
19263,2025-11-17 15:45:00+00:00,2025-11,pair_rv_reversal,4.0,-2.0,64
19353,2025-11-18 14:15:00+00:00,2025-11,hype_reversal,-4.0,0.0,96
19554,2025-11-20 16:30:00+00:00,2025-11,hype_momentum,-4.0,0.0,192
19747,2025-11-22 16:45:00+00:00,2025-11,hype_momentum,-4.0,0.0,16
19764,2025-11-22 21:00:00+00:00,2025-11,hype_reversal,3.0,0.0,192
19965,2025-11-24 23:15:00+00:00,2025-11,hype_reversal,-4.0,0.0,32
20007,2025-11-25 09:45:00+00:00,2025-11,hype_reversal,-4.0,0.0,16
20060,2025-11-25 23:00:00+00:00,2025-11,hype_momentum,4.0,0.0,96
20301,2025-11-28 11:15:00+00:00,2025-11,hype_reversal,-4.0,0.0,192
20540,2025-11-30 23:00:00+00:00,2025-11,hype_momentum,-4.0,0.0,64
20605,2025-12-01 15:15:00+00:00,2025-12,hype_reversal,4.0,0.0,192
20913,2025-12-04 20:15:00+00:00,2025-12,hype_momentum,-4.0,0.0,192
21156,2025-12-07 09:00:00+00:00,2025-12,hype_momentum,-4.0,0.0,192
21354,2025-12-09 10:30:00+00:00,2025-12,hype_reversal,4.0,0.0,96
21573,2025-12-11 17:15:00+00:00,2025-12,hype_momentum,4.0,0.0,96
21684,2025-12-12 21:00:00+00:00,2025-12,hype_reversal,4.0,0.0,64
21749,2025-12-13 13:15:00+00:00,2025-12,hype_reversal,-4.0,0.0,32
21949,2025-12-15 15:15:00+00:00,2025-12,hype_momentum,-4.0,0.0,64
22014,2025-12-16 07:30:00+00:00,2025-12,hype_momentum,-4.0,0.0,192
22207,2025-12-18 07:45:00+00:00,2025-12,hype_momentum,-4.0,0.0,64
22277,2025-12-19 01:15:00+00:00,2025-12,hype_reversal,4.0,0.0,96
22461,2025-12-20 23:15:00+00:00,2025-12,hype_reversal,4.0,0.0,192
23039,2025-12-26 23:45:00+00:00,2025-12,pair_rv_reversal,-4.0,2.0,192
23236,2025-12-29 01:00:00+00:00,2025-12,btc_momentum,0.0,4.0,16
23353,2025-12-30 06:15:00+00:00,2025-12,pair_rv_reversal,-4.0,2.0,32
23582,2026-01-01 15:30:00+00:00,2026-01,btc_momentum,0.0,4.0,192
23871,2026-01-04 15:45:00+00:00,2026-01,hype_momentum,4.0,0.0,192
24095,2026-01-06 23:45:00+00:00,2026-01,hype_reversal,-4.0,0.0,192
24394,2026-01-10 02:30:00+00:00,2026-01,hype_reversal,4.0,0.0,192
24620,2026-01-12 11:00:00+00:00,2026-01,hype_reversal,4.0,0.0,192
24879,2026-01-15 03:45:00+00:00,2026-01,hype_reversal,4.0,0.0,32
25231,2026-01-18 19:45:00+00:00,2026-01,hype_momentum,-4.0,0.0,192
25424,2026-01-20 20:00:00+00:00,2026-01,hype_momentum,-4.0,0.0,64
25503,2026-01-21 15:45:00+00:00,2026-01,hype_momentum,4.0,0.0,192
25696,2026-01-23 16:00:00+00:00,2026-01,hype_momentum,4.0,0.0,96
25901,2026-01-25 19:15:00+00:00,2026-01,hype_reversal,4.0,0.0,192
26094,2026-01-27 19:30:00+00:00,2026-01,hype_momentum,4.0,0.0,64
26159,2026-01-28 11:45:00+00:00,2026-01,hype_reversal,-4.0,0.0,192
26352,2026-01-30 12:00:00+00:00,2026-01,btc_reversal,0.0,-4.0,192
26551,2026-02-01 13:45:00+00:00,2026-02,hype_reversal,4.0,0.0,192
26744,2026-02-03 14:00:00+00:00,2026-02,btc_momentum,0.0,-4.0,192
26937,2026-02-05 14:15:00+00:00,2026-02,pair_rv_reversal,4.0,-2.0,64
27003,2026-02-06 06:45:00+00:00,2026-02,btc_reversal,0.0,4.0,64
27078,2026-02-07 01:30:00+00:00,2026-02,pair_rv_reversal,4.0,-2.0,32
27138,2026-02-07 16:30:00+00:00,2026-02,btc_momentum,0.0,4.0,96
