event_index,event_timestamp,month,action,hype_target,btc_target,hold_bars,trained_rows,trained_labels
8856,2025-08-01 06:00:00+00:00,2025-08,hype_reversal,4.0,0.0,192,25,12
9064,2025-08-03 10:00:00+00:00,2025-08,btc_momentum,0.0,4.0,192,25,12
9263,2025-08-05 11:45:00+00:00,2025-08,btc_momentum,0.0,4.0,192,25,12
9498,2025-08-07 22:30:00+00:00,2025-08,hype_momentum,4.0,0.0,96,25,12
9629,2025-08-09 07:15:00+00:00,2025-08,hype_momentum,4.0,0.0,96,25,12
9766,2025-08-10 17:30:00+00:00,2025-08,hype_momentum,4.0,0.0,96,25,12
9990,2025-08-13 01:30:00+00:00,2025-08,hype_reversal,4.0,0.0,192,25,12
10183,2025-08-15 01:45:00+00:00,2025-08,hype_momentum,4.0,0.0,96,25,12
10473,2025-08-18 02:15:00+00:00,2025-08,hype_momentum,-4.0,0.0,192,25,12
10727,2025-08-20 17:45:00+00:00,2025-08,hype_reversal,-4.0,0.0,192,25,12
10940,2025-08-22 23:00:00+00:00,2025-08,hype_reversal,-4.0,0.0,192,25,12
11145,2025-08-25 02:15:00+00:00,2025-08,hype_reversal,-4.0,0.0,192,25,12
11338,2025-08-27 02:30:00+00:00,2025-08,hype_reversal,-4.0,0.0,192,25,12
11556,2025-08-29 09:00:00+00:00,2025-08,hype_momentum,-4.0,0.0,192,25,12
12494,2025-09-08 03:30:00+00:00,2025-09,btc_momentum,0.0,-4.0,192,41,19
12813,2025-09-11 11:15:00+00:00,2025-09,hype_reversal,4.0,0.0,192,41,19
13028,2025-09-13 17:00:00+00:00,2025-09,hype_momentum,-4.0,0.0,16,41,19
13431,2025-09-17 21:45:00+00:00,2025-09,btc_momentum,0.0,4.0,192,41,19
13771,2025-09-21 10:45:00+00:00,2025-09,hype_momentum,-4.0,0.0,192,41,19
13992,2025-09-23 18:00:00+00:00,2025-09,hype_momentum,-4.0,0.0,192,41,19
14185,2025-09-25 18:15:00+00:00,2025-09,btc_momentum,0.0,-4.0,192,41,19
14448,2025-09-28 12:00:00+00:00,2025-09,hype_momentum,-4.0,0.0,192,41,19
