event_index,start,end,hype_target,btc_target,month,action,hold_bars,scaled_hype_target,scaled_btc_target,exit_index,entry_timestamp,exit_timestamp,exit_reason,trade_log_return,trade_return_pct
8856,8857,9049,4.0,0.0,2025-08,hype_reversal,192,3.2,0.0,8887,2025-08-01 06:15:00+00:00,2025-08-01 13:45:00+00:00,trailing_stop,-0.15386601741352426,-14.261311177092251
9064,9065,9257,0.0,4.0,2025-08,btc_momentum,192,0.0,3.2,9256,2025-08-03 10:15:00+00:00,2025-08-05 10:00:00+00:00,time,0.017914126209226305,1.8075546629402028
9263,9264,9456,0.0,4.0,2025-08,btc_momentum,192,0.0,3.2,9455,2025-08-05 12:00:00+00:00,2025-08-07 11:45:00+00:00,time,0.04029223873952865,4.111498386988743
9498,9499,9595,4.0,0.0,2025-08,hype_momentum,96,3.2,0.0,9594,2025-08-07 22:45:00+00:00,2025-08-08 22:30:00+00:00,time,0.049748670177095236,5.100691379741784
9629,9630,9726,4.0,0.0,2025-08,hype_momentum,96,3.2,0.0,9725,2025-08-09 07:30:00+00:00,2025-08-10 07:15:00+00:00,time,0.08800783274324694,9.199667532428379
9766,9767,9863,4.0,0.0,2025-08,hype_momentum,96,3.2,0.0,9837,2025-08-10 17:45:00+00:00,2025-08-11 11:15:00+00:00,trailing_stop,-0.012359165488323366,-1.228310467439686
9990,9991,10183,4.0,0.0,2025-08,hype_reversal,192,3.2,0.0,10009,2025-08-13 01:45:00+00:00,2025-08-13 06:15:00+00:00,trailing_stop,-0.04615754157624386,-4.510848477425078
10183,10184,10280,4.0,0.0,2025-08,hype_momentum,96,3.2,0.0,10225,2025-08-15 02:00:00+00:00,2025-08-15 12:15:00+00:00,trailing_stop,0.04074485239457434,4.158631338510044
10473,10474,10666,-4.0,0.0,2025-08,hype_momentum,192,-3.2,0.0,10573,2025-08-18 02:30:00+00:00,2025-08-19 03:15:00+00:00,take_profit,0.1791239528974403,19.616900359292465
10727,10728,10920,-4.0,0.0,2025-08,hype_reversal,192,-3.2,0.0,10868,2025-08-20 18:00:00+00:00,2025-08-22 05:00:00+00:00,trailing_stop,0.051278287418975665,5.261578225687269
10940,10941,11133,-4.0,0.0,2025-08,hype_reversal,192,-3.2,0.0,11039,2025-08-22 23:15:00+00:00,2025-08-23 23:45:00+00:00,trailing_stop,0.010867954363803617,1.0927225102455917
11145,11146,11338,-4.0,0.0,2025-08,hype_reversal,192,-3.2,0.0,11166,2025-08-25 02:30:00+00:00,2025-08-25 07:30:00+00:00,take_profit,0.19478897193751987,21.505454882566433
11338,11339,11531,-4.0,0.0,2025-08,hype_reversal,192,-3.2,0.0,11385,2025-08-27 02:45:00+00:00,2025-08-27 14:15:00+00:00,trailing_stop,-0.0676434363839689,-6.540634373313048
11556,11557,11749,-4.0,0.0,2025-08,hype_momentum,192,-3.2,0.0,11571,2025-08-29 09:15:00+00:00,2025-08-29 12:45:00+00:00,trailing_stop,-0.11732317577958323,-11.070225277461066
