event_index,start,end,hype_target,btc_target,month,action,hold_bars,policy,scaled_hype_target,scaled_btc_target,exit_index,entry_timestamp,exit_timestamp,exit_reason,trade_log_return,trade_return_pct
2976,2977,3041,4.0,0.0,2026-06,hype_momentum,64,strategy_47_best,3.2,0.0,3032,2026-06-01 00:15:00+00:00,2026-06-01 14:00:00+00:00,trailing_stop,-0.06837400381217924,-6.608887806797692
3074,3075,3267,4.0,0.0,2026-06,hype_momentum,192,strategy_47_best,3.2,0.0,3095,2026-06-02 00:45:00+00:00,2026-06-02 05:45:00+00:00,trailing_stop,-0.08287418788747343,-7.9533054173496325
3267,3268,3460,4.0,0.0,2026-06,hype_momentum,192,strategy_47_best,3.2,0.0,3272,2026-06-04 01:00:00+00:00,2026-06-04 02:00:00+00:00,trailing_stop,-0.12239785074840638,-11.520371839457045
3464,3465,3657,4.0,0.0,2026-06,hype_reversal,192,strategy_47_best,3.2,0.0,3497,2026-06-06 02:15:00+00:00,2026-06-06 10:15:00+00:00,trailing_stop,-0.03537076616664364,-3.4752531199605863
3659,3660,3852,4.0,0.0,2026-06,hype_momentum,192,strategy_47_best,3.2,0.0,3710,2026-06-08 03:00:00+00:00,2026-06-08 15:30:00+00:00,take_profit,0.19003572268586988,20.929279607234385
3852,3853,4045,0.0,-4.0,2026-06,btc_momentum,192,strategy_47_best,0.0,-3.2,3979,2026-06-10 03:15:00+00:00,2026-06-11 10:45:00+00:00,trailing_stop,-0.0947200686897109,-9.03724679414255
4058,4059,4251,0.0,4.0,2026-06,btc_reversal,192,strategy_47_best,0.0,3.2,4250,2026-06-12 06:45:00+00:00,2026-06-14 06:30:00+00:00,time,0.05965159372193481,6.146666046532201
4310,4311,4503,-4.0,0.0,2026-06,hype_reversal,192,strategy_47_best,-3.2,0.0,4330,2026-06-14 21:45:00+00:00,2026-06-15 02:30:00+00:00,trailing_stop,-0.1068374894366477,-10.13282952308584
4507,4508,4700,-4.0,0.0,2026-06,hype_reversal,192,strategy_47_best,-3.2,0.0,4573,2026-06-16 23:00:00+00:00,2026-06-17 15:15:00+00:00,trailing_stop,0.028143812369928172,2.854359107717408
4768,4769,4961,4.0,0.0,2026-06,hype_momentum,192,strategy_47_best,3.2,0.0,4805,2026-06-19 16:15:00+00:00,2026-06-20 01:15:00+00:00,trailing_stop,-0.07959426568190842,-7.650903763990469
