month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
2025-01,-0.10606158619002544,0.9999000049998333,0.8993692576442948,-0.7574470218934442,810.2,107,-10.063074235570557,-75.74470218934441
2025-02,-1.2207170784301808,0.8926301241122134,0.2653306049739556,-0.918318612236402,636.0,87,-70.49814603748719,-91.8318612236402
2025-03,-0.01102982083705311,0.2652642806136026,0.2624201364183661,-0.9159558066206663,761.0,97,-1.096921539026785,-91.59558066206664
2025-04,-0.24836305613728787,0.26040182482098434,0.20470782884395972,-0.9238313466142807,816.0,108,-21.992331976536185,-92.38313466142807
2025-05,-0.9390387508399822,0.20300209065000518,0.08004147889930181,-0.9710158925849666,332.0,46,-60.89964934349719,-97.10158925849666
2025-06,-0.27001253528320057,0.07932644418323596,0.06110125776175228,-0.9791004588274249,384.0,54,-23.663007478132194,-97.9100458827425
2025-07,-0.38040598329838987,0.06024042011448852,0.041767831752893794,-0.9836396863376304,336.0,48,-31.64161707479711,-98.36396863376305
2025-08,0.35422542981007177,0.04308752016588502,0.05952235151804485,-0.9848631110189061,256.0,38,42.507640497572716,-98.4863111018906
2025-09,-0.11129121647480639,0.058296539625734244,0.0532533482901638,-0.9823872484565354,192.0,30,-10.53218340337322,-98.23872484565354
2025-10,-0.19561603529603616,0.052846602660643206,0.04379171507734,-0.9841436594241055,559.5,74,-17.76720810355372,-98.41436594241056
2025-11,-2.523011372513996,0.043386296784807564,0.0035128696708467307,-0.9985055970135398,816.0,108,-91.97823226461286,-99.85055970135399
2025-12,-2.3570146065667155,0.003066077239796442,0.0003326776309629428,-0.999862349322531,607.8,80,-90.52974741067597,-99.9862349322531
2026-01,0.5366636686357004,0.0003297515428650917,0.0005689756361783513,-0.9999031554228232,468.4,64,71.0291234584783,-99.99031554228232
2026-02,0.30853678850184924,0.0005312772075128222,0.0007746214071131726,-0.9998337678755791,606.0,54,36.14315936550294,-99.98337678755792
2026-03,-0.5831361170789757,0.0007696638505112705,0.0004323512281173406,-0.999846799373106,688.0,92,-44.18547897758113,-99.9846799373106
2026-04,-1.069754055630093,0.0004204938172461348,0.00014833663183416433,-0.9999400537527493,400.2,58,-65.69071111926954,-99.99400537527492
2026-05,0.10765300889145772,0.00015026820534755618,0.0001651967585004843,-0.9999459477010775,256.0,38,11.366124778382058,-99.99459477010775
2026-06,0.581372598887193,0.0001675147718914727,0.00029545301960959654,-0.9999363726519618,118.5,18,78.84916283555987,-99.99363726519618
