variant_id,keep_quota_mode,cost_per_side,round_trip_cost,extra_delay_bars,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders,strong_trend_reverse_active_bars,strong_trend_reverse_big_active_bars,weak_trend_order_events,weak_trend_big_order_events,adverse_shock_cut_events,guard_reason_counts
no_lock_keep_quota,True,0.001,0.002,0,False,-99.96673223690371,-11.189394142791064,-99.96673223690371,-91.97823226461286,13,18,-99.97045469803903,-99.99459477010775,98.2165109034268,9043.599999999999,1201,7,7,506,0,230,"{'main': 48889, 'strong_conflict_small_trend': 1037, 'strong_conflict_flat': 700, 'weak_new_order_small': 275, 'adverse_shock_cut': 230, 'shock_cooldown_small': 229}"
no_lock_keep_quota,True,0.001,0.002,1,False,-99.96306974675866,4.499228282487877,-99.96306974675866,-93.34511348361247,12,20,-99.96140817036003,-99.99304946830556,98.22040498442368,8929.599999999999,1211,7,7,510,0,222,"{'main': 48899, 'strong_conflict_small_trend': 1038, 'strong_conflict_flat': 700, 'weak_new_order_small': 282, 'adverse_shock_cut': 222, 'shock_cooldown_small': 219}"
no_lock_keep_quota,True,0.001,0.002,2,False,-99.93850451412885,-9.364827399411613,-99.93850451412885,-92.7377307919162,11,20,-99.94426346023913,-99.99105254380689,98.22429906542057,8998.4,1267,6,6,525,0,220,"{'main': 48883, 'strong_conflict_small_trend': 1039, 'strong_conflict_flat': 700, 'weak_new_order_small': 299, 'adverse_shock_cut': 220, 'shock_cooldown_small': 219}"
no_lock_keep_quota,True,0.0015,0.003,0,False,-99.99855572583634,-68.38104249530443,-99.99855572583634,-94.66569388514854,14,18,-99.99954333556595,-99.99989598481332,98.2165109034268,9106.8,1201,7,7,506,0,234,"{'main': 48881, 'strong_conflict_small_trend': 1037, 'strong_conflict_flat': 700, 'weak_new_order_small': 275, 'adverse_shock_cut': 234, 'shock_cooldown_small': 233}"
no_lock_keep_quota,True,0.0015,0.003,1,False,-99.99798710545623,-60.81162107351914,-99.99798710545623,-95.57464102564231,14,20,-99.9992111792588,-99.99983417545421,98.22040498442368,9123.599999999999,1211,7,7,510,0,232,"{'main': 48879, 'strong_conflict_small_trend': 1038, 'strong_conflict_flat': 700, 'weak_new_order_small': 282, 'adverse_shock_cut': 232, 'shock_cooldown_small': 229}"
no_lock_keep_quota,True,0.0015,0.003,2,False,-99.99760123054851,-70.48301758302391,-99.99760123054851,-95.13438878402484,13,20,-99.99929195564278,-99.99982099653243,98.22429906542057,9190.8,1267,6,6,525,0,228,"{'main': 48867, 'strong_conflict_small_trend': 1039, 'strong_conflict_flat': 700, 'weak_new_order_small': 299, 'adverse_shock_cut': 228, 'shock_cooldown_small': 227}"
no_lock_keep_quota,True,0.002,0.004,0,False,-99.99995574914652,-91.53091922043896,-99.99995574914652,-96.45279910045059,15,18,-99.99999625235948,-99.99999868668851,98.2165109034268,9140.599999999999,1201,7,7,506,0,235,"{'main': 48879, 'strong_conflict_small_trend': 1037, 'strong_conflict_flat': 700, 'weak_new_order_small': 275, 'adverse_shock_cut': 235, 'shock_cooldown_small': 234}"
no_lock_keep_quota,True,0.002,0.004,1,False,-99.99994173897218,-90.23577044239033,-99.99994173897218,-97.05722975084497,15,20,-99.9999943112595,-99.99999814265564,98.22040498442368,9157.4,1211,7,7,510,0,233,"{'main': 48877, 'strong_conflict_small_trend': 1038, 'strong_conflict_flat': 700, 'weak_new_order_small': 282, 'adverse_shock_cut': 233, 'shock_cooldown_small': 230}"
no_lock_keep_quota,True,0.002,0.004,2,False,-99.99989659784812,-90.483448148476,-99.99989659784812,-96.7401136164615,15,20,-99.99999015968059,-99.99999696818385,98.22429906542057,9246.4,1267,6,6,525,0,230,"{'main': 48863, 'strong_conflict_small_trend': 1039, 'strong_conflict_flat': 700, 'weak_new_order_small': 299, 'adverse_shock_cut': 230, 'shock_cooldown_small': 229}"
no_lock_no_quota,False,0.001,0.002,0,False,-99.98207883882581,131.37663632032792,-99.98207883882581,-89.47666077759662,13,22,-99.95853462008564,-99.99582705612754,98.2165109034268,11343.1,1205,8,7,506,0,328,"{'main': 48698, 'strong_conflict_small_trend': 1035, 'strong_conflict_flat': 700, 'adverse_shock_cut': 328, 'shock_cooldown_small': 327, 'weak_new_order_small': 272}"
