variant_id,year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
lock_after_10_orders,2025,1.524087615677475,359.0952944375251,12,0,5.575755909827906,11,156,-29.40311707059141
lock_after_10_orders,2026,1.2825764439683385,260.5918213916581,6,0,11.565887551519282,11,72,-29.252496952297058
lock_after_20_orders,2025,-1.8574407640048614,-84.39284563940781,12,3,-87.98113844227868,20,417,-93.54229088117843
lock_after_20_orders,2026,1.7238746691612632,460.6208639125422,6,0,2.2760141415999247,19,130,-95.45665796461982
lock_after_30_orders,2025,-5.9083392099894425,-99.72833049972436,12,5,-92.00826432349771,30,589,-99.88759240994852
lock_after_30_orders,2026,0.5728243857791069,77.32683792623689,6,1,-64.48846528138903,19,204,-99.92091527822333
lock_after_50_orders,2025,-6.259530927690011,-99.80878574805891,12,7,-92.00826432349771,30,701,-99.92088205255875
lock_after_50_orders,2026,0.8534290094956705,134.76832938411368,6,1,-64.48846528138903,18,274,-99.94433631342807
lock_after_100_orders,2025,-7.6652720794502205,-99.95311708208622,12,10,-91.97823226461286,30,871,-99.98060144472632
lock_after_100_orders,2026,-0.11866410779286862,-11.189394142791064,6,2,-65.69071111926954,18,324,-99.99238262733175
no_monthly_lock,2025,-8.008336612057603,-99.96673223690371,12,11,-91.97823226461286,30,877,-99.9862349322531
no_monthly_lock,2026,-0.11866410779286862,-11.189394142791064,6,2,-65.69071111926954,18,324,-99.99459477010775
