phase,guard_reason,bars,log_return,orders,turnover,return_pct
after_10_order_area,main,36650,14.984077638488403,154,4650.7,321737808.87377125
after_10_order_area,strong_conflict_flat,700,-0.1342402533472149,16,128.0,-12.562003334774918
after_10_order_area,adverse_shock_cut,215,-20.378291826095015,215,1720.0,-99.99999985880467
after_10_order_area,shock_cooldown_small,214,-0.021400000000000002,214,21.400000000000002,-2.117264468929503
after_10_order_area,weak_new_order_small,210,-4.771065235115062,420,1669.3999999999999,-99.15286486290368
first_10_order_area,main,12239,4.231519723427815,46,505.2,6782.174275495049
first_10_order_area,strong_conflict_small_trend,1037,-0.06963838111728068,3,58.0,-6.7268947911555355
first_10_order_area,weak_new_order_small,65,-0.4256216664786737,129,172.0,-34.66365153255657
first_10_order_area,adverse_shock_cut,15,-1.5436646491886659,2,118.7,-78.64030923273083
first_10_order_area,shock_cooldown_small,15,0.0013239295752758818,2,0.2,0.13248063569257784
