variant_id,year,gross_log_return_before_cost,cost_log,net_log_return,turnover,orders,exposure_pct,gross_return_before_cost_pct,net_return_pct
base_1x_zero_cost_no_lock,2024,0.13326688058989689,0.0,0.13326688058989689,773.0,773,99.79223588342441,14.255488336639788,14.255488336639788
base_1x_zero_cost_no_lock,2025,-0.050279609147581894,0.0,-0.050279609147581894,622.0,622,100.0,-4.903651076712611,-4.903651076712611
base_1x_zero_cost_no_lock,2026,0.6955236995895131,0.0,0.6955236995895131,286.0,286,100.0,100.47586903785617,100.47586903785617
base_1x_cost_no_lock,2024,0.13326688058989689,0.773,-0.6397331194101031,773.0,773,99.79223588342441,14.255488336639788,-47.256683306383685
base_1x_cost_no_lock,2025,-0.050279609147581894,0.622,-0.6722796091475819,622.0,622,100.0,-4.903651076712611,-48.945658920103696
base_1x_cost_no_lock,2026,0.6955236995895131,0.28600000000000003,0.40952369958951307,286.0,286,100.0,100.47586903785617,50.61002580760514
base_8x_zero_cost_no_lock,2024,1.066135044719175,0.0,1.066135044719175,6184.0,773,99.79223588342441,190.41334353507443,190.41334353507443
base_8x_zero_cost_no_lock,2025,-0.40223687318065515,0.0,-0.40223687318065515,4976.0,622,100.0,-33.11776991402756,-33.11776991402756
base_8x_zero_cost_no_lock,2026,5.564189596716105,0.0,5.564189596716105,2288.0,286,100.0,25991.3672711459,25991.3672711459
base_8x_cost_no_lock,2024,1.066135044719175,6.184,-5.117864955280825,6184.0,773,99.79223588342441,190.41334353507443,-99.40112043985727
base_8x_cost_no_lock,2025,-0.40223687318065515,4.976,-5.378236873180655,4976.0,622,100.0,-33.11776991402756,-99.53840467293979
base_8x_cost_no_lock,2026,5.564189596716105,2.2880000000000003,3.2761895967161045,2288.0,286,100.0,25991.3672711459,2547.4700972616824
strategy_2c_guards_no_lock_keep_quota,2025,-1.5018366120575597,6.5065,-8.00833661205756,6506.5,877,97.71118721461187,-77.72792672993222,-99.9667322369037
strategy_2c_guards_no_lock_keep_quota,2026,2.41843589220714,2.5371,-0.11866410779286042,2537.1,324,99.30147058823529,1022.828332764254,-11.189394142790343
strategy_2c_guards_no_lock_no_quota,2025,-0.9792432618564436,7.6477,-8.626943261856445,7647.7,877,97.71118721461187,-62.4404781435846,-99.98207883882581
strategy_2c_guards_no_lock_no_quota,2026,4.534276657037585,3.6954000000000002,0.8388766570375853,3695.4,328,99.30147058823529,9215.610711325635,131.37663632033113
