leverage,hold_bars,action,event_set,candidate_id,month,log_return,turnover,orders,max_drawdown_pct,return_pct
2.0,96,hype_momentum,strict,strict_hype_momentum_hold96_lev2p0,2025-06,0.5298597127276659,56.0,28,-32.59857951152446,69.86939867562472
2.0,96,hype_momentum,loose,loose_hype_momentum_hold96_lev2p0,2025-07,0.193837085179224,50.0,25,-21.060167298432575,21.389850478882533
2.0,96,hype_reversal,strict,strict_hype_reversal_hold96_lev2p0,2025-08,0.42255044167021333,46.0,23,-54.39933113175353,52.58481839932316
2.0,96,hype_momentum,loose,loose_hype_momentum_hold96_lev2p0,2025-09,0.47390509794648344,58.0,29,-38.284568233781435,60.62545429393511
2.0,64,hype_momentum,strict,strict_hype_momentum_hold64_lev2p0,2025-10,0.6383220201106419,60.0,30,-69.33816377868266,89.33012909176523
2.0,96,btc_momentum,loose,loose_btc_momentum_hold96_lev2p0,2025-11,0.39133875850817323,76.0,34,-36.835244182096424,47.895943865510034
2.0,96,hype_momentum,loose,loose_hype_momentum_hold96_lev2p0,2025-12,0.568768591672132,66.0,32,-25.948918793188692,76.60909327810035
2.0,96,hype_momentum,strict,strict_hype_momentum_hold96_lev2p0,2026-01,1.023798889346035,38.0,18,-40.65708727265452,178.3749860134924
2.0,64,hype_reversal,loose,loose_hype_reversal_hold64_lev2p0,2026-02,1.2360304012470986,80.0,34,-60.29074047476466,244.1923256157143
2.0,96,btc_reversal,loose,loose_btc_reversal_hold96_lev2p0,2026-03,0.21820204526723802,62.0,30,-64.78549796265763,24.383835388521845
2.0,96,hype_reversal,loose,loose_hype_reversal_hold96_lev2p0,2026-04,0.15433400607765813,34.0,17,-89.13502645579563,16.68805668982978
2.0,64,hype_momentum,strict,strict_hype_momentum_hold64_lev2p0,2026-05,0.8932850585310792,62.0,31,-64.22162746765643,144.31423486091472
2.0,32,hype_reversal,strict,strict_hype_reversal_hold32_lev2p0,2026-06,0.4580453269040952,98.0,47,-91.10312566348023,58.098066239622035
