leverage,hold_bars,action,event_set,candidate_id,month,log_return,turnover,orders,max_drawdown_pct,return_pct
2.0,96,hype_momentum,strict,strict_hype_momentum_hold96_lev2p0,2025-06,0.5298597127276659,56.0,28,-32.59857951152446,69.86939867562472
2.0,96,hype_momentum,loose,loose_hype_momentum_hold96_lev2p0,2025-07,0.193837085179224,50.0,25,-21.060167298432575,21.389850478882533
2.0,64,hype_reversal,strict,strict_hype_reversal_hold64_lev2p0,2025-08,0.30795329551596967,66.0,33,-27.262287450900967,36.063743958357364
2.0,96,hype_momentum,loose,loose_hype_momentum_hold96_lev2p0,2025-09,0.47390509794648344,58.0,29,-38.284568233781435,60.62545429393511
2.0,16,hype_reversal,loose,loose_hype_reversal_hold16_lev2p0,2025-10,0.41895390905486696,210.0,98,-39.72403284431346,52.037027787219344
2.0,96,btc_momentum,loose,loose_btc_momentum_hold96_lev2p0,2025-11,0.39133875850817323,76.0,34,-36.835244182096424,47.895943865510034
2.0,96,hype_momentum,loose,loose_hype_momentum_hold96_lev2p0,2025-12,0.568768591672132,66.0,32,-25.948918793188692,76.60909327810035
2.0,96,hype_momentum,strict,strict_hype_momentum_hold96_lev2p0,2026-01,1.023798889346035,38.0,18,-40.65708727265452,178.3749860134924
1.0,64,hype_reversal,loose,loose_hype_reversal_hold64_lev1p0,2026-02,0.6180152006235493,40.0,34,-36.98471651635982,85.52421017638487
1.0,96,btc_reversal,loose,loose_btc_reversal_hold96_lev1p0,2026-03,0.10910102263361901,31.0,30,-40.65819177229061,11.52750126696187
2.0,32,btc_momentum,loose,loose_btc_momentum_hold32_lev2p0,2026-04,0.06887732682269011,48.0,24,-30.7908084374929,7.1304780725820915
1.0,64,hype_momentum,strict,strict_hype_momentum_hold64_lev1p0,2026-05,0.4466425292655396,31.0,31,-40.18497468666959,56.30554528260176
1.0,32,hype_reversal,loose,loose_hype_reversal_hold32_lev1p0,2026-06,0.17378222656389597,71.0,69,-36.098991119357784,18.97964315479439
