month,event_index,event_timestamp,action,btc_target,hype_target,hold_bars,leverage,trained_rows,trained_actions
2025-07,2883,2025-07-01 00:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,25,3
2025-07,2957,2025-07-01 19:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,25,3
2025-07,3569,2025-07-08 04:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,25,3
2025-07,3726,2025-07-09 19:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,25,3
2025-07,3815,2025-07-10 17:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,25,3
2025-07,3880,2025-07-11 10:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,25,3
2025-07,4157,2025-07-14 07:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,25,3
2025-07,4243,2025-07-15 04:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,25,3
2025-07,4769,2025-07-20 16:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,25,3
2025-07,4870,2025-07-21 17:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,25,3
2025-07,4990,2025-07-22 23:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,25,3
2025-07,5111,2025-07-24 05:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,25,3
2025-07,5203,2025-07-25 04:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,25,3
2025-07,5451,2025-07-27 18:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,25,3
2025-07,5526,2025-07-28 13:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,25,3
2025-07,5605,2025-07-29 09:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,25,3
2025-07,5836,2025-07-31 19:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,25,3
2025-08,5880,2025-08-01 06:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,38,4
2025-08,5945,2025-08-01 22:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,38,4
2025-08,6023,2025-08-02 17:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,38,4
2025-08,6088,2025-08-03 10:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,38,4
2025-08,6163,2025-08-04 04:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,38,4
2025-08,6239,2025-08-04 23:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,38,4
2025-08,6349,2025-08-06 03:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,38,4
2025-08,6522,2025-08-07 22:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,38,4
2025-08,6653,2025-08-09 07:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,38,4
2025-08,6790,2025-08-10 17:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,38,4
2025-08,6868,2025-08-11 13:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,38,4
2025-08,7014,2025-08-13 01:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,38,4
2025-08,7085,2025-08-13 19:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,38,4
2025-08,7165,2025-08-14 15:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,38,4
2025-08,7260,2025-08-15 15:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,38,4
2025-08,7497,2025-08-18 02:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,38,4
2025-08,7635,2025-08-19 12:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,38,4
2025-08,7751,2025-08-20 17:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,38,4
2025-08,7928,2025-08-22 14:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,38,4
2025-08,8134,2025-08-24 17:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,38,4
2025-08,8207,2025-08-25 11:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,38,4
2025-08,8272,2025-08-26 04:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,38,4
2025-08,8337,2025-08-26 20:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,38,4
2025-08,8409,2025-08-27 14:15:00+00:00,btc_momentum,2.0,0.0,64,2.0,38,4
2025-08,8516,2025-08-28 17:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,38,4
2025-09,9518,2025-09-08 03:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,63,4
2025-09,9617,2025-09-09 04:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,63,4
2025-09,9837,2025-09-11 11:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,63,4
2025-09,10052,2025-09-13 17:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,63,4
2025-09,10455,2025-09-17 21:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,63,4
2025-09,10576,2025-09-19 04:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,63,4
2025-09,10795,2025-09-21 10:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,63,4
2025-09,10860,2025-09-22 03:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,63,4
2025-09,10927,2025-09-22 19:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,63,4
2025-09,11016,2025-09-23 18:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,63,4
2025-09,11088,2025-09-24 12:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,63,4
2025-09,11153,2025-09-25 04:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,63,4
2025-09,11218,2025-09-25 20:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,63,4
2025-09,11288,2025-09-26 14:00:00+00:00,btc_reversal,-2.0,0.0,64,2.0,63,4
2025-09,11382,2025-09-27 13:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,63,4
2025-09,11472,2025-09-28 12:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,63,4
2025-09,11566,2025-09-29 11:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,63,4
2025-09,11631,2025-09-30 03:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,63,4
2025-09,11698,2025-09-30 20:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,63,4
2025-10,11747,2025-10-01 08:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,11814,2025-10-02 01:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,82,4
2025-10,12140,2025-10-05 11:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,82,4
2025-10,12287,2025-10-06 23:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,82,4
2025-10,12364,2025-10-07 19:00:00+00:00,btc_reversal,2.0,0.0,64,2.0,82,4
