month,event_index,event_timestamp,label,action,btc_target,hype_target,hold_bars
2025-06,66,2025-06-01 16:30:00+00:00,btc_momentum|2.000|0.000|32,btc_momentum,2.0,0.0,32
2025-06,167,2025-06-02 17:45:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96
2025-06,369,2025-06-04 20:15:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-06,466,2025-06-05 20:30:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32
2025-06,549,2025-06-06 17:15:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96
2025-06,812,2025-06-09 11:00:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96
2025-06,909,2025-06-10 11:15:00+00:00,btc_reversal|-2.000|0.000|16,btc_reversal,-2.0,0.0,16
2025-06,926,2025-06-10 15:30:00+00:00,btc_reversal|2.000|0.000|96,btc_reversal,2.0,0.0,96
2025-06,1023,2025-06-11 15:45:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64
2025-06,1113,2025-06-12 14:15:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64
2025-06,1193,2025-06-13 10:15:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96
2025-06,1297,2025-06-14 12:15:00+00:00,btc_momentum|-2.000|0.000|32,btc_momentum,-2.0,0.0,32
2025-06,1458,2025-06-16 04:30:00+00:00,btc_momentum|2.000|0.000|64,btc_momentum,2.0,0.0,64
2025-06,1530,2025-06-16 22:30:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-06,1682,2025-06-18 12:30:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-06,1785,2025-06-19 14:15:00+00:00,btc_momentum|-2.000|0.000|32,btc_momentum,-2.0,0.0,32
2025-06,1855,2025-06-20 07:45:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64
2025-06,1920,2025-06-21 00:00:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32
2025-06,1982,2025-06-21 15:30:00+00:00,hype_momentum|0.000|-2.000|96,hype_momentum,0.0,-2.0,96
2025-06,2084,2025-06-22 17:00:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32
2025-06,2119,2025-06-23 01:45:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96
2025-06,2265,2025-06-24 14:15:00+00:00,btc_reversal|-2.000|0.000|32,btc_reversal,-2.0,0.0,32
2025-06,2373,2025-06-25 17:15:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-06,2474,2025-06-26 18:30:00+00:00,btc_reversal|2.000|0.000|64,btc_reversal,2.0,0.0,64
2025-06,2780,2025-06-29 23:00:00+00:00,btc_momentum|2.000|0.000|16,btc_momentum,2.0,0.0,16
2025-07,2883,2025-07-01 00:45:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-07,3569,2025-07-08 04:15:00+00:00,btc_reversal|2.000|0.000|96,btc_reversal,2.0,0.0,96
2025-07,3726,2025-07-09 19:30:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96
2025-07,3865,2025-07-11 06:15:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64
2025-07,4157,2025-07-14 07:15:00+00:00,hype_reversal|0.000|-2.000|96,hype_reversal,0.0,-2.0,96
2025-07,4769,2025-07-20 16:15:00+00:00,btc_reversal|-2.000|0.000|32,btc_reversal,-2.0,0.0,32
2025-07,4870,2025-07-21 17:30:00+00:00,btc_momentum|-2.000|0.000|64,btc_momentum,-2.0,0.0,64
2025-07,4990,2025-07-22 23:30:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64
2025-07,5111,2025-07-24 05:45:00+00:00,hype_momentum|0.000|-2.000|96,hype_momentum,0.0,-2.0,96
2025-07,5210,2025-07-25 06:30:00+00:00,btc_reversal|2.000|0.000|96,btc_reversal,2.0,0.0,96
2025-07,5451,2025-07-27 18:45:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96
2025-07,5552,2025-07-28 20:00:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-07,5836,2025-07-31 19:00:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-08,5933,2025-08-01 19:15:00+00:00,btc_reversal|2.000|0.000|64,btc_reversal,2.0,0.0,64
2025-08,6023,2025-08-02 17:45:00+00:00,btc_reversal|2.000|0.000|64,btc_reversal,2.0,0.0,64
2025-08,6088,2025-08-03 10:00:00+00:00,btc_reversal|-2.000|0.000|96,btc_reversal,-2.0,0.0,96
2025-08,6212,2025-08-04 17:00:00+00:00,btc_reversal|-2.000|0.000|16,btc_reversal,-2.0,0.0,16
2025-08,6239,2025-08-04 23:45:00+00:00,hype_reversal|0.000|-2.000|64,hype_reversal,0.0,-2.0,64
2025-08,6349,2025-08-06 03:15:00+00:00,btc_reversal|2.000|0.000|64,btc_reversal,2.0,0.0,64
2025-08,6522,2025-08-07 22:30:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96
2025-08,6653,2025-08-09 07:15:00+00:00,btc_momentum|2.000|0.000|32,btc_momentum,2.0,0.0,32
2025-08,6790,2025-08-10 17:30:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-08,7014,2025-08-13 01:30:00+00:00,btc_reversal|2.000|0.000|96,btc_reversal,2.0,0.0,96
2025-08,7121,2025-08-14 04:15:00+00:00,btc_momentum|-2.000|0.000|64,btc_momentum,-2.0,0.0,64
2025-08,7186,2025-08-14 20:30:00+00:00,btc_momentum|2.000|0.000|32,btc_momentum,2.0,0.0,32
2025-08,7219,2025-08-15 04:45:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64
2025-08,7289,2025-08-15 22:15:00+00:00,btc_reversal|-2.000|0.000|96,btc_reversal,-2.0,0.0,96
2025-08,7497,2025-08-18 02:15:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-08,7635,2025-08-19 12:45:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64
2025-08,7751,2025-08-20 17:45:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64
2025-08,7928,2025-08-22 14:00:00+00:00,btc_momentum|2.000|0.000|32,btc_momentum,2.0,0.0,32
2025-08,7964,2025-08-22 23:00:00+00:00,btc_momentum|-2.000|0.000|32,btc_momentum,-2.0,0.0,32
2025-08,8134,2025-08-24 17:30:00+00:00,hype_reversal|0.000|-2.000|64,hype_reversal,0.0,-2.0,64
2025-08,8207,2025-08-25 11:45:00+00:00,btc_momentum|-2.000|0.000|32,btc_momentum,-2.0,0.0,32
2025-08,8240,2025-08-25 20:00:00+00:00,btc_reversal|2.000|0.000|96,btc_reversal,2.0,0.0,96
2025-08,8337,2025-08-26 20:15:00+00:00,btc_momentum|2.000|0.000|32,btc_momentum,2.0,0.0,32
2025-08,8370,2025-08-27 04:30:00+00:00,btc_reversal|-2.000|0.000|96,btc_reversal,-2.0,0.0,96
2025-08,8516,2025-08-28 17:00:00+00:00,btc_momentum|-2.000|0.000|64,btc_momentum,-2.0,0.0,64
2025-09,9518,2025-09-08 03:30:00+00:00,btc_reversal|2.000|0.000|96,btc_reversal,2.0,0.0,96
2025-09,9617,2025-09-09 04:15:00+00:00,btc_momentum|2.000|0.000|16,btc_momentum,2.0,0.0,16
2025-09,9660,2025-09-09 15:00:00+00:00,btc_reversal|2.000|0.000|64,btc_reversal,2.0,0.0,64
2025-09,9837,2025-09-11 11:15:00+00:00,btc_reversal|2.000|0.000|64,btc_reversal,2.0,0.0,64
2025-09,10052,2025-09-13 17:00:00+00:00,btc_momentum|-2.000|0.000|64,btc_momentum,-2.0,0.0,64
2025-09,10455,2025-09-17 21:45:00+00:00,btc_momentum|2.000|0.000|16,btc_momentum,2.0,0.0,16
2025-09,10576,2025-09-19 04:00:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-09,10795,2025-09-21 10:45:00+00:00,btc_momentum|-2.000|0.000|96,btc_momentum,-2.0,0.0,96
2025-09,10919,2025-09-22 17:45:00+00:00,btc_momentum|-2.000|0.000|32,btc_momentum,-2.0,0.0,32
2025-09,10952,2025-09-23 02:00:00+00:00,btc_reversal|2.000|0.000|32,btc_reversal,2.0,0.0,32
2025-09,11016,2025-09-23 18:00:00+00:00,btc_momentum|-2.000|0.000|64,btc_momentum,-2.0,0.0,64
2025-09,11088,2025-09-24 12:00:00+00:00,btc_reversal|-2.000|0.000|96,btc_reversal,-2.0,0.0,96
2025-09,11185,2025-09-25 12:15:00+00:00,btc_reversal|2.000|0.000|64,btc_reversal,2.0,0.0,64
2025-09,11250,2025-09-26 04:30:00+00:00,btc_momentum|2.000|0.000|64,btc_momentum,2.0,0.0,64
2025-09,11326,2025-09-26 23:30:00+00:00,btc_momentum|2.000|0.000|96,btc_momentum,2.0,0.0,96
2025-09,11472,2025-09-28 12:00:00+00:00,btc_reversal|2.000|0.000|64,btc_reversal,2.0,0.0,64
2025-09,11566,2025-09-29 11:30:00+00:00,btc_reversal|-2.000|0.000|64,btc_reversal,-2.0,0.0,64
2025-09,11631,2025-09-30 03:45:00+00:00,btc_momentum|2.000|0.000|32,btc_momentum,2.0,0.0,32
