event_index,event_timestamp,month,label,action,btc_target,hype_target,hold_bars,trade_log_return,trade_return_pct,trade_max_drawdown_pct,ret16_HYPEUSDT,ret96_HYPEUSDT,ret384_HYPEUSDT,ret16_BTCUSDT,ret96_BTCUSDT,ret384_BTCUSDT,rel_ret16,rel_ret96,resid_z16,shock_sign,trend_align,btc_align,month_num,day_num,hour_float,event_index_frac
66,2025-06-01 16:30:00+00:00,2025-06,btc_momentum|2.000|0.000|32,btc_momentum,0.0,2.0,32,0.047295543246966706,4.843182024047943,-3.4084313615597273,0.04847375853477212,0.0,0.0,0.012219366975717664,0.0,0.0,0.03625439155905446,0.0,0.0,1.0,0.0,0.0,6.0,1.0,16.5,0.0017465399984122364
167,2025-06-02 17:45:00+00:00,2025-06,btc_momentum|2.000|0.000|96,btc_momentum,0.0,2.0,96,0.15961497861325308,17.305913117922355,-6.998575078631786,0.03916529832909416,0.024196052035513605,0.0,0.005586485907750616,-0.006311881511600127,0.0,0.03357881242134354,0.03050793354711373,2.1841082658210444,1.0,0.0,-1.0,6.0,2.0,17.75,0.004419275450527931
369,2025-06-04 20:15:00+00:00,2025-06,btc_momentum|-2.000|0.000|96,btc_momentum,0.0,-2.0,96,0.11057699288516881,11.692234081522756,-6.905449626635097,-0.04099207701067281,-0.030268113647697034,0.0,-0.004334537162311478,-0.008971528735406265,0.0,-0.036657539848361335,-0.02129658491229077,-1.9757885046841581,-1.0,-0.0,1.0,6.0,4.0,20.25,0.009764746354759322
466,2025-06-05 20:30:00+00:00,2025-06,btc_reversal|2.000|0.000|32,btc_reversal,0.0,2.0,32,0.1089753993140957,11.513491692017652,-4.264778124735691,-0.0446948361376476,-0.07204563827730744,-0.032761239693639026,-0.028261582278810968,-0.03790442914116445,-0.042810962564864496,-0.016433253858836636,-0.034141209136142985,-0.8861240684964021,-1.0,1.0,1.0,6.0,5.0,20.5,0.012331630897880336
549,2025-06-06 17:15:00+00:00,2025-06,btc_momentum|2.000|0.000|96,btc_momentum,0.0,2.0,96,0.07448727473167126,7.7331634100904045,-6.826229080255397,-0.040102916197385444,-0.02661334748958099,-0.006831033393935193,0.005773520700856295,0.01025087512087497,0.0010171138406531261,-0.04587643689824174,-0.03686422261045596,-2.54727212178271,-1.0,1.0,-1.0,6.0,6.0,17.25,0.014528037259519967
812,2025-06-09 11:00:00+00:00,2025-06,btc_momentum|2.000|0.000|96,btc_momentum,0.0,2.0,96,0.19849308093938162,21.95635891506573,-4.29227056205489,0.05534483177291136,0.04815781127658189,0.060805030298820575,0.01763411260764948,0.018685737626275782,0.02681256821570976,0.03771071916526188,0.02947207365030611,2.2305939309321583,1.0,1.0,1.0,6.0,9.0,11.0,0.021487734525920243
909,2025-06-10 11:15:00+00:00,2025-06,btc_reversal|-2.000|0.000|16,btc_reversal,0.0,-2.0,16,0.06857509226166245,7.098104432032115,-1.6270918768954923,0.05665249042709085,0.11368824434152863,0.18614487984129738,0.0024954535295348716,0.021305433306575788,0.05533364176489711,0.05415703689755598,0.09238281103495284,3.110526345007005,1.0,1.0,1.0,6.0,10.0,11.25,0.024054619069041255
926,2025-06-10 15:30:00+00:00,2025-06,btc_reversal|2.000|0.000|96,btc_reversal,0.0,2.0,96,0.17150828472835544,18.70939774426843,-7.56021624199299,-0.04200948733809592,0.061807194747089345,0.13824403471861066,-0.008685303820834845,0.009892061855131345,0.03840352840819636,-0.033324183517261075,0.051915132891957996,-1.867119469986399,1.0,1.0,1.0,6.0,10.0,15.5,0.02450448543226865
1023,2025-06-11 15:45:00+00:00,2025-06,btc_reversal|-2.000|0.000|64,btc_reversal,0.0,-2.0,64,0.09280409217879096,9.724675498951196,-6.30902977411254,0.05088837858335185,0.08096767879823182,0.22720023529222874,0.004519985090903412,0.0065807131065547825,0.03891613252297647,0.04636839349244844,0.07438696569167703,2.548176008599706,1.0,1.0,1.0,6.0,11.0,15.75,0.027071369975389663
1113,2025-06-12 14:15:00+00:00,2025-06,btc_reversal|-2.000|0.000|64,btc_reversal,0.0,-2.0,64,0.1841633741898211,20.22122175000034,-11.566849313725957,0.038699949210017646,-0.01532991019447949,0.1905075671944912,0.001712482343338607,-0.025454875432277143,0.01642890809490436,0.03698746686667904,0.010124965237797653,2.0153596545604504,1.0,1.0,-1.0,6.0,12.0,14.25,0.029453015427769985
1193,2025-06-13 10:15:00+00:00,2025-06,btc_momentum|2.000|0.000|96,btc_momentum,0.0,2.0,96,0.0745576727471461,7.740747877957932,-6.803697359656735,0.04333977846522018,-0.012041959419672729,0.10402908207957284,0.007831977274982204,-0.024812540294439633,-0.023022388820216896,0.03550780119023797,0.012770580874766905,1.8165124030088302,1.0,1.0,-1.0,6.0,13.0,10.25,0.031570033607663604
1297,2025-06-14 12:15:00+00:00,2025-06,btc_momentum|-2.000|0.000|32,btc_momentum,0.0,-2.0,32,0.08069970746309034,8.404531696628803,-3.620774570387908,-0.040229102833015375,0.010364828070555384,-0.01326005098455069,-0.0009055260580974304,-0.001272269046343375,-0.04258977210235914,-0.03932357677491794,0.011637097116898759,-2.0315002448131048,-1.0,1.0,1.0,6.0,14.0,12.25,0.03432215724152531
1458,2025-06-16 04:30:00+00:00,2025-06,btc_momentum|2.000|0.000|64,btc_momentum,0.0,2.0,64,0.07225148351550696,7.492563615327508,-4.807670223568028,0.040946186303575965,0.07241322180423508,0.03569606839529471,0.006942202869160189,0.007338463238260326,-0.012260507902101358,0.034003983434415776,0.06507475856597475,1.787436683896163,1.0,1.0,1.0,6.0,16.0,4.5,0.03858265632856122
1530,2025-06-16 22:30:00+00:00,2025-06,btc_momentum|-2.000|0.000|96,btc_momentum,0.0,-2.0,96,0.10848371160698339,11.458675356339088,-10.627550527920437,-0.04577268777818682,0.042482946939416476,0.04015505654867421,-0.005952641670527596,0.020976108735950367,0.01544503254882314,-0.03982004610765923,0.02150683820346611,-2.069221939879935,-1.0,-1.0,-1.0,6.0,16.0,22.5,0.04048797269046548
1682,2025-06-18 12:30:00+00:00,2025-06,btc_momentum|-2.000|0.000|96,btc_momentum,0.0,-2.0,96,0.056191739266118174,5.7800486182313815,-11.6951480309318,-0.04620163104484744,-0.05121677341979545,-0.054906451438477714,-0.0029693157692833923,-0.01201204784578811,-0.0030638142852973953,-0.043232315275564044,-0.03920472557400734,-2.2278145520476134,-1.0,1.0,1.0,6.0,18.0,12.5,0.04451030723226336
1785,2025-06-19 14:15:00+00:00,2025-06,btc_momentum|-2.000|0.000|32,btc_momentum,0.0,-2.0,32,0.019240497193838454,1.9426788420447982,-4.8392531086077,-0.0422356250419071,-0.08565808178178441,-0.09778575544259561,-0.004084797560563559,-0.005228030692814684,-0.007240977715802106,-0.03815082748134354,-0.08043005108896972,-1.9633314797637786,-1.0,1.0,1.0,6.0,19.0,14.25,0.04723596813887639
