feature_set,max_depth,min_samples_leaf,trained_months,return_2025_pct,return_2026_pct,min_target_year_return_pct,max_drawdown_pct,losing_months,min_monthly_return_pct,trade_count,turnover,hard_pass_relaxed
market_only,6,5,12,-24.710483969816455,73.97174154350851,-24.710483969816455,-41.65415892393468,5,-18.81132277215626,248,988.0,False
market_plus_time,2,2,12,-16.550796247669176,-28.24181035725608,-28.24181035725608,-51.55705931803447,9,-27.989488072200764,229,916.0,False
market_plus_time,2,3,12,-16.550796247669176,-28.24181035725608,-28.24181035725608,-51.55705931803447,9,-27.989488072200764,229,916.0,False
market_plus_time,2,5,12,-33.66735105542746,-28.24181035725608,-33.66735105542746,-61.24948431043424,10,-27.989488072200764,226,904.0,False
market_plus_time,3,2,12,-28.93373999287411,-40.19368615128482,-40.19368615128482,-63.18732989239098,9,-28.2585065670947,233,936.0,False
market_plus_time,6,5,12,-40.22305700314159,-3.635609118072791,-40.22305700314159,-58.159882850759125,8,-26.314301119103146,256,1020.0,False
market_only,5,5,12,-42.04707383159868,16.243049742890236,-42.04707383159868,-55.31119764664696,9,-18.81132277215626,247,972.0,False
market_only,2,3,12,-7.720492416706815,-43.32568509925112,-43.32568509925112,-56.907278455710816,9,-25.01880113697881,225,900.0,False
market_only,2,2,12,-8.503839808171032,-43.32568509925112,-43.32568509925112,-57.273086335454295,10,-25.01880113697881,225,900.0,False
market_only,2,5,12,-23.99887661792153,-43.32568509925112,-43.32568509925112,-64.3421864706634,10,-25.01880113697881,222,888.0,False
market_plus_time,3,5,12,-44.676446406983,-41.13261344486789,-44.676446406983,-71.65948813123231,10,-28.2585065670947,238,956.0,False
market_plus_time,5,5,12,-47.460542044354845,-35.94123000770602,-47.460542044354845,-78.83363958274576,8,-38.53665777124732,252,1000.0,False
market_only,2,8,12,-34.9591443359769,-48.18581446187237,-48.18581446187237,-69.63134684961322,10,-25.01880113697881,232,932.0,False
market_plus_time,3,3,12,-26.27462919794401,-48.52181706017398,-48.52181706017398,-67.12793421927753,9,-38.24863152981689,235,936.0,False
market_only,4,5,12,-48.97947251343552,-38.1148130152871,-48.97947251343552,-72.41445644124008,11,-34.345391509581106,235,932.0,False
market_plus_time,2,8,12,-49.14436777713076,-38.134466822734815,-49.14436777713076,-71.64834423249968,10,-27.989488072200764,236,948.0,False
market_only,3,2,12,-11.775901173277138,-53.79812733792873,-53.79812733792873,-68.17582095161382,8,-35.537200914016594,228,904.0,False
market_plus_time,5,3,12,-55.21816452422449,-12.879064680085007,-55.21816452422449,-68.25105840612483,8,-32.96431708513878,265,1040.0,False
market_plus_time,4,5,12,-52.98055872382432,-56.54028843349248,-56.54028843349248,-82.2177312376762,10,-33.78010881474184,245,984.0,False
market_plus_time,3,8,12,-56.7292346034508,-44.48293064967997,-56.7292346034508,-78.58853110396932,9,-46.178052757030706,238,944.0,False
market_only,3,3,12,-14.001266015845681,-60.23181667612931,-60.23181667612931,-72.6073920036823,9,-38.24863152981689,233,920.0,False
market_plus_time,4,8,12,-60.67644236737326,-29.37670332996303,-60.67644236737326,-75.24709694459143,9,-41.85988719412227,243,968.0,False
market_only,6,3,12,-55.86873187550634,-61.65084991521162,-61.65084991521162,-85.32482634366731,9,-43.62322792217391,262,1060.0,False
market_plus_time,5,8,12,-62.08158710041152,25.417339761364776,-62.08158710041152,-68.39924644730677,9,-33.926342646350605,244,972.0,False
market_plus_time,6,8,12,-62.08158710041152,-3.910103762747663,-62.08158710041152,-68.39924644730677,9,-34.130057989241045,245,964.0,False
market_plus_time,4,3,12,-62.589378009677034,-59.459736310715606,-62.589378009677034,-86.84888435953849,11,-43.001341274549645,251,996.0,False
market_only,4,3,12,-63.19961635843575,-43.76127171105681,-63.19961635843575,-82.05394740086734,11,-41.496277394655564,244,972.0,False
market_only,3,5,12,-21.22827602829971,-65.3764667034312,-65.3764667034312,-76.17177844043586,11,-35.537200914016594,233,928.0,False
market_plus_time,6,3,12,-65.89753405906069,-46.673427955438584,-65.89753405906069,-84.23076774859545,10,-32.59826667834035,271,1068.0,False
market_only,6,8,12,-65.93559689283074,-7.739929934926238,-65.93559689283074,-71.67922244394562,8,-39.15640907002954,244,968.0,False
market_only,5,8,12,-65.93559689283074,-30.695017155528383,-65.93559689283074,-79.2964206415812,9,-35.756181756697416,245,976.0,False
market_only,4,8,12,-61.25166231740762,-67.82142607395144,-67.82142607395144,-88.8866441211585,9,-48.921941885659216,238,944.0,False
market_plus_time,6,2,12,-69.96406584529839,-50.63213234476818,-69.96406584529839,-87.58291488127426,10,-39.63269366280954,269,1076.0,False
market_only,6,2,12,-70.8189605450044,-73.20808778637267,-73.20808778637267,-93.55840444169718,10,-43.82844680336806,257,1032.0,False
market_only,5,3,12,-63.50604609135257,-73.39955445409193,-73.39955445409193,-91.71779897043847,11,-46.322480532325564,265,1044.0,False
market_plus_time,4,2,12,-73.85248427591958,-56.098532665079134,-73.85248427591958,-90.38733927426755,11,-39.41644801868019,252,1008.0,False
market_plus_time,5,2,12,-75.0968388296696,-34.64315985635581,-75.0968388296696,-90.01030572040263,9,-37.492441702338475,259,1028.0,False
market_only,5,2,12,-75.5620569145265,-51.48868279952987,-75.5620569145265,-90.23220131044964,11,-42.509954992427055,252,992.0,False
market_only,3,8,12,-51.46315371112573,-76.41955982118742,-76.41955982118742,-89.79885748664138,10,-46.178052757030706,236,932.0,False
market_only,4,2,12,-77.88846066536215,-33.874213285464364,-77.88846066536215,-87.27632123661701,11,-40.19075975981957,237,936.0,False
