event_index,decision_index,confirm_bars,event_timestamp,decision_timestamp,month,label,action,btc_target,hype_target,hold_bars,trade_log_return,trade_return_pct,trade_max_drawdown_pct,ret16_HYPEUSDT,ret96_HYPEUSDT,ret384_HYPEUSDT,ret16_BTCUSDT,ret96_BTCUSDT,ret384_BTCUSDT,rel_ret16,rel_ret96,resid_z16,shock_sign,trend_align,btc_align,funding_rate_BTCUSDT,funding_rate_HYPEUSDT,funding_diff,funding_abs_hype,funding_abs_diff,funding_chg32_BTCUSDT,funding_chg32_HYPEUSDT,premium_close_BTCUSDT,premium_close_HYPEUSDT,premium_diff,premium_abs_hype,premium_chg16_BTCUSDT,premium_chg16_HYPEUSDT,premium_chg96_BTCUSDT,premium_chg96_HYPEUSDT,btc_lead_score,lead_direction_score,taker_imb16_BTCUSDT,taker_imb16_HYPEUSDT,taker_imb96_BTCUSDT,taker_imb96_HYPEUSDT,taker_diff16,vol_z16_BTCUSDT,vol_z16_HYPEUSDT,vol_z96_BTCUSDT,vol_z96_HYPEUSDT,vol_diff16,trades_z16_BTCUSDT,trades_z16_HYPEUSDT,confirm_ret_BTCUSDT,confirm_ret_HYPEUSDT,confirm_rel_ret,confirm_taker_imb_BTCUSDT,confirm_taker_imb_HYPEUSDT,month_num,day_num,hour_float,event_index_frac
194,194,0,2025-06-01 16:30:00+00:00,2025-06-01 16:30:00+00:00,2025-06,hype_momentum|0.000|2.000|32,hype_momentum,0.0,2.0,32,0.047295543246966706,4.843182024047943,-3.4084313615597273,0.04847375853477212,0.010787329622413548,0.0,0.012219366975717664,0.007333612435298275,0.0,0.03625439155905446,0.003453717187115273,1.8308694159711603,1.0,0.0,1.0,4.117e-05,5e-05,8.830000000000002e-06,5e-05,8.830000000000002e-06,-5.699999999999996e-06,0.0007013200000000001,-0.00053342,-0.00053904,-5.619999999999909e-06,0.00053904,-7.910000000000078e-06,-0.00050634,-5.720000000000074e-06,-0.00019630999999999994,-1.635776179895817e-05,-1.635776179895817e-05,0.03690792813967492,0.07295077215361834,0.0011338534585922933,0.011373293823422892,0.03604284401394342,0.701665122928752,-0.16818041635200912,-0.18858979334408293,-0.1792818436163569,-0.8698455392807611,0.5807985293238431,-0.07828084540917377,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.5,0.005516535388290158
296,296,0,2025-06-02 18:00:00+00:00,2025-06-02 18:00:00+00:00,2025-06,hype_momentum|0.000|2.000|64,hype_momentum,0.0,2.0,64,0.17047643630844733,18.586970813657654,-5.349988990293042,0.040961051640020923,0.029770469499649614,0.0,0.0027445574742298896,-0.0057029597163970715,0.0,0.03821649416579104,0.03547342921604669,2.0162340663735314,1.0,0.0,-1.0,4.467e-05,0.00023598,0.00019131,0.00023598,0.00019131,-1.1260000000000004e-05,9.971e-05,-0.00041426,0.00049336,0.00090762,0.00049336,8.183000000000002e-05,4.318999999999997e-05,0.00013755999999999995,9.291999999999997e-05,2.3004140345576146e-05,-2.705782388531009e-05,0.00501766726045072,0.008195375943830574,-0.009062576145344281,-0.0009640294875568056,0.003177708683379854,0.6404186615895345,0.12083977615431268,1.0359781627794546,0.08717710018256965,-0.5195788854352219,0.8917709347713048,0.32343835177509334,0.0,0.0,0.0,0.0,0.0,6.0,2.0,18.0,0.008416981829556119
361,361,0,2025-06-03 10:15:00+00:00,2025-06-03 10:15:00+00:00,2025-06,hype_reversal|0.000|-2.000|96,hype_reversal,0.0,-2.0,96,0.045758374428197315,4.682144156683732,-5.961619112849292,0.0421031748479876,0.13617714895140234,0.0,0.0002318904499088885,0.008629381813165858,0.0,0.04187128439807871,0.12754776713823648,2.028261580883151,1.0,0.0,1.0,6.066e-05,5e-05,-1.0659999999999996e-05,5e-05,1.0659999999999996e-05,1.0610000000000002e-05,0.0,-0.00037321,0.00081137,0.00118458,0.00081137,4.5969999999999995e-05,0.00096685,0.00019950999999999997,0.00049124,1.0608985863299715e-05,1.0608985863299715e-05,0.03538353588634502,0.03018996890885839,0.004678938168156788,0.012768348214895586,-0.00519356697748663,-0.8440435609611844,0.7077657061217059,0.7787965712601297,0.7849501507144593,1.5518092670828902,-0.9971481692126947,0.6345072053284104,0.0,0.0,0.0,0.0,0.0,6.0,3.0,10.25,0.010265305542127562
497,497,0,2025-06-04 20:15:00+00:00,2025-06-04 20:15:00+00:00,2025-06,hype_momentum|0.000|-2.000|96,hype_momentum,0.0,-2.0,96,0.11057699288516881,11.692234081522756,-6.905449626635097,-0.04099207701067281,-0.030268113647697034,0.06773009174703591,-0.004334537162311478,-0.008971528735406265,-1.815934056797518e-05,-0.036657539848361335,-0.02129658491229077,-1.8496407319005483,-1.0,-1.0,1.0,9.62e-06,5e-05,4.038e-05,5e-05,4.038e-05,-1.649e-05,0.0,-0.00055148,0.0,0.00055148,0.0,-9.319000000000005e-05,-5.28e-05,-5.3770000000000076e-05,2.339e-05,6.217348576481756e-05,6.217348576481756e-05,-0.03420951975503411,-0.02430831831540403,-0.004142023076806889,-0.0019574801575554246,0.00990120143963008,-0.4996519187836069,1.0714386320083376,0.2729658774355642,0.5954172609515788,1.5710905507919444,-0.4889677187117973,0.9631937065003625,0.0,0.0,0.0,0.0,0.0,6.0,4.0,20.25,0.014132567463815509
594,594,0,2025-06-05 20:30:00+00:00,2025-06-05 20:30:00+00:00,2025-06,hype_reversal|0.000|2.000|32,hype_reversal,0.0,2.0,32,0.1089753993140957,11.513491692017652,-4.264778124735691,-0.0446948361376476,-0.07204563827730744,-0.032761239693639026,-0.028261582278810968,-0.03790442914116445,-0.042810962564864496,-0.016433253858836636,-0.034141209136142985,-0.8430375553715374,-1.0,1.0,1.0,5.156e-05,5e-05,-1.5599999999999986e-06,5e-05,1.5599999999999986e-06,2.285e-05,0.0,-0.00053679,-0.00032435,0.00021244,0.00032435,-2.3889999999999936e-05,-0.00032435,-3.795000000000003e-05,-0.00032435,6.681101547220141e-05,6.681101547220141e-05,-0.04680918048459837,-0.04248425752875712,-0.029201297007722726,-0.015173249145750523,0.004324922955841248,2.668347011229983,2.164227810064379,1.6522401139731187,0.7808590136871589,-0.5041192011656039,2.7066958218339985,2.1923265715192133,0.0,0.0,0.0,0.0,0.0,6.0,5.0,20.5,0.01689083515796059
677,677,0,2025-06-06 17:15:00+00:00,2025-06-06 17:15:00+00:00,2025-06,hype_reversal|0.000|2.000|96,hype_reversal,0.0,2.0,96,0.07448727473167126,7.7331634100904045,-6.826229080255397,-0.040102916197385444,-0.02661334748958099,-0.006831033393935193,0.005773520700856295,0.01025087512087497,0.0010171138406531261,-0.04587643689824174,-0.03686422261045596,-2.41829907611902,-1.0,1.0,-1.0,-3.03e-05,5e-05,8.03e-05,5e-05,8.03e-05,0.0,0.0,-0.00037443,-0.00113461,-0.0007601800000000001,0.00113461,0.00016832000000000007,-0.0012268000000000001,9.771000000000004e-05,-0.00213862,6.93675555109779e-05,-0.00011649709982669185,-0.008587218425819887,0.013743867590691461,-0.01587394055501934,-0.004880848604669807,0.022331086016511348,1.7356797787065559,1.6348654603125043,1.6401657124410798,0.8906754810068741,-0.10081431839405153,1.622989475001214,1.2163602941185943,0.0,0.0,0.0,0.0,0.0,6.0,6.0,17.25,0.0192510023601672
940,940,0,2025-06-09 11:00:00+00:00,2025-06-09 11:00:00+00:00,2025-06,hype_momentum|0.000|2.000|96,hype_momentum,0.0,2.0,96,0.19849308093938162,21.95635891506573,-4.29227056205489,0.05534483177291136,0.04815781127658189,0.060805030298820575,0.01763411260764948,0.018685737626275782,0.02681256821570976,0.03771071916526188,0.02947207365030611,2.1204214708949376,1.0,1.0,1.0,-2.164e-05,7.566e-05,9.730000000000001e-05,7.566e-05,9.730000000000001e-05,0.0,0.0,-0.00034609,-0.00031503,3.106000000000002e-05,0.00031503,0.00017134000000000002,-0.0006739199999999999,0.00023469000000000002,-0.0011473,0.0003432330662290793,0.0003432330662290793,0.07875283233842201,0.009345375150506818,0.04534811598993549,0.0003248550738715883,-0.06940745718791519,1.3494139651695676,1.4014738877427126,-0.16399767850866967,0.20734444460942336,0.05205992257314507,1.1079530315664912,0.5386314224641936,0.0,0.0,0.0,0.0,0.0,6.0,9.0,11.0,0.02672960445872551
1037,1037,0,2025-06-10 11:15:00+00:00,2025-06-10 11:15:00+00:00,2025-06,hype_reversal|0.000|-2.000|16,hype_reversal,0.0,-2.0,16,0.06857509226166245,7.098104432032115,-1.6270918768954923,0.05665249042709085,0.11368824434152863,0.18614487984129738,0.0024954535295348716,0.021305433306575788,0.05533364176489711,0.05415703689755598,0.09238281103495284,2.9809266189051007,1.0,1.0,1.0,6.374e-05,5e-05,-1.3739999999999994e-05,5e-05,1.3739999999999994e-05,0.0,0.0,-0.00023896,0.00123883,0.00147779,0.00123883,0.00010036999999999999,0.00123883,0.0003461800000000001,0.00312256,-4.447579580035923e-05,-4.447579580035923e-05,-0.0015633281361512874,0.01921302531458713,0.016687474800693103,0.010911663826535745,0.020776353450738416,0.008578733388066626,2.742966113789222,1.0205991166937065,1.907532620302523,2.7343873804011554,-0.12712230226199672,2.809567769854614,0.0,0.0,0.0,0.0,0.0,6.0,10.0,11.25,0.02948787215287059
1054,1054,0,2025-06-10 15:30:00+00:00,2025-06-10 15:30:00+00:00,2025-06,hype_momentum|0.000|2.000|96,hype_momentum,0.0,2.0,96,0.17150828472835544,18.70939774426843,-7.56021624199299,-0.04200948733809592,0.061807194747089345,0.13824403471861066,-0.008685303820834845,0.009892061855131345,0.03840352840819636,-0.033324183517261075,0.051915132891957996,-1.7983758428387193,1.0,1.0,1.0,6.374e-05,5e-05,-1.3739999999999994e-05,5e-05,1.3739999999999994e-05,0.0,0.0,-0.00036323,0.00033364,0.00069687,0.00033364,0.00013047000000000004,-0.00100647,0.0002752000000000001,0.0006421700000000001,-1.8542185079380444e-06,2.9153364934037227e-05,-0.015056936659823494,-0.023751220861634226,0.017601988176468186,0.005795261944026353,-0.008694284201810731,1.476867002587125,1.9817353512933478,0.9942044056853567,1.972569260046656,0.5048683487062227,1.461899783970785,1.6941548690304398,0.0,0.0,0.0,0.0,0.0,6.0,10.0,15.5,0.02997127989308158
1151,1151,0,2025-06-11 15:45:00+00:00,2025-06-11 15:45:00+00:00,2025-06,hype_reversal|0.000|-2.000|64,hype_reversal,0.0,-2.0,64,0.09280409217879096,9.724675498951196,-6.30902977411254,0.05088837858335185,0.08096767879823182,0.22720023529222874,0.004519985090903412,0.0065807131065547825,0.03891613252297647,0.04636839349244844,0.07438696569167703,2.467916045499732,1.0,1.0,1.0,8.39e-05,5e-05,-3.3900000000000004e-05,5e-05,3.3900000000000004e-05,-3.8899999999999916e-06,-0.00021002000000000003,-0.0004173,0.00041353,0.0008308300000000001,0.00041353,4.835000000000001e-05,0.00010733999999999999,-1.5800000000000005e-05,-0.0005338000000000001,-1.7981921831613084e-05,1.906896580372913e-05,0.001434031247539047,0.025724897155509407,0.0006547433125577706,0.01446756302802854,0.02429086590797036,1.5774599409391494,2.026858268869602,0.15195543272799222,1.3633856717713135,0.44939832793045253,1.5465998986187932,2.2316340992460404,0.0,0.0,0.0,0.0,0.0,6.0,11.0,15.75,0.03272954758722666
