month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,miss_rate,seed
2025-01,0.06586270102717974,0.9999000049998333,1.0680800608031016,-0.1755076110748066,50.2,12,6.808006080310158,-17.55076110748066,2C_miss0.02_seed1,2C,0.02,1
2025-02,0.1025146992509897,1.0679732581372436,1.1833831355077296,-0.06766700206675302,20.3,13,10.795358787798182,-6.766700206675303,2C_miss0.02_seed1,2C,0.02,1
2025-03,0.34854514671692954,1.1829425129969353,1.6768592454935607,-0.28832514363126094,65.9,11,41.7004514581075,-28.832514363126094,2C_miss0.02_seed1,2C,0.02,1
2025-04,0.06632843698207498,1.676691567953028,1.7918542615351654,-0.2940311707059141,80.0,16,6.857761994672207,-29.40311707059141,2C_miss0.02_seed1,2C,0.02,1
2025-05,0.1595710472801596,1.7916750850679846,2.101858663754874,-0.17783438264389462,48.0,12,17.300759825975653,-17.78343826438946,2C_miss0.02_seed1,2C,0.02,1
2025-06,0.08989159239832537,2.1016484883974416,2.2995503956073766,-0.1815275883768277,48.0,12,9.405567332454945,-18.152758837682768,2C_miss0.02_seed1,2C,0.02,1
2025-07,0.04749101044866284,2.2993204520651847,2.41139310920104,-0.08149207399680847,32.4,14,4.863677430479729,-8.149207399680847,2C_miss0.02_seed1,2C,0.02,1
2025-08,0.09101474132181223,2.4111519819466833,2.6411630659494856,-0.10331569017922348,32.2,12,9.528515109034807,-10.331569017922348,2C_miss0.02_seed1,2C,0.02,1
2025-09,0.05976242129193255,2.640898962848266,2.803817262393003,-0.10192151979435926,32.2,12,6.1584306755040785,-10.192151979435927,2C_miss0.02_seed1,2C,0.02,1
2025-10,0.11288325522375074,2.8035368946853825,3.1388768722583187,-0.16468621952538975,51.9,16,11.950122939871921,-16.468621952538975,2C_miss0.02_seed1,2C,0.02,1
2025-11,0.20004930992724415,3.1385630002649543,3.8340219199823244,-0.10856216691394205,36.2,14,22.146298692623635,-10.856216691394206,2C_miss0.02_seed1,2C,0.02,1
