month_loss_trigger,month_dd_trigger,account_dd_trigger,triggered_scale,return_2025_pct,return_2026_pct,min_target_year_return_pct,max_drawdown_pct,losing_months,min_monthly_return_pct,planned_trade_count,skipped_trade_count,risk_scaled_bar_count,turnover,hard_pass_relaxed
,,,1.0,144.160634511369,151.70664554063333,144.160634511369,-65.30592707935568,4,-24.722805211334908,173,0,0,682.0,False
-0.35,,,0.0,144.160634511369,151.70664554063333,144.160634511369,-65.30592707935568,4,-24.722805211334908,173,0,0,682.0,False
-0.35,,,0.25,144.160634511369,151.70664554063333,144.160634511369,-65.30592707935568,4,-24.722805211334908,173,0,0,682.0,False
-0.35,,,0.5,144.160634511369,151.70664554063333,144.160634511369,-65.30592707935568,4,-24.722805211334908,173,0,0,682.0,False
-0.2,,,0.5,118.33130311569859,118.07955239124968,118.07955239124968,-64.26961043029218,6,-22.474265224901803,173,0,11228,567.0,False
-0.25,-0.35,,0.5,115.16387632270688,143.21357788646907,115.16387632270688,-59.06829178544193,5,-24.557659018865984,173,0,7388,590.0,False
-0.2,-0.35,,0.5,134.42987448381155,110.72112771211363,110.72112771211363,-58.01067285152087,6,-22.474265224901803,173,0,12543,543.0,False
,-0.35,,0.5,106.40049048890457,143.21357788646907,106.40049048890457,-59.06829178544195,5,-24.426968221888366,173,0,6265,604.0,False
-0.35,-0.35,,0.5,106.40049048890457,143.21357788646907,106.40049048890457,-59.06829178544195,5,-24.426968221888366,173,0,6265,604.0,False
-0.2,,,0.25,106.46012591293363,102.99020384649369,102.99020384649369,-63.73990116276339,6,-21.510177909602913,173,0,11228,509.5,False
-0.25,-0.35,,0.25,101.98365058804634,139.07512086295424,101.98365058804634,-57.5028258194584,5,-24.897984638097114,173,0,7388,544.0,False
-0.3,-0.35,,0.5,101.28955111477391,143.21357788646907,101.28955111477391,-59.06829178544195,5,-27.063343698705268,173,0,6993,596.0,False
-0.25,,,0.5,98.4158441052777,151.70664554063333,98.4158441052777,-65.5124262028387,5,-25.17085507788326,173,0,6064,614.0,False
-0.2,-0.35,,0.25,129.71090355713054,92.80344153949622,92.80344153949622,-57.78953467795479,6,-21.510177909602913,173,0,12543,473.5,False
,-0.35,,0.25,89.77030913900963,139.07512086295424,89.77030913900963,-57.50282581945842,5,-24.278614026067004,173,0,6265,565.0,False
-0.35,-0.35,,0.25,89.77030913900963,139.07512086295424,89.77030913900963,-57.50282581945842,5,-24.278614026067004,173,0,6265,565.0,False
-0.25,-0.35,,0.0,89.61080178572942,135.00708271442292,89.61080178572942,-55.877487353705256,5,-25.750053291592046,173,45,7388,498.0,False
-0.2,,,0.0,95.2344120320487,88.94491668671635,88.94491668671635,-63.202338862802485,6,-21.22956590890056,173,56,11228,452.0,False
-0.15,-0.35,,0.5,158.17393078454813,86.60027470385737,86.60027470385737,-60.018539961248194,6,-20.214015145690468,173,0,16692,505.0,False
-0.3,-0.35,,0.25,82.76541823527947,139.07512086295424,82.76541823527947,-57.5028258194584,5,-28.608315095364645,173,0,6993,553.0,False
-0.1,-0.35,,0.5,177.8695175885033,81.49326274161375,81.49326274161375,-60.26871620708653,6,-18.48222271348716,173,0,18841,487.0,False
-0.1,,,0.5,158.78789554791933,81.49326274161375,81.49326274161375,-62.99710954473314,6,-18.48222271348716,173,0,17923,503.0,False
-0.3,,,0.5,79.39799691958274,151.70664554063333,79.39799691958274,-66.66871846765488,5,-27.679711223147365,173,0,3624,638.0,False
-0.25,,,0.25,78.8655494420785,151.70664554063333,78.8655494420785,-65.61521440029088,5,-25.39387896958043,173,0,6064,580.0,False
-0.2,-0.35,,0.0,125.08692345299673,76.40930206229616,76.40930206229616,-59.386862076048885,6,-21.22956590890056,173,68,12543,404.0,False
,-0.35,,0.0,74.48006128963729,135.00708271442292,74.48006128963729,-55.87748735370523,5,-32.89967587454687,173,38,6265,526.0,False
-0.35,-0.35,,0.0,74.48006128963729,135.00708271442292,74.48006128963729,-55.87748735370523,5,-32.89967587454687,173,38,6265,526.0,False
-0.3,-0.35,,0.0,65.94601119493954,135.00708271442292,65.94601119493954,-55.877487353705234,5,-30.47539945376092,173,42,6993,510.0,False
-0.25,,,0.0,61.24158290625967,151.70664554063333,61.24158290625967,-65.71769624352989,5,-25.750053291592046,173,33,6064,546.0,False
-0.15,-0.35,,0.25,165.47935766338347,60.66492557279071,60.66492557279071,-63.276208429344194,7,-17.859337374855578,173,0,16692,416.5,False
-0.2,-0.3,-0.55,0.5,146.1471935009682,60.635429737062,60.635429737062,-58.858086176655775,6,-22.30561053428125,173,0,16015,512.0,False
-0.1,-0.35,-0.55,0.5,177.8695175885033,60.352151088570196,60.352151088570196,-58.12568409573026,6,-18.48222271348716,173,0,20206,473.0,False
-0.15,-0.3,-0.55,0.5,166.90785777532548,60.31213504088162,60.31213504088162,-57.38348698100963,6,-20.214015145690468,173,0,17746,495.0,False
-0.15,,,0.5,140.44482753235874,58.93118460852025,58.93118460852025,-68.28545075959441,6,-20.214015145690468,173,0,15728,523.0,False
-0.25,-0.3,-0.55,0.5,131.75565447352713,55.046352163986526,55.046352163986526,-59.387756790687284,6,-24.557659018865984,173,0,15143,522.0,False
,-0.3,-0.55,0.5,120.4866932472012,55.046352163986526,55.046352163986526,-59.38775679068738,6,-26.8665399542786,173,0,15003,524.0,False
-0.3,-0.3,-0.55,0.5,120.4866932472012,55.046352163986526,55.046352163986526,-59.38775679068738,6,-26.8665399542786,173,0,15003,524.0,False
-0.35,-0.3,-0.55,0.5,120.4866932472012,55.046352163986526,55.046352163986526,-59.38775679068738,6,-26.8665399542786,173,0,15003,524.0,False
-0.15,-0.35,-0.55,0.5,158.17393078454813,54.597856472712,54.597856472712,-59.714328723390196,6,-20.214015145690468,173,0,18856,487.0,False
-0.1,-0.35,,0.25,196.4309447752382,54.114471465815186,54.114471465815186,-63.62035668516661,8,-15.170524692931785,173,0,18841,389.5,False
-0.1,,,0.25,166.42692721621043,54.114471465815186,54.114471465815186,-67.30261549130121,8,-15.170524692931785,173,0,17923,413.5,False
-0.3,,,0.25,53.77600071906687,151.70664554063333,53.77600071906687,-67.32990673025867,5,-29.114319311677363,173,0,3624,616.0,False
-0.2,,-0.25,0.5,167.25007743255853,52.74989146747415,52.74989146747415,-49.656558038650765,4,-22.30561053428125,173,0,23211,436.0,False
-0.2,-0.35,-0.25,0.5,167.25007743255853,52.74989146747415,52.74989146747415,-49.656558038650765,4,-22.30561053428125,173,0,23211,436.0,False
-0.1,-0.3,-0.25,0.5,99.30721815660478,52.74989146747415,52.74989146747415,-49.6565580386508,5,-17.252496630257774,173,0,25424,413.0,False
-0.2,-0.25,-0.25,0.5,122.54611626136355,52.74989146747415,52.74989146747415,-49.6565580386508,4,-22.30561053428125,173,0,24275,422.0,False
-0.2,-0.3,-0.25,0.5,107.25497137415255,52.74989146747415,52.74989146747415,-49.6565580386508,4,-22.30561053428125,173,0,24244,422.0,False
,-0.25,-0.25,0.5,88.17229602271037,52.74989146747415,52.74989146747415,-49.656558038650815,5,-24.289153568921172,173,0,24130,428.0,False
-0.1,,-0.25,0.5,157.00164937931766,52.74989146747415,52.74989146747415,-49.656558038650815,5,-17.252496630257774,173,0,24391,427.0,False
-0.1,-0.35,-0.25,0.5,157.00164937931766,52.74989146747415,52.74989146747415,-49.656558038650815,5,-17.252496630257774,173,0,24391,427.0,False
